name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	284040	28852	312892	0.02613
Rhizobiaceae	82115	F	176834	38187	215021	0.01795
Phyllobacteriaceae	69277	F	157646	28697	186343	0.01556
Methylobacteriaceae	119045	F	129408	19550	148958	0.01244
Xanthobacteraceae	335928	F	51404	9842	61246	0.00511
Hyphomicrobiaceae	45401	F	36528	3821	40349	0.00337
Devosiaceae	2831106	F	33774	2927	36701	0.00306
Boseaceae	2831100	F	29505	4964	34469	0.00288
Aurantimonadaceae	255475	F	25592	5477	31069	0.00259
Methylocystaceae	31993	F	15365	17920	33285	0.00278
Stappiaceae	2821832	F	14510	3605	18115	0.00151
Phreatobacteraceae	2843305	F	13746	2600	16346	0.00136
Parvibaculaceae	2813035	F	10842	2351	13193	0.00110
Chelatococcaceae	2036754	F	9245	2313	11558	0.00097
Beijerinckiaceae	45404	F	7378	579	7957	0.00066
Blastochloridaceae	2831090	F	7356	1886	9242	0.00077
Brucellaceae	118882	F	5381	10211	15592	0.00130
Amorphaceae	2685818	F	5117	586	5703	0.00048
Kaistiaceae	2831111	F	4744	1277	6021	0.00050
Pleomorphomonadaceae	2843308	F	3168	622	3790	0.00032
Breoghaniaceae	2831104	F	2931	418	3349	0.00028
Lichenihabitantaceae	2723775	F	2606	137	2743	0.00023
Cohaesibacteraceae	655351	F	527	21	548	0.00005
Bartonellaceae	772	F	510	74	584	0.00005
Sphingomonadaceae	41297	F	688073	79135	767208	0.06406
Erythrobacteraceae	335929	F	97164	16887	114051	0.00952
Sphingosinicellaceae	2820280	F	25927	2094	28021	0.00234
Zymomonadaceae	2844881	F	167	127	294	0.00002
Azospirillaceae	2829815	F	82129	8019	90148	0.00753
Acetobacteraceae	433	F	64534	7197	71731	0.00599
Rhodospirillaceae	41295	F	62282	169990	232272	0.01939
Stellaceae	2844601	F	9722	661	10383	0.00087
Elioraeaceae	2690195	F	4414	216	4630	0.00039
Thalassospiraceae	2844866	F	2630	152	2782	0.00023
Terasakiellaceae	2813951	F	99	2	101	0.00001
Rhodobacteraceae	31989	F	89263	12018	101281	0.00846
Roseobacteraceae	2854170	F	58356	7063	65419	0.00546
Caulobacteraceae	76892	F	133281	53444	186725	0.01559
Hyphomonadaceae	69657	F	4830	178	5008	0.00042
Maricaulaceae	2800061	F	4774	510	5284	0.00044
Parvularculaceae	255474	F	1556	106	1662	0.00014
Anaplasmataceae	942	F	489	6	495	0.00004
Rickettsiaceae	775	F	303	11	314	0.00003
Candidatus Midichloriaceae	1328881	F	43	27	70	0.00001
Candidatus Deianiraeaceae	2603433	F	14	0	14	0.00000
Emcibacteraceae	2066491	F	717	65	782	0.00007
Holosporaceae	44746	F	132	2	134	0.00001
Caedimonadaceae	2100208	F	96	4	100	0.00001
Candidatus Paracaedibacteraceae	1777752	F	72	2	74	0.00001
Magnetococcaceae	1191479	F	184	4	188	0.00002
Pelagibacteraceae	1655514	F	48	44	92	0.00001
Kordiimonadaceae	1331809	F	81	1	82	0.00001
Comamonadaceae	80864	F	495125	144904	640029	0.05344
Burkholderiaceae	119060	F	378484	119062	497546	0.04155
Oxalobacteraceae	75682	F	118918	13995	132913	0.01110
Alcaligenaceae	506	F	101342	138956	240298	0.02006
Sutterellaceae	995019	F	2054	167	2221	0.00019
Thiobacillaceae	2008790	F	103932	20136	124068	0.01036
Nitrosomonadaceae	206379	F	29558	741	30299	0.00253
Usitatibacteraceae	2803844	F	20465	1517	21982	0.00184
Sterolibacteriaceae	2008793	F	15455	3805	19260	0.00161
Sulfuricellaceae	2772226	F	11278	1401	12679	0.00106
Gallionellaceae	90627	F	9394	1002	10396	0.00087
Methylophilaceae	32011	F	8547	488	9035	0.00075
Zoogloeaceae	2008794	F	44504	16976	61480	0.00513
Rhodocyclaceae	75787	F	35654	10933	46587	0.00389
Azonexaceae	2008795	F	11519	1240	12759	0.00107
Fluviibacteraceae	2808923	F	298	98	396	0.00003
Chromobacteriaceae	1499392	F	32559	6416	38975	0.00325
Neisseriaceae	481	F	13365	2893	16258	0.00136
Casimicrobiaceae	2705999	F	1983	903	2886	0.00024
Pseudomonadaceae	135621	F	535063	162271	697334	0.05823
Marinobacteraceae	2887365	F	5593	382	5975	0.00050
Xanthomonadaceae	32033	F	465645	74134	539779	0.04507
Rhodanobacteraceae	1775411	F	43646	6021	49667	0.00415
Enterobacteriaceae	543	F	29782	96369	126151	0.01053
Yersiniaceae	1903411	F	11497	2663	14160	0.00118
Erwiniaceae	1903409	F	8434	1231	9665	0.00081
Pectobacteriaceae	1903410	F	5572	656	6228	0.00052
Hafniaceae	1903412	F	1731	372	2103	0.00018
Morganellaceae	1903414	F	1465	765	2230	0.00019
Bruguierivoracaceae	2812006	F	1049	62	1111	0.00009
Budviciaceae	1903416	F	258	29	287	0.00002
Ectothiorhodospiraceae	72276	F	26281	2325	28606	0.00239
Chromatiaceae	1046	F	18130	4298	22428	0.00187
Wenzhouxiangellaceae	1676141	F	2752	134	2886	0.00024
Thioalkalispiraceae	1096778	F	2122	740	2862	0.00024
Thioalkalibacteraceae	2035710	F	1790	433	2223	0.00019
Halothiobacillaceae	255526	F	1114	91	1205	0.00010
Woeseiaceae	1738654	F	814	13	827	0.00007
Granulosicoccaceae	449719	F	734	17	751	0.00006
Halomonadaceae	28256	F	34136	3242	37378	0.00312
Alcanivoracaceae	224372	F	3456	1510	4966	0.00041
Oceanospirillaceae	135620	F	2644	248	2892	0.00024
Hahellaceae	224379	F	746	25	771	0.00006
Saccharospirillaceae	255527	F	696	31	727	0.00006
Litoricolaceae	449732	F	237	10	247	0.00002
Endozoicomonadaceae	2066474	F	120	6	126	0.00001
Oleiphilaceae	191033	F	93	6	99	0.00001
Zooshikellaceae	2898533	F	59	1	60	0.00001
Methylococcaceae	403	F	17180	678	17858	0.00149
Aeromonadaceae	84642	F	15706	9673	25379	0.00212
Succinivibrionaceae	83763	F	38	1	39	0.00000
Sinobacteraceae	568386	F	10209	1064	11273	0.00094
Steroidobacteraceae	2689614	F	4253	973	5226	0.00044
Acidiferrobacteraceae	1692041	F	12546	539	13085	0.00109
Microbulbiferaceae	1706373	F	4540	232	4772	0.00040
Cellvibrionaceae	1706371	F	2105	65	2170	0.00018
Halieaceae	1706372	F	1908	177	2085	0.00017
Spongiibacteraceae	1706375	F	831	62	893	0.00007
Shewanellaceae	267890	F	4318	582	4900	0.00041
Alteromonadaceae	72275	F	1962	419	2381	0.00020
Pseudoalteromonadaceae	267888	F	1168	123	1291	0.00011
Ferrimonadaceae	267892	F	527	52	579	0.00005
Colwelliaceae	267889	F	278	17	295	0.00002
Idiomarinaceae	267893	F	269	24	293	0.00002
Moritellaceae	267891	F	100	15	115	0.00001
Psychromonadaceae	267894	F	71	5	76	0.00001
Vibrionaceae	641	F	4802	1014	5816	0.00049
Moraxellaceae	468	F	3130	1021	4151	0.00035
Immundisolibacteraceae	1934946	F	2889	3207	6096	0.00051
Celerinatantimonadaceae	412032	F	42	127	169	0.00001
Legionellaceae	444	F	2013	110	2123	0.00018
