name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	235157	32112	267269	0.02232
Rhodopseudomonas	1073	G	18165	5327	23492	0.00196
Tardiphaga	1395974	G	6102	791	6893	0.00058
Nitrobacter	911	G	4328	586	4914	0.00041
Afipia	1033	G	4298	1875	6173	0.00052
Variibacter	1649510	G	3838	311	4149	0.00035
Rhizobium	379	G	69567	15566	85133	0.00711
Agrobacterium	357	G	14368	5153	19521	0.00163
Neorhizobium	1525371	G	8058	1956	10014	0.00084
Pseudorhizobium	1903858	G	3665	798	4463	0.00037
Sinorhizobium	28105	G	29505	15137	44642	0.00373
Ensifer	106591	G	19085	3732	22817	0.00191
Shinella	323620	G	13486	9410	22896	0.00191
Georhizobium	2661800	G	1941	454	2395	0.00020
Ciceribacter	1648508	G	1853	380	2233	0.00019
Peteryoungia	2853332	G	669	122	791	0.00007
Liberibacter	34019	G	95	15	110	0.00001
Mesorhizobium	68287	G	118772	24159	142931	0.01194
Aquibium	2911176	G	9788	2552	12340	0.00103
Aminobacter	31988	G	7137	4485	11622	0.00097
Nitratireductor	245876	G	6348	1042	7390	0.00062
Phyllobacterium	28100	G	3399	368	3767	0.00031
Roseitalea	1915401	G	2592	471	3063	0.00026
Hoeflea	274591	G	1983	199	2182	0.00018
Oricola	1594166	G	1864	273	2137	0.00018
Salaquimonas	2712688	G	814	37	851	0.00007
Lentilitoribacter	1649463	G	54	1	55	0.00000
Methylobacterium	407	G	66930	12532	79462	0.00664
Microvirga	186650	G	43269	5372	48641	0.00406
Methylorubrum	2282523	G	14431	6424	20855	0.00174
Pseudolabrys	556257	G	15420	2556	17976	0.00150
Xanthobacter	279	G	9584	2315	11899	0.00099
Starkeya	152053	G	9518	2728	12246	0.00102
Ancylobacter	99	G	8561	3108	11669	0.00097
Labrys	204476	G	3251	361	3612	0.00030
Azorhizobium	6	G	3127	714	3841	0.00032
Rhodoplanes	29407	G	13591	1467	15058	0.00126
Hyphomicrobium	81	G	8485	638	9123	0.00076
Methyloceanibacter	1484898	G	4038	304	4342	0.00036
Aquabacter	45402	G	2613	480	3093	0.00026
Methyloligella	1485594	G	2545	339	2884	0.00024
Rhodomicrobium	1068	G	2041	150	2191	0.00018
Caenibius	2827482	G	1841	817	2658	0.00022
Filomicrobium	119044	G	967	31	998	0.00008
Devosia	46913	G	26608	2238	28846	0.00241
Youhaiella	1827478	G	2465	548	3013	0.00025
Paradevosia	1573407	G	2321	865	3186	0.00027
Pelagibacterium	1082930	G	1270	150	1420	0.00012
Maritalea	623276	G	227	7	234	0.00002
Bosea	85413	G	29505	4964	34469	0.00288
Aureimonas	414371	G	14202	3101	17303	0.00144
Martelella	293088	G	6803	1300	8103	0.00068
Aurantimonas	182269	G	4283	1380	5663	0.00047
Methylocystis	133	G	10115	949	11064	0.00092
Methylosinus	425	G	4928	775	5703	0.00048
Nordella	169055	G	6599	393	6992	0.00058
Pseudorhodoplanes	1734920	G	5606	455	6061	0.00051
Terrihabitans	2874214	G	3049	373	3422	0.00029
Candidatus Hodgkinia	573657	G	41	0	41	0.00000
Stappia	152161	G	6139	1237	7376	0.00062
Roseibium	150830	G	2814	369	3183	0.00027
Pannonibacter	227873	G	2666	2069	4735	0.00040
Labrenzia	478070	G	2131	183	2314	0.00019
Pseudovibrio	258255	G	481	25	506	0.00004
Phreatobacter	1632780	G	13746	2600	16346	0.00136
Kaustia	2838250	G	5938	624	6562	0.00055
Parvibaculum	256616	G	2424	1534	3958	0.00033
Pyruvatibacter	1742974	G	1746	231	1977	0.00017
Candidatus Phaeomarinobacter	1541445	G	661	34	695	0.00006
Chelatococcus	28209	G	9245	2313	11558	0.00097
Methylocella	120652	G	3542	346	3888	0.00032
Methylovirgula	1156568	G	2884	257	3141	0.00026
Beijerinckia	532	G	858	69	927	0.00008
Blastochloris	59282	G	7356	1886	9242	0.00077
Brucella	234	G	4934	10157	15091	0.00126
Pseudochrobactrum	354349	G	432	69	501	0.00004
Acuticoccus	1904377	G	5117	586	5703	0.00048
Kaistia	166953	G	4744	1277	6021	0.00050
Hartmannibacter	1572860	G	3168	622	3790	0.00032
Breoghania	1406135	G	2931	418	3349	0.00028
Lichenihabitans	2723776	G	2606	137	2743	0.00023
Cohaesibacter	655352	G	527	21	548	0.00005
Bartonella	773	G	510	74	584	0.00005
Sphingomonas	13687	G	426429	52081	478510	0.03996
Sphingobium	165695	G	59119	28664	87783	0.00733
Sphingopyxis	165697	G	55916	11663	67579	0.00564
Novosphingobium	165696	G	41370	14248	55618	0.00464
Rhizorhabdus	1649486	G	17711	8970	26681	0.00223
Allosphingosinicella	2823232	G	9465	1189	10654	0.00089
Sphingosinithalassobacter	2676233	G	7126	1697	8823	0.00074
Parasphingopyxis	1234545	G	4770	237	5007	0.00042
Sphingorhabdus	1434046	G	4223	260	4483	0.00037
Blastomonas	150203	G	3859	695	4554	0.00038
Tardibacter	2685927	G	3111	2634	5745	0.00048
Hankyongella	1763827	G	2957	594	3551	0.00030
Citromicrobium	72173	G	2064	947	3011	0.00025
Novosphingopyxis	2709686	G	1903	1058	2961	0.00025
Parasphingorhabdus	2709685	G	1092	33	1125	0.00009
Aquisediminimonas	2676781	G	1077	41	1118	0.00009
Erythrobacter	1041	G	26207	6643	32850	0.00274
Porphyrobacter	1111	G	15601	4018	19619	0.00164
Qipengyuania	1855416	G	15014	3963	18977	0.00158
Altererythrobacter	361177	G	9477	2590	12067	0.00101
Tsuneonella	2800686	G	8634	1731	10365	0.00087
Croceicoccus	1295327	G	7599	4690	12289	0.00103
Pelagerythrobacter	2800685	G	1682	237	1919	0.00016
Aurantiacibacter	2800681	G	1663	282	1945	0.00016
Croceibacterium	2676755	G	1580	695	2275	0.00019
Paraurantiacibacter	2800682	G	1541	201	1742	0.00015
Sphingosinicella	335405	G	16601	1786	18387	0.00154
Polymorphobacter	1508451	G	6476	270	6746	0.00056
Sandaracinobacter	56358	G	2694	193	2887	0.00024
Zymomonas	541	G	167	127	294	0.00002
Azospirillum	191	G	52431	6453	58884	0.00492
Skermanella	204447	G	18405	2546	20951	0.00175
Nitrospirillum	1543705	G	3779	439	4218	0.00035
Indioceanicola	2478349	G	3302	460	3762	0.00031
Niveispirillum	1543704	G	2098	233	2331	0.00019
Roseomonas	125216	G	28085	3877	31962	0.00267
Rhodovastum	504465	G	5161	473	5634	0.00047
Komagataeibacter	1434011	G	4068	1680	5748	0.00048
Roseococcus	35812	G	3652	313	3965	0.00033
Acidiphilium	522	G	3502	1487	4989	0.00042
Sediminicoccus	1706033	G	2557	121	2678	0.00022
Acidibrevibacterium	2603324	G	2401	198	2599	0.00022
Lichenicola	2804525	G	2382	106	2488	0.00021
Acetobacter	434	G	2273	840	3113	0.00026
Gluconobacter	441	G	1684	395	2079	0.00017
Gluconacetobacter	89583	G	1449	274	1723	0.00014
Granulibacter	364409	G	1021	87	1108	0.00009
Asaia	91914	G	678	106	784	0.00007
Neoasaia	320496	G	676	123	799	0.00007
Kozakia	153497	G	431	136	567	0.00005
Novacetimonas	2919364	G	379	161	540	0.00005
Oecophyllibacter	2791118	G	337	10	347	0.00003
Parasaccharibacter	1602345	G	218	6	224	0.00002
Swingsia	1649499	G	168	7	175	0.00001
Neokomagataea	1223423	G	76	11	87	0.00001
Entomobacter	2811380	G	44	3	47	0.00000
Commensalibacter	1079922	G	34	1	35	0.00000
Bombella	1654741	G	26	2	28	0.00000
Hypericibacter	2705399	G	22102	1325	23427	0.00196
Ferrovibrio	1231242	G	13880	870	14750	0.00123
Magnetospirillum	13134	G	10290	165900	176190	0.01471
Rhodospirillum	1081	G	6445	831	7276	0.00061
Tistrella	171436	G	4488	1685	6173	0.00052
Defluviicoccus	111830	G	2328	210	2538	0.00021
Pararhodospirillum	1612157	G	1445	105	1550	0.00013
Haematospirillum	1804663	G	239	19	258	0.00002
Candidatus Endolissoclinum	1263978	G	110	0	110	0.00001
Stella	93	G	9722	661	10383	0.00087
Elioraea	457933	G	4414	216	4630	0.00039
Thalassospira	168934	G	1639	124	1763	0.00015
Magnetospira	1182780	G	988	31	1019	0.00009
Terasakiella	196080	G	99	2	101	0.00001
Paracoccus	265	G	28380	4970	33350	0.00278
Cereibacter	1653176	G	7752	2037	9789	0.00082
Rhodobacter	1060	G	7287	2386	9673	0.00081
Rhodovulum	34008	G	3963	960	4923	0.00041
Paroceanicella	2683599	G	3354	957	4311	0.00036
Polymorphum	991903	G	3193	842	4035	0.00034
Pikeienuella	2831955	G	2437	254	2691	0.00022
Thioclava	285107	G	2178	300	2478	0.00021
Pontivivens	1844015	G	2136	171	2307	0.00019
Silicimonas	1955420	G	2079	135	2214	0.00018
Pelagovum	2795377	G	1910	261	2171	0.00018
Frigidibacter	1775705	G	1553	688	2241	0.00019
Pukyongiella	2831925	G	1284	344	1628	0.00014
Tabrizicola	1443919	G	1280	126	1406	0.00012
Fuscovulum	2818469	G	1265	178	1443	0.00012
