name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	1148155	66930	1215085	0.10146
Sphingomonadales	204457	O	839734	69842	909576	0.07595
Rhodospirillales	204441	O	234503	177546	412049	0.03441
Rhodobacterales	204455	O	156120	10580	166700	0.01392
Caulobacterales	204458	O	133281	53444	186725	0.01559
Hyphomonadales	2800060	O	4830	178	5008	0.00042
Maricaulales	2800059	O	4774	510	5284	0.00044
Parvularculales	255473	O	1556	106	1662	0.00014
Rickettsiales	766	O	881	14	895	0.00007
Emcibacterales	2066490	O	717	65	782	0.00007
Holosporales	1921002	O	301	9	310	0.00003
Magnetococcales	1191478	O	184	4	188	0.00002
Pelagibacterales	54526	O	91	1	92	0.00001
Kordiimonadales	362534	O	81	1	82	0.00001
Burkholderiales	80840	O	1262200	250808	1513008	0.12634
Nitrosomonadales	32003	O	201358	26364	227722	0.01901
Rhodocyclales	206389	O	96293	24931	121224	0.01012
Neisseriales	206351	O	46990	11130	58120	0.00485
Pseudomonadales	72274	O	541211	162099	703310	0.05873
Xanthomonadales	135614	O	516894	72552	589446	0.04922
Enterobacterales	91347	O	65516	96424	161940	0.01352
Chromatiales	135613	O	57872	3921	61793	0.00516
Oceanospirillales	135619	O	42441	4829	47270	0.00395
Methylococcales	135618	O	17180	678	17858	0.00149
Aeromonadales	135624	O	15745	9674	25419	0.00212
Nevskiales	1775403	O	14483	2017	16500	0.00138
Acidiferrobacterales	1692040	O	12546	539	13085	0.00109
Cellvibrionales	1706369	O	9497	425	9922	0.00083
Alteromonadales	135622	O	8882	1051	9933	0.00083
Vibrionales	135623	O	4802	1014	5816	0.00049
Moraxellales	2887326	O	3130	1021	4151	0.00035
Immundisolibacterales	1934945	O	2889	3376	6265	0.00052
Legionellales	118969	O	2807	115	2922	0.00024
Thiotrichales	72273	O	2513	1925	4438	0.00037
Salinisphaerales	742030	O	1423	52	1475	0.00012
Pasteurellales	135625	O	1199	733	1932	0.00016
Cardiobacteriales	135615	O	1012	112	1124	0.00009
Kangiellales	2887327	O	189	11	200	0.00002
Orbales	1240482	O	80	19	99	0.00001
Myxococcales	29	O	404712	42196	446908	0.03732
Desulfuromonadales	69541	O	34808	2652	37460	0.00313
Desulfovibrionales	213115	O	22379	1683	24062	0.00201
Desulfobacterales	213118	O	8248	737	8985	0.00075
Bradymonadales	1779134	O	6118	164	6282	0.00052
Syntrophobacterales	213462	O	2021	429	2450	0.00020
Desulfarculales	453227	O	1640	852	2492	0.00021
Syntrophales	2914038	O	1042	352	1394	0.00012
Desulfurellales	213113	O	38	1	39	0.00000
Campylobacterales	213849	O	3352	174	3526	0.00029
Nautiliales	235899	O	314	23	337	0.00003
Acidithiobacillales	225057	O	2883	372	3255	0.00027
Bdellovibrionales	213481	O	2344	30	2374	0.00020
Bacteriovoracales	2024979	O	220	2	222	0.00002
Silvanigrellales	2024973	O	63	1	64	0.00001
Hydrogenophilales	119069	O	593	107	700	0.00006
Mariprofundales	580371	O	395	10	405	0.00003
Streptomycetales	85011	O	785806	186768	972574	0.08121
Micrococcales	85006	O	540869	86067	626936	0.05235
Micromonosporales	85008	O	441408	83124	524532	0.04380
Corynebacteriales	85007	O	424899	59351	484250	0.04043
Pseudonocardiales	85010	O	298040	50773	348813	0.02913
Propionibacteriales	85009	O	280561	59012	339573	0.02835
Streptosporangiales	85012	O	168030	30935	198965	0.01661
Geodermatophilales	1643682	O	37508	11202	48710	0.00407
Actinomycetales	2037	O	22871	3797	26668	0.00223
Frankiales	85013	O	19925	2199	22124	0.00185
Jiangellales	1217098	O	17350	3670	21020	0.00176
Bifidobacteriales	85004	O	9001	3365	12366	0.00103
Nakamurellales	1643684	O	6822	1030	7852	0.00066
Catenulisporales	414714	O	4210	720	4930	0.00041
Glycomycetales	85014	O	3298	309	3607	0.00030
Jatrophihabitantales	2805415	O	3222	330	3552	0.00030
