name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	677388	46839	724227	0.25668
Betaproteobacteria	28216	C	245447	49259	294706	0.10445
Gammaproteobacteria	1236	C	161033	38291	199324	0.07064
Deltaproteobacteria	28221	C	105717	7506	113223	0.04013
Epsilonproteobacteria	29547	C	673	29	702	0.00025
Acidithiobacillia	1807140	C	331	30	361	0.00013
Oligoflexia	1553900	C	220	2	222	0.00008
Hydrogenophilalia	2008785	C	119	20	139	0.00005
Zetaproteobacteria	580370	C	72	1	73	0.00003
Actinomycetia	1760	C	1058062	44388	1102450	0.39072
Thermoleophilia	1497346	C	25468	3180	28648	0.01015
Rubrobacteria	84995	C	20528	1426	21954	0.00778
Acidimicrobiia	84992	C	13769	1424	15193	0.00538
Coriobacteriia	84998	C	2718	393	3111	0.00110
Nitriliruptoria	908620	C	2239	183	2422	0.00086
Bacilli	91061	C	63365	30833	94198	0.03339
Clostridia	186801	C	5843	1039	6882	0.00244
Negativicutes	909932	C	766	72	838	0.00030
Limnochordia	1676648	C	385	13	398	0.00014
Tissierellia	1737404	C	123	57	180	0.00006
Erysipelotrichia	526524	C	107	5488	5595	0.00198
Gloeobacteria	307596	C	564	173	737	0.00026
Deinococci	188787	C	5922	214	6136	0.00217
Thermomicrobia	189775	C	1443	60	1503	0.00053
Chloroflexia	32061	C	941	38	979	0.00035
Tepidiformia	2682225	C	747	29	776	0.00028
Ardenticatenia	1382928	C	571	10	581	0.00021
Caldilineae	475962	C	364	27	391	0.00014
Anaerolineae	292625	C	253	5	258	0.00009
Dehalococcoidia	301297	C	199	138	337	0.00012
Ktedonobacteria	388447	C	119	4	123	0.00004
Candidatus Thermofonsia	2364196	C	110	1	111	0.00004
Fimbriimonadia	1663419	C	328	1	329	0.00012
Chthonomonadetes	1077257	C	61	0	61	0.00002
Mollicutes	31969	C	132	19	151	0.00005
Planctomycetia	203683	C	85388	1237	86625	0.03070
Phycisphaerae	666505	C	2866	87	2953	0.00105
Candidatus Brocadiia	2517206	C	39	0	39	0.00001
Candidatus Uabimicrobiia	2897345	C	14	0	14	0.00001
Opitutae	414999	C	5675	216	5891	0.00209
Verrucomicrobiae	203494	C	3274	341	3615	0.00128
Methylacidiphilae	1955630	C	30	1	31	0.00001
Spartobacteria	134549	C	24	1	25	0.00001
Kiritimatiellae	1921781	C	165	207	372	0.00013
Tichowtungiia	2907184	C	60	1	61	0.00002
Chlamydiia	204429	C	93	51	144	0.00005
Cytophagia	768503	C	8424	220	8644	0.00306
Flavobacteriia	117743	C	4816	412	5228	0.00185
Chitinophagia	1853228	C	3685	65	3750	0.00133
Bacteroidia	200643	C	1983	2543	4526	0.00160
Sphingobacteriia	117747	C	1800	238	2038	0.00072
Saprospiria	1937959	C	76	26	102	0.00004
Chlorobia	191410	C	624	69	693	0.00025
Ignavibacteria	795747	C	31	0	31	0.00001
Gemmatimonadetes	219685	C	13314	676	13990	0.00496
Fibrobacteria	204430	C	31	14	45	0.00002
Vicinamibacteria	1813735	C	20172	919	21091	0.00748
Acidobacteriia	204432	C	5700	74	5774	0.00205
Blastocatellia	1562566	C	559	47	606	0.00021
Holophagae	533205	C	345	5	350	0.00012
Nitrospira	203693	C	1832	22	1854	0.00066
Thermodesulfovibrionia	2811502	C	35	1	36	0.00001
Spirochaetia	203692	C	614	35	649	0.00023
Synergistia	649775	C	456	33	489	0.00017
Candidatus Saccharimonia	2093818	C	36	158	194	0.00007
Candidatus Babeliae	2497643	C	17	18	35	0.00001
Thermotogae	188708	C	125	8	133	0.00005
Aquificae	187857	C	83	1	84	0.00003
Thermodesulfobacteria	67799	C	68	1	69	0.00002
Fusobacteriia	203490	C	54	9	63	0.00002
Deferribacteres	68337	C	52	1	53	0.00002
Calditrichia	1962850	C	48	0	48	0.00002
Chrysiogenetes	118001	C	40	18	58	0.00002
Endomicrobia	447830	C	18	0	18	0.00001
Elusimicrobia	641853	C	17	0	17	0.00001
Coprothermobacteria	2138243	C	16	2	18	0.00001
Caldisericia	693071	C	16	0	16	0.00001
Dictyoglomia	203486	C	13	0	13	0.00000
Atribacteria	2847774	C	11	0	11	0.00000
Sordariomycetes	147550	C	16154	302	16456	0.00583
Leotiomycetes	147548	C	55	0	55	0.00002
Eurotiomycetes	147545	C	5126	126	5252	0.00186
Dothideomycetes	147541	C	312	35	347	0.00012
Saccharomycetes	4891	C	316	20	336	0.00012
Schizosaccharomycetes	147554	C	13	0	13	0.00000
Ustilaginomycetes	5257	C	342	11	353	0.00013
Malasseziomycetes	1538075	C	21	5	26	0.00001
Agaricomycetes	155619	C	92	2	94	0.00003
Tremellomycetes	155616	C	29	750	779	0.00028
