name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	122114	11970	134084	0.04752
Rhizobiaceae	82115	F	52331	13259	65590	0.02325
Phyllobacteriaceae	69277	F	49639	8914	58553	0.02075
Methylobacteriaceae	119045	F	40464	5303	45767	0.01622
Devosiaceae	2831106	F	16665	1379	18044	0.00640
Xanthobacteraceae	335928	F	15714	2690	18404	0.00652
Hyphomicrobiaceae	45401	F	14526	1313	15839	0.00561
Boseaceae	2831100	F	8953	1399	10352	0.00367
Aurantimonadaceae	255475	F	6638	5938	12576	0.00446
Methylocystaceae	31993	F	3892	324	4216	0.00149
Stappiaceae	2821832	F	3804	907	4711	0.00167
Phreatobacteraceae	2843305	F	3692	639	4331	0.00154
Chelatococcaceae	2036754	F	2352	528	2880	0.00102
Parvibaculaceae	2813035	F	2304	538	2842	0.00101
Blastochloridaceae	2831090	F	1981	463	2444	0.00087
Beijerinckiaceae	45404	F	1897	138	2035	0.00072
Brucellaceae	118882	F	1343	596	1939	0.00069
Kaistiaceae	2831111	F	1185	294	1479	0.00052
Amorphaceae	2685818	F	1139	121	1260	0.00045
Pleomorphomonadaceae	2843308	F	792	143	935	0.00033
Breoghaniaceae	2831104	F	732	97	829	0.00029
Lichenihabitantaceae	2723775	F	667	30	697	0.00025
Cohaesibacteraceae	655351	F	144	5	149	0.00005
Bartonellaceae	772	F	116	6	122	0.00004
Sphingomonadaceae	41297	F	107293	12829	120122	0.04258
Erythrobacteraceae	335929	F	17324	2995	20319	0.00720
Sphingosinicellaceae	2820280	F	4590	387	4977	0.00176
Zymomonadaceae	2844881	F	26	12	38	0.00001
Azospirillaceae	2829815	F	30369	3411	33780	0.01197
Acetobacteraceae	433	F	15835	1806	17641	0.00625
Rhodospirillaceae	41295	F	10008	38195	48203	0.01708
Stellaceae	2844601	F	1961	131	2092	0.00074
Elioraeaceae	2690195	F	870	40	910	0.00032
Thalassospiraceae	2844866	F	528	30	558	0.00020
Terasakiellaceae	2813951	F	25	0	25	0.00001
Rhodobacteraceae	31989	F	22055	3008	25063	0.00888
Roseobacteraceae	2854170	F	13865	1630	15495	0.00549
Caulobacteraceae	76892	F	20140	1725	21865	0.00775
Hyphomonadaceae	69657	F	1022	36	1058	0.00038
Maricaulaceae	2800061	F	931	89	1020	0.00036
Parvularculaceae	255474	F	264	16	280	0.00010
Anaplasmataceae	942	F	99	1	100	0.00004
Rickettsiaceae	775	F	76	4	80	0.00003
Emcibacteraceae	2066491	F	168	156	324	0.00011
Holosporaceae	44746	F	42	0	42	0.00002
Candidatus Paracaedibacteraceae	1777752	F	19	0	19	0.00001
Caedimonadaceae	2100208	F	19	0	19	0.00001
Magnetococcaceae	1191479	F	31	0	31	0.00001
Pelagibacteraceae	1655514	F	20	6	26	0.00001
Kordiimonadaceae	1331809	F	17	0	17	0.00001
Comamonadaceae	80864	F	67537	21392	88929	0.03152
Burkholderiaceae	119060	F	58933	30454	89387	0.03168
Oxalobacteraceae	75682	F	23455	2825	26280	0.00931
Alcaligenaceae	506	F	18723	26868	45591	0.01616
Sutterellaceae	995019	F	360	26	386	0.00014
Usitatibacteraceae	2803844	F	5818	451	6269	0.00222
Nitrosomonadaceae	206379	F	5501	151	5652	0.00200
Sterolibacteriaceae	2008793	F	2053	584	2637	0.00093
Gallionellaceae	90627	F	1087	127	1214	0.00043
Thiobacillaceae	2008790	F	1063	309	1372	0.00049
Sulfuricellaceae	2772226	F	842	107	949	0.00034
Methylophilaceae	32011	F	351	35	386	0.00014
Zoogloeaceae	2008794	F	6201	2448	8649	0.00307
Rhodocyclaceae	75787	F	4834	1598	6432	0.00228
Azonexaceae	2008795	F	1553	167	1720	0.00061
Fluviibacteraceae	2808923	F	49	15	64	0.00002
Chromobacteriaceae	1499392	F	4758	921	5679	0.00201
Neisseriaceae	481	F	2071	434	2505	0.00089
Casimicrobiaceae	2705999	F	383	200	583	0.00021
Xanthomonadaceae	32033	F	50805	9456	60261	0.02136
Rhodanobacteraceae	1775411	F	8520	1359	9879	0.00350
Pseudomonadaceae	135621	F	41091	10820	51911	0.01840
Marinobacteraceae	2887365	F	1051	92	1143	0.00041
Enterobacteriaceae	543	F	5582	21975	27557	0.00977
Yersiniaceae	1903411	F	2147	708	2855	0.00101
Erwiniaceae	1903409	F	1605	229	1834	0.00065
Pectobacteriaceae	1903410	F	1008	204	1212	0.00043
Hafniaceae	1903412	F	330	82	412	0.00015
Morganellaceae	1903414	F	298	122	420	0.00015
Bruguierivoracaceae	2812006	F	228	14	242	0.00009
Budviciaceae	1903416	F	63	7	70	0.00003
Ectothiorhodospiraceae	72276	F	4350	424	4774	0.00169
Chromatiaceae	1046	F	3119	222	3341	0.00118
Wenzhouxiangellaceae	1676141	F	526	467	993	0.00035
Thioalkalibacteraceae	2035710	F	275	65	340	0.00012
Thioalkalispiraceae	1096778	F	244	99	343	0.00012
Halothiobacillaceae	255526	F	187	15	202	0.00007
Woeseiaceae	1738654	F	180	3	183	0.00006
Granulosicoccaceae	449719	F	124	3	127	0.00005
Halomonadaceae	28256	F	6277	696	6973	0.00247
Alcanivoracaceae	224372	F	606	245	851	0.00030
Oceanospirillaceae	135620	F	465	51	516	0.00018
Saccharospirillaceae	255527	F	132	7	139	0.00005
Hahellaceae	224379	F	112	4	116	0.00004
Litoricolaceae	449732	F	63	3	66	0.00002
Oleiphilaceae	191033	F	27	2	29	0.00001
Endozoicomonadaceae	2066474	F	15	0	15	0.00001
Methylococcaceae	403	F	3099	137	3236	0.00115
Aeromonadaceae	84642	F	2942	2110	5052	0.00179
Succinivibrionaceae	83763	F	14	0	14	0.00001
Cellvibrionaceae	1706371	F	956	32	988	0.00035
Microbulbiferaceae	1706373	F	903	52	955	0.00034
Halieaceae	1706372	F	392	38	430	0.00015
Spongiibacteraceae	1706375	F	175	14	189	0.00007
Sinobacteraceae	568386	F	1194	149	1343	0.00048
Steroidobacteraceae	2689614	F	964	283	1247	0.00044
Acidiferrobacteraceae	1692041	F	1889	89	1978	0.00070
Shewanellaceae	267890	F	802	132	934	0.00033
Alteromonadaceae	72275	F	378	39	417	0.00015
Pseudoalteromonadaceae	267888	F	253	33	286	0.00010
Ferrimonadaceae	267892	F	108	13	121	0.00004
Colwelliaceae	267889	F	60	5	65	0.00002
Idiomarinaceae	267893	F	48	5	53	0.00002
Moritellaceae	267891	F	31	6	37	0.00001
Psychromonadaceae	267894	F	10	1	11	0.00000
Vibrionaceae	641	F	1001	155	1156	0.00041
Moraxellaceae	468	F	562	326	888	0.00031
Legionellaceae	444	F	379	28	407	0.00014
Coxiellaceae	118968	F	146	485	631	0.00022
Immundisolibacteraceae	1934946	F	456	83	539	0.00019
Piscirickettsiaceae	135616	F	186	16	202	0.00007
Thiotrichaceae	135617	F	158	4	162	0.00006
Francisellaceae	34064	F	44	1	45	0.00002
Salinisphaeraceae	742031	F	269	286	555	0.00020
Pasteurellaceae	712	F	204	61	265	0.00009
Cardiobacteriaceae	868	F	167	21	188	0.00007
Kangiellaceae	1920240	F	43	2	45	0.00002
Orbaceae	1240483	F	15	2	17	0.00001
Polyangiaceae	49	F	36320	2654	38974	0.01381
Sandaracinaceae	1055686	F	6005	255	6260	0.00222
Labilitrichaceae	1524216	F	2615	85	2700	0.00096
Archangiaceae	39	F	14331	613	14944	0.00530
Myxococcaceae	31	F	14042	7401	21443	0.00760
Anaeromyxobacteraceae	1524215	F	8875	546	9421	0.00334
Vulgatibacteraceae	1524213	F	1176	77	1253	0.00044
Kofleriaceae	224464	F	2535	117	2652	0.00094
Geobacteraceae	213422	F	4622	430	5052	0.00179
Desulfuromonadaceae	213421	F	1410	206	1616	0.00057
Syntrophotaleaceae	2812024	F	249	29	278	0.00010
Desulfovibrionaceae	194924	F	3859	330	4189	0.00148
Desulfomicrobiaceae	213116	F	217	29	246	0.00009
Desulfohalobiaceae	213117	F	65	3	68	0.00002
Desulfobacteraceae	213119	F	918	83	1001	0.00036
Desulfobulbaceae	213121	F	444	64	508	0.00018
Desulfosudaceae	2904715	F	125	9	134	0.00005
Desulfocapsaceae	2886822	F	75	8	83	0.00003
Bradymonadaceae	1779135	F	1051	127	1178	0.00042
Syntrophobacteraceae	213465	F	360	74	434	0.00015
Desulfarculaceae	453228	F	324	177	501	0.00018
Syntrophaceae	213468	F	218	45	263	0.00009
Campylobacteraceae	72294	F	174	20	194	0.00007
Thiovulaceae	2771471	F	105	9	114	0.00004
Helicobacteraceae	72293	F	100	13	113	0.00004
Sulfurovaceae	2771472	F	93	7	100	0.00004
Hydrogenimonaceae	292630	F	39	3	42	0.00002
Arcobacteraceae	2808963	F	37	4	41	0.00001
Sulfurospirillaceae	2932623	F	33	1	34	0.00001
Nitratiruptoraceae	2795691	F	34	1	35	0.00001
Nautiliaceae	224467	F	22	1	23	0.00001
