name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	389055	21036	410091	0.14534
Sphingomonadales	204457	O	134289	11169	145458	0.05155
Rhodospirillales	204441	O	61388	41824	103212	0.03658
Rhodobacterales	204455	O	37993	2565	40558	0.01437
Caulobacterales	204458	O	20140	1725	21865	0.00775
Hyphomonadales	2800060	O	1022	36	1058	0.00037
Maricaulales	2800059	O	931	89	1020	0.00036
Parvularculales	255473	O	264	16	280	0.00010
Rickettsiales	766	O	198	2	200	0.00007
Emcibacterales	2066490	O	168	156	324	0.00011
Holosporales	1921002	O	80	2	82	0.00003
Magnetococcales	1191478	O	31	0	31	0.00001
Pelagibacterales	54526	O	26	0	26	0.00001
Kordiimonadales	362534	O	17	0	17	0.00001
Burkholderiales	80840	O	200188	50388	250576	0.08881
Nitrosomonadales	32003	O	16960	1522	18482	0.00655
Rhodocyclales	206389	O	13259	3609	16868	0.00598
Neisseriales	206351	O	6961	1808	8769	0.00311
Xanthomonadales	135614	O	60673	9467	70140	0.02486
Pseudomonadales	72274	O	42278	10777	53055	0.01880
Enterobacterales	91347	O	12301	22305	34606	0.01226
Chromatiales	135613	O	9605	702	10307	0.00365
Oceanospirillales	135619	O	7757	956	8713	0.00309
Methylococcales	135618	O	3099	137	3236	0.00115
Aeromonadales	135624	O	2956	2111	5067	0.00180
Cellvibrionales	1706369	O	2451	112	2563	0.00091
Nevskiales	1775403	O	2161	430	2591	0.00092
Acidiferrobacterales	1692040	O	1889	89	1978	0.00070
Alteromonadales	135622	O	1721	205	1926	0.00068
Vibrionales	135623	O	1001	155	1156	0.00041
Moraxellales	2887326	O	562	326	888	0.00031
Legionellales	118969	O	529	542	1071	0.00038
Immundisolibacterales	1934945	O	456	83	539	0.00019
Thiotrichales	72273	O	388	22	410	0.00015
Salinisphaerales	742030	O	269	286	555	0.00020
Pasteurellales	135625	O	204	61	265	0.00009
Cardiobacteriales	135615	O	167	21	188	0.00007
Kangiellales	2887327	O	43	2	45	0.00002
Orbales	1240482	O	15	2	17	0.00001
Myxococcales	29	O	90092	7559	97651	0.03461
Desulfuromonadales	69541	O	6452	494	6946	0.00246
Desulfovibrionales	213115	O	4192	312	4504	0.00160
Desulfobacterales	213118	O	1592	136	1728	0.00061
Bradymonadales	1779134	O	1149	29	1178	0.00042
Syntrophobacterales	213462	O	360	74	434	0.00015
Desulfarculales	453227	O	324	177	501	0.00018
Syntrophales	2914038	O	218	51	269	0.00010
Campylobacterales	213849	O	611	32	643	0.00023
Nautiliales	235899	O	56	3	59	0.00002
Acidithiobacillales	225057	O	331	30	361	0.00013
Bdellovibrionales	213481	O	170	2	172	0.00006
Bacteriovoracales	2024979	O	37	0	37	0.00001
Silvanigrellales	2024973	O	12	0	12	0.00000
Hydrogenophilales	119069	O	119	20	139	0.00005
Mariprofundales	580371	O	72	1	73	0.00003
Streptomycetales	85011	O	193270	39627	232897	0.08254
Micrococcales	85006	O	176090	23867	199957	0.07087
Propionibacteriales	85009	O	166995	30763	197758	0.07009
Corynebacteriales	85007	O	124621	13535	138156	0.04896
Micromonosporales	85008	O	96689	12533	109222	0.03871
Pseudonocardiales	85010	O	79713	11956	91669	0.03249
Geodermatophilales	1643682	O	54352	13970	68322	0.02421
Streptosporangiales	85012	O	33783	5512	39295	0.01393
Actinomycetales	2037	O	4929	711	5640	0.00200
Frankiales	85013	O	4678	454	5132	0.00182
Jiangellales	1217098	O	3228	571	3799	0.00135
Nakamurellales	1643684	O	2388	337	2725	0.00097
Bifidobacteriales	85004	O	1873	902	2775	0.00098
Catenulisporales	414714	O	926	136	1062	0.00038
Jatrophihabitantales	2805415	O	910	79	989	0.00035
Glycomycetales	85014	O	701	56	757	0.00027
Kineosporiales	622452	O	679	189	868	0.00031
Sporichthyales	2495578	O	460	229	689	0.00024
Actinopolysporales	622450	O	342	35	377	0.00013
Acidothermales	1643683	O	254	12	266	0.00009
Candidatus Nanopelagicales	2039638	O	86	1	87	0.00003
Solirubrobacterales	588673	O	20453	2850	23303	0.00826
Miltoncostaeales	2843198	O	4769	576	5345	0.00189
Rubrobacterales	84996	O	20528	1426	21954	0.00778
Acidimicrobiales	84993	O	13769	1424	15193	0.00538
Eggerthellales	1643822	O	1477	237	1714	0.00061
Coriobacteriales	84999	O	1173	223	1396	0.00050
Euzebyales	908621	O	737	66	803	0.00028
Egibacterales	1747768	O	737	46	783	0.00028
Egicoccales	1755823	O	722	114	836	0.00030
Bacillales	1385	O	62099	30603	92702	0.03286
Lactobacillales	186826	O	997	499	1496	0.00053
Eubacteriales	186802	O	5047	1034	6081	0.00216
Thermoanaerobacterales	68295	O	583	73	656	0.00023
