name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Proteobacteria	1224	P	1262856	70125	1332981	0.47242
Actinobacteria	201174	P	1133662	40120	1173782	0.41600
Firmicutes	1239	P	71202	31454	102656	0.03638
Cyanobacteria	1117	P	6075	128	6203	0.00220
Deinococcus-Thermus	1297	P	5922	214	6136	0.00217
Chloroflexi	200795	P	4984	77	5061	0.00179
Armatimonadetes	67819	P	389	2	391	0.00014
Tenericutes	544448	P	147	4	151	0.00005
Planctomycetes	203682	P	88616	1016	89632	0.03177
Verrucomicrobia	74201	P	9331	233	9564	0.00339
Kiritimatiellaeota	134625	P	225	209	434	0.00015
Chlamydiae	204428	P	93	4	97	0.00003
Candidatus Omnitrophica	67812	P	47	0	47	0.00002
Bacteroidetes	976	P	23865	425	24290	0.00861
Chlorobi	1090	P	624	20	644	0.00023
Balneolaeota	1936987	P	44	4	48	0.00002
Ignavibacteriae	1134404	P	31	0	31	0.00001
Gemmatimonadetes	142182	P	13314	676	13990	0.00496
Fibrobacteres	65842	P	31	0	31	0.00001
Candidatus Cloacimonetes	456828	P	14	0	14	0.00001
Acidobacteria	57723	P	27003	820	27823	0.00986
Nitrospirae	40117	P	1868	22	1890	0.00067
Spirochaetes	203691	P	614	35	649	0.00023
Synergistetes	508458	P	456	33	489	0.00017
Candidatus Saccharibacteria	95818	P	93	5	98	0.00004
Candidatus Bipolaricaulota	67810	P	92	30	122	0.00004
Thermotogae	200918	P	125	8	133	0.00005
Aquificae	200783	P	83	1	84	0.00003
Thermodesulfobacteria	200940	P	68	1	69	0.00002
Fusobacteria	32066	P	54	9	63	0.00002
Deferribacteres	200930	P	52	1	53	0.00002
Calditrichaeota	1930617	P	48	0	48	0.00002
Chrysiogenetes	200938	P	40	18	58	0.00002
Elusimicrobia	74152	P	36	0	36	0.00001
Coprothermobacterota	2138240	P	16	2	18	0.00001
Caldiserica	67814	P	16	0	16	0.00001
Dictyoglomi	68297	P	13	0	13	0.00000
Atribacterota	67818	P	11	0	11	0.00000
Ascomycota	4890	P	22215	246	22461	0.00796
Basidiomycota	5204	P	491	13	504	0.00018
Microsporidia	6029	P	13	0	13	0.00000
Oomycota	4762	P	581	155	736	0.00026
