name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	2858660	239903	3098563	0.24232
Betaproteobacteria	28216	C	1035241	228458	1263699	0.09883
Gammaproteobacteria	1236	C	871551	221216	1092767	0.08546
Deltaproteobacteria	28221	C	585205	29682	614887	0.04809
Epsilonproteobacteria	29547	C	3074	258	3332	0.00026
Acidithiobacillia	1807140	C	1758	164	1922	0.00015
Oligoflexia	1553900	C	867	12	879	0.00007
Hydrogenophilalia	2008785	C	565	114	679	0.00005
Zetaproteobacteria	580370	C	315	9	324	0.00003
Actinomycetia	1760	C	4877790	242283	5120073	0.40042
Thermoleophilia	1497346	C	132914	18567	151481	0.01185
Rubrobacteria	84995	C	86639	7986	94625	0.00740
Acidimicrobiia	84992	C	50192	5701	55893	0.00437
Coriobacteriia	84998	C	14378	2367	16745	0.00131
Nitriliruptoria	908620	C	10999	1001	12000	0.00094
Bacilli	91061	C	160019	115419	275438	0.02154
Clostridia	186801	C	29796	4828	34624	0.00271
Negativicutes	909932	C	3980	425	4405	0.00034
Limnochordia	1676648	C	2352	95	2447	0.00019
Erysipelotrichia	526524	C	518	156	674	0.00005
Tissierellia	1737404	C	488	68528	69016	0.00540
Gloeobacteria	307596	C	3490	2676	6166	0.00048
Deinococci	188787	C	32773	1916	34689	0.00271
Thermomicrobia	189775	C	8356	364	8720	0.00068
Chloroflexia	32061	C	5924	225	6149	0.00048
Ardenticatenia	1382928	C	3137	65	3202	0.00025
Tepidiformia	2682225	C	3109	136	3245	0.00025
Caldilineae	475962	C	1622	116	1738	0.00014
Anaerolineae	292625	C	1596	35	1631	0.00013
Dehalococcoidia	301297	C	977	18	995	0.00008
Ktedonobacteria	388447	C	785	794	1579	0.00012
Candidatus Thermofonsia	2364196	C	554	6	560	0.00004
Fimbriimonadia	1663419	C	1828	10	1838	0.00014
Chthonomonadetes	1077257	C	519	4	523	0.00004
Mollicutes	31969	C	387	88	475	0.00004
Planctomycetia	203683	C	387950	6527	394477	0.03085
Phycisphaerae	666505	C	15162	509	15671	0.00123
Candidatus Brocadiia	2517206	C	172	0	172	0.00001
Candidatus Uabimicrobiia	2897345	C	74	1	75	0.00001
Opitutae	414999	C	18630	761	19391	0.00152
Verrucomicrobiae	203494	C	11571	1710	13281	0.00104
Spartobacteria	134549	C	121	10	131	0.00001
Methylacidiphilae	1955630	C	115	4	119	0.00001
Kiritimatiellae	1921781	C	766	977	1743	0.00014
Tichowtungiia	2907184	C	250	8	258	0.00002
Chlamydiia	204429	C	295	232	527	0.00004
Cytophagia	768503	C	35142	898	36040	0.00282
Chitinophagia	1853228	C	18918	10923	29841	0.00233
Bacteroidia	200643	C	9656	2480	12136	0.00095
Flavobacteriia	117743	C	9362	930	10292	0.00080
Sphingobacteriia	117747	C	5866	989	6855	0.00054
Saprospiria	1937959	C	290	78	368	0.00003
Chlorobia	191410	C	3290	358	3648	0.00029
Ignavibacteria	795747	C	181	4	185	0.00001
Gemmatimonadetes	219685	C	84835	5202	90037	0.00704
Fibrobacteria	204430	C	157	44	201	0.00002
Vicinamibacteria	1813735	C	67025	3908	70933	0.00555
Acidobacteriia	204432	C	30255	484	30739	0.00240
Blastocatellia	1562566	C	3180	119	3299	0.00026
Holophagae	533205	C	1900	38	1938	0.00015
Nitrospira	203693	C	10519	157	10676	0.00083
Thermodesulfovibrionia	2811502	C	237	6	243	0.00002
Spirochaetia	203692	C	2814	118	2932	0.00023
Synergistia	649775	C	2728	799	3527	0.00028
Candidatus Saccharimonia	2093818	C	163	274	437	0.00003
Candidatus Babeliae	2497643	C	43	54	97	0.00001
Thermotogae	188708	C	691	34	725	0.00006
Aquificae	187857	C	630	9	639	0.00005
Thermodesulfobacteria	67799	C	426	8	434	0.00003
Calditrichia	1962850	C	312	3	315	0.00002
Deferribacteres	68337	C	262	8	270	0.00002
Fusobacteriia	203490	C	246	37	283	0.00002
Chrysiogenetes	118001	C	233	114	347	0.00003
Elusimicrobia	641853	C	82	0	82	0.00001
Endomicrobia	447830	C	68	0	68	0.00001
Dictyoglomia	203486	C	92	0	92	0.00001
Caldisericia	693071	C	85	0	85	0.00001
Coprothermobacteria	2138243	C	75	15	90	0.00001
Atribacteria	2847774	C	64	1	65	0.00001
Sordariomycetes	147550	C	22239	398	22637	0.00177
Leotiomycetes	147548	C	161	1	162	0.00001
Eurotiomycetes	147545	C	5826	228	6054	0.00047
Dothideomycetes	147541	C	1141	192	1333	0.00010
Saccharomycetes	4891	C	851	82	933	0.00007
Schizosaccharomycetes	147554	C	33	1	34	0.00000
Ustilaginomycetes	5257	C	1624	40	1664	0.00013
Malasseziomycetes	1538075	C	86	19	105	0.00001
Agaricomycetes	155619	C	458	11	469	0.00004
Tremellomycetes	155616	C	93	3568	3661	0.00029
