name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	1429825	96545	1526370	0.11937
Sphingomonadales	204457	O	749423	65159	814582	0.06370
Rhodospirillales	204441	O	256000	199920	455920	0.03565
Rhodobacterales	204455	O	162274	11763	174037	0.01361
Caulobacterales	204458	O	102827	11119	113946	0.00891
Maricaulales	2800059	O	4653	501	5154	0.00040
Hyphomonadales	2800060	O	4085	160	4245	0.00033
Parvularculales	255473	O	1439	815	2254	0.00018
Rickettsiales	766	O	692	12	704	0.00006
Emcibacterales	2066490	O	686	70	756	0.00006
Holosporales	1921002	O	239	6	245	0.00002
Magnetococcales	1191478	O	187	4	191	0.00002
Pelagibacterales	54526	O	85	1	86	0.00001
Kordiimonadales	362534	O	64	1	65	0.00001
Burkholderiales	80840	O	850368	227982	1078350	0.08433
Rhodocyclales	206389	O	62072	17432	79504	0.00622
Nitrosomonadales	32003	O	57402	5732	63134	0.00494
Neisseriales	206351	O	33696	9005	42701	0.00334
Xanthomonadales	135614	O	362451	69821	432272	0.03380
Pseudomonadales	72274	O	225249	81008	306257	0.02395
Enterobacterales	91347	O	62355	86112	148467	0.01161
Chromatiales	135613	O	48847	3804	52651	0.00412
Oceanospirillales	135619	O	39416	5409	44825	0.00351
Methylococcales	135618	O	15011	713	15724	0.00123
Aeromonadales	135624	O	14308	10144	24452	0.00191
Nevskiales	1775403	O	11988	2613	14601	0.00114
Acidiferrobacterales	1692040	O	9690	486	10176	0.00080
Cellvibrionales	1706369	O	8212	439	8651	0.00068
Alteromonadales	135622	O	7509	983	8492	0.00066
Vibrionales	135623	O	4332	698	5030	0.00039
Moraxellales	2887326	O	3339	3062	6401	0.00050
Immundisolibacterales	1934945	O	2503	2895	5398	0.00042
Thiotrichales	72273	O	1853	114	1967	0.00015
Legionellales	118969	O	1607	71	1678	0.00013
Salinisphaerales	742030	O	1473	1442	2915	0.00023
Pasteurellales	135625	O	969	748	1717	0.00013
Cardiobacteriales	135615	O	767	107	874	0.00007
Kangiellales	2887327	O	125	8	133	0.00001
Orbales	1240482	O	65	11	76	0.00001
Myxococcales	29	O	496079	28486	524565	0.04102
Desulfuromonadales	69541	O	39080	3417	42497	0.00332
Desulfovibrionales	213115	O	23006	2003	25009	0.00196
Desulfobacterales	213118	O	8649	877	9526	0.00075
Bradymonadales	1779134	O	6023	178	6201	0.00048
Syntrophobacterales	213462	O	2024	549	2573	0.00020
Desulfarculales	453227	O	1735	1133	2868	0.00022
Syntrophales	2914038	O	1229	371	1600	0.00013
Desulfurellales	213113	O	41	1	42	0.00000
Campylobacterales	213849	O	2808	260	3068	0.00024
Nautiliales	235899	O	249	15	264	0.00002
Acidithiobacillales	225057	O	1758	164	1922	0.00015
Bdellovibrionales	213481	O	718	11	729	0.00006
Bacteriovoracales	2024979	O	93	1	94	0.00001
Silvanigrellales	2024973	O	54	1	55	0.00000
Hydrogenophilales	119069	O	565	114	679	0.00005
Mariprofundales	580371	O	315	9	324	0.00003
Streptomycetales	85011	O	1061200	239895	1301095	0.10175
Micrococcales	85006	O	658334	94946	753280	0.05891
Micromonosporales	85008	O	586476	84613	671089	0.05248
Pseudonocardiales	85010	O	566358	85866	652224	0.05101
Corynebacteriales	85007	O	559987	73065	633052	0.04951
Propionibacteriales	85009	O	449949	89281	539230	0.04217
Streptosporangiales	85012	O	284552	47175	331727	0.02594
Geodermatophilales	1643682	O	85301	22912	108213	0.00846
Actinomycetales	2037	O	24370	3689	28059	0.00219
Jiangellales	1217098	O	23348	4391	27739	0.00217
Frankiales	85013	O	23043	2365	25408	0.00199
Bifidobacteriales	85004	O	9463	4048	13511	0.00106
Nakamurellales	1643684	O	8325	1159	9484	0.00074
Catenulisporales	414714	O	5053	780	5833	0.00046
Glycomycetales	85014	O	4738	411	5149	0.00040
Jatrophihabitantales	2805415	O	3939	366	4305	0.00034
Kineosporiales	622452	O	3076	901	3977	0.00031
Sporichthyales	2495578	O	1943	991	2934	0.00023
Actinopolysporales	622450	O	1822	197	2019	0.00016
Acidothermales	1643683	O	1329	71	1400	0.00011
Candidatus Nanopelagicales	2039638	O	329	6	335	0.00003
Solirubrobacterales	588673	O	109637	16836	126473	0.00989
Miltoncostaeales	2843198	O	22021	2987	25008	0.00196
Rubrobacterales	84996	O	86639	7986	94625	0.00740
Acidimicrobiales	84993	O	50192	5701	55893	0.00437
Eggerthellales	1643822	O	8078	1403	9481	0.00074
Coriobacteriales	84999	O	6024	1239	7263	0.00057
Egibacterales	1747768	O	3683	234	3917	0.00031
Egicoccales	1755823	O	3647	596	4243	0.00033
Euzebyales	908621	O	3524	315	3839	0.00030
Bacillales	1385	O	154684	114277	268961	0.02103
Lactobacillales	186826	O	4372	2104	6476	0.00051
Eubacteriales	186802	O	25333	4726	30059	0.00235
Thermoanaerobacterales	68295	O	3237	537	3774	0.00030
Halanaerobiales	53433	O	301	16	317	0.00002
Thermosediminibacterales	2770089	O	252	13	265	0.00002
Koleobacterales	2786987	O	105	10	115	0.00001
Natranaerobiales	485256	O	87	3	90	0.00001
Selenomonadales	909929	O	2807	156	2963	0.00023
Veillonellales	1843489	O	764	225	989	0.00008
Acidaminococcales	1843488	O	368	83	451	0.00004
Limnochordales	1676649	O	2352	95	2447	0.00019
Erysipelotrichales	526525	O	518	156	674	0.00005
Tissierellales	1737405	O	391	592	983	0.00008
Nostocales	1161	O	23770	2100	25870	0.00202
Synechococcales	1890424	O	16586	1150	17736	0.00139
Oscillatoriales	1150	O	11224	1134	12358	0.00097
Chroococcales	1118	O	2165	320	2485	0.00019
Pseudanabaenales	2881377	O	9430	587	10017	0.00078
Gloeobacterales	307595	O	3490	79	3569	0.00028
Chroococcidiopsidales	1890505	O	1371	221	1592	0.00012
Pleurocapsales	52604	O	460	49	509	0.00004
Gloeomargaritales	1955042	O	197	7	204	0.00002
Thermostichales	2881383	O	157	133	290	0.00002
Deinococcales	118964	O	20848	1632	22480	0.00176
Thermales	68933	O	9776	588	10364	0.00081
Trueperales	2762275	O	1749	95	1844	0.00014
Sphaerobacterales	85001	O	6819	437	7256	0.00057
Thermomicrobiales	189776	O	1432	31	1463	0.00011
Chloroflexales	32064	O	5924	225	6149	0.00048
Ardenticatenales	1382929	O	3137	65	3202	0.00025
Tepidiformales	2682226	O	3109	136	3245	0.00025
Caldilineales	475963	O	1622	116	1738	0.00014
Anaerolineales	292629	O	1596	756	2352	0.00018
Dehalococcoidales	1202465	O	266	8	274	0.00002
Ktedonobacterales	388448	O	785	794	1579	0.00012
Phototrophicales	2364208	O	554	6	560	0.00004
Fimbriimonadales	1663425	O	1828	10	1838	0.00014
Chthonomonadales	1077263	O	519	4	523	0.00004
Mycoplasmatales	2085	O	183	31	214	0.00002
Acholeplasmatales	186329	O	120	10	130	0.00001
Entomoplasmatales	186328	O	69	8	77	0.00001
Mycoplasmoidales	2790996	O	25	28	53	0.00000
Gemmatales	2691355	O	161066	5886	166952	0.01306
Isosphaerales	2691356	O	85201	9039	94240	0.00737
Pirellulales	2691354	O	67565	1761	69326	0.00542
Planctomycetales	112	O	57600	6357	63957	0.00500
Tepidisphaerales	1771349	O	9559	241	9800	0.00077
Phycisphaerales	666506	O	4992	300	5292	0.00041
Sedimentisphaerales	2483366	O	539	38	577	0.00005
