name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Proteobacteria	1224	P	5700182	376874	6077056	0.47524
Actinobacteria	201174	P	5225804	225015	5450819	0.42627
Firmicutes	1239	P	200271	118302	318573	0.02491
Cyanobacteria	1117	P	73172	1464	74636	0.00584
Deinococcus-Thermus	1297	P	32773	1916	34689	0.00271
Chloroflexi	200795	P	27338	485	27823	0.00218
Armatimonadetes	67819	P	2354	15	2369	0.00019
Tenericutes	544448	P	445	30	475	0.00004
Planctomycetes	203682	P	404831	5565	410396	0.03209
Verrucomicrobia	74201	P	32001	922	32923	0.00257
Kiritimatiellaeota	134625	P	1021	981	2002	0.00016
Chlamydiae	204428	P	295	5	300	0.00002
Candidatus Omnitrophica	67812	P	226	0	226	0.00002
Bacteroidetes	976	P	93582	1952	95534	0.00747
Chlorobi	1090	P	3290	124	3414	0.00027
Balneolaeota	1936987	P	212	22	234	0.00002
Ignavibacteriae	1134404	P	181	4	185	0.00001
Gemmatimonadetes	142182	P	84835	5202	90037	0.00704
Fibrobacteres	65842	P	157	3	160	0.00001
Candidatus Cloacimonetes	456828	P	40	0	40	0.00000
Acidobacteria	57723	P	103441	3469	106910	0.00836
Nitrospirae	40117	P	10759	160	10919	0.00085
Spirochaetes	203691	P	2814	118	2932	0.00023
Synergistetes	508458	P	2728	240	2968	0.00023
Candidatus Bipolaricaulota	67810	P	536	23	559	0.00004
Candidatus Saccharibacteria	95818	P	414	67	481	0.00004
Candidatus Absconditabacteria	221235	P	33	20	53	0.00000
Thermotogae	200918	P	691	34	725	0.00006
Aquificae	200783	P	630	9	639	0.00005
Thermodesulfobacteria	200940	P	426	8	434	0.00003
Calditrichaeota	1930617	P	312	3	315	0.00002
Deferribacteres	200930	P	262	8	270	0.00002
Fusobacteria	32066	P	246	37	283	0.00002
Chrysiogenetes	200938	P	233	114	347	0.00003
Elusimicrobia	74152	P	150	1	151	0.00001
Dictyoglomi	68297	P	92	0	92	0.00001
Caldiserica	67814	P	85	0	85	0.00001
Coprothermobacterota	2138240	P	75	15	90	0.00001
Atribacterota	67818	P	64	1	65	0.00001
Ascomycota	4890	P	30803	352	31155	0.00244
Basidiomycota	5204	P	2284	64	2348	0.00018
Microsporidia	6029	P	10	0	10	0.00000
Oomycota	4762	P	3147	396	3543	0.00028
