name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	3501597	331555	3833152	0.24471
Betaproteobacteria	28216	C	1413278	310101	1723379	0.11002
Gammaproteobacteria	1236	C	1270096	338207	1608303	0.10267
Deltaproteobacteria	28221	C	647744	43024	690768	0.04410
Epsilonproteobacteria	29547	C	4707	358	5065	0.00032
Acidithiobacillia	1807140	C	2504	231	2735	0.00017
Oligoflexia	1553900	C	1200	16	1216	0.00008
Hydrogenophilalia	2008785	C	813	167	980	0.00006
Zetaproteobacteria	580370	C	545	16	561	0.00004
Actinomycetia	1760	C	5414078	297214	5711292	0.36460
Rubrobacteria	84995	C	142097	9481	151578	0.00968
Acidimicrobiia	84992	C	90852	11900	102752	0.00656
Thermoleophilia	1497346	C	89482	13460	102942	0.00657
Coriobacteriia	84998	C	21099	3955	25054	0.00160
Nitriliruptoria	908620	C	20710	2191	22901	0.00146
Bacilli	91061	C	142943	96488	239431	0.01529
Clostridia	186801	C	43368	9493	52861	0.00337
Negativicutes	909932	C	5951	700	6651	0.00042
Limnochordia	1676648	C	3515	158	3673	0.00023
Tissierellia	1737404	C	668	444	1112	0.00007
Erysipelotrichia	526524	C	631	508	1139	0.00007
Deinococci	188787	C	49822	41608	91430	0.00584
Gloeobacteria	307596	C	5397	6207	11604	0.00074
Thermomicrobia	189775	C	9883	424	10307	0.00066
Chloroflexia	32061	C	5665	222	5887	0.00038
Tepidiformia	2682225	C	5341	248	5589	0.00036
Ardenticatenia	1382928	C	5152	114	5266	0.00034
Anaerolineae	292625	C	2570	55	2625	0.00017
Caldilineae	475962	C	2404	163	2567	0.00016
Dehalococcoidia	301297	C	1460	28	1488	0.00009
Ktedonobacteria	388447	C	911	28	939	0.00006
Candidatus Thermofonsia	2364196	C	864	941	1805	0.00012
Fimbriimonadia	1663419	C	2696	17	2713	0.00017
Chthonomonadetes	1077257	C	720	6	726	0.00005
Mollicutes	31969	C	749	155	904	0.00006
Planctomycetia	203683	C	614983	10375	625358	0.03992
Phycisphaerae	666505	C	25324	880	26204	0.00167
Candidatus Brocadiia	2517206	C	248	1	249	0.00002
Candidatus Uabimicrobiia	2897345	C	130	2	132	0.00001
Opitutae	414999	C	32553	1398	33951	0.00217
Verrucomicrobiae	203494	C	17698	2403	20101	0.00128
Methylacidiphilae	1955630	C	162	6	168	0.00001
Spartobacteria	134549	C	154	11	165	0.00001
Kiritimatiellae	1921781	C	1212	1466	2678	0.00017
Tichowtungiia	2907184	C	473	18	491	0.00003
Chlamydiia	204429	C	463	373	836	0.00005
Cytophagia	768503	C	50653	1196	51849	0.00331
Chitinophagia	1853228	C	17298	18234	35532	0.00227
Bacteroidia	200643	C	14170	2846	17016	0.00109
Flavobacteriia	117743	C	13910	2038	15948	0.00102
Sphingobacteriia	117747	C	6873	656	7529	0.00048
Saprospiria	1937959	C	472	123	595	0.00004
Chlorobia	191410	C	4967	579	5546	0.00035
Ignavibacteria	795747	C	296	6	302	0.00002
Gemmatimonadetes	219685	C	114826	7303	122129	0.00780
Fibrobacteria	204430	C	189	104	293	0.00002
Vicinamibacteria	1813735	C	119023	7073	126096	0.00805
Acidobacteriia	204432	C	47973	791	48764	0.00311
Blastocatellia	1562566	C	4985	166	5151	0.00033
Holophagae	533205	C	3068	63	3131	0.00020
Nitrospira	203693	C	17376	263	17639	0.00113
Thermodesulfovibrionia	2811502	C	322	8	330	0.00002
Spirochaetia	203692	C	4464	351	4815	0.00031
Synergistia	649775	C	4108	1257	5365	0.00034
Candidatus Saccharimonia	2093818	C	187	274	461	0.00003
Candidatus Babeliae	2497643	C	77	124	201	0.00001
Thermotogae	188708	C	1263	79	1342	0.00009
Aquificae	187857	C	950	15	965	0.00006
Thermodesulfobacteria	67799	C	670	14	684	0.00004
Calditrichia	1962850	C	455	4	459	0.00003
Deferribacteres	68337	C	383	12	395	0.00003
Chrysiogenetes	118001	C	371	187	558	0.00004
Fusobacteriia	203490	C	330	47	377	0.00002
Endomicrobia	447830	C	122	1	123	0.00001
Elusimicrobia	641853	C	110	1	111	0.00001
Dictyoglomia	203486	C	171	0	171	0.00001
Coprothermobacteria	2138243	C	141	31	172	0.00001
Caldisericia	693071	C	130	0	130	0.00001
Atribacteria	2847774	C	77	2	79	0.00001
Sordariomycetes	147550	C	30544	511	31055	0.00198
Leotiomycetes	147548	C	284	1	285	0.00002
Eurotiomycetes	147545	C	5341	176	5517	0.00035
Dothideomycetes	147541	C	1334	193	1527	0.00010
Saccharomycetes	4891	C	1237	110	1347	0.00009
Schizosaccharomycetes	147554	C	52	1	53	0.00000
Ustilaginomycetes	5257	C	2467	48	2515	0.00016
Malasseziomycetes	1538075	C	147	24	171	0.00001
Agaricomycetes	155619	C	648	10	658	0.00004
Tremellomycetes	155616	C	163	5007	5170	0.00033
