name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	405012	35357	440369	0.02811
Rhizobiaceae	82115	F	216127	73739	289866	0.01850
Phyllobacteriaceae	69277	F	195147	34124	229271	0.01464
Methylobacteriaceae	119045	F	188497	27973	216470	0.01382
Xanthobacteraceae	335928	F	68564	12521	81085	0.00518
Hyphomicrobiaceae	45401	F	54813	5465	60278	0.00385
Boseaceae	2831100	F	40825	6522	47347	0.00302
Devosiaceae	2831106	F	38050	3269	41319	0.00264
Aurantimonadaceae	255475	F	34482	7124	41606	0.00266
Methylocystaceae	31993	F	22264	25597	47861	0.00306
Stappiaceae	2821832	F	19845	4596	24441	0.00156
Phreatobacteraceae	2843305	F	18364	3274	21638	0.00138
Parvibaculaceae	2813035	F	14755	3266	18021	0.00115
Chelatococcaceae	2036754	F	13942	3375	17317	0.00111
Blastochloridaceae	2831090	F	10755	2632	13387	0.00085
Beijerinckiaceae	45404	F	10110	766	10876	0.00069
Amorphaceae	2685818	F	7440	837	8277	0.00053
Kaistiaceae	2831111	F	6090	1557	7647	0.00049
Brucellaceae	118882	F	5990	11513	17503	0.00112
Pleomorphomonadaceae	2843308	F	4125	762	4887	0.00031
Breoghaniaceae	2831104	F	3996	544	4540	0.00029
Lichenihabitantaceae	2723775	F	3669	183	3852	0.00025
Cohaesibacteraceae	655351	F	713	30	743	0.00005
Bartonellaceae	772	F	626	37	663	0.00004
Sphingomonadaceae	41297	F	863276	101951	965227	0.06162
Erythrobacteraceae	335929	F	99092	18722	117814	0.00752
Sphingosinicellaceae	2820280	F	35965	3241	39206	0.00250
Zymomonadaceae	2844881	F	201	173	374	0.00002
Azospirillaceae	2829815	F	125031	13076	138107	0.00882
Acetobacteraceae	433	F	109572	13357	122929	0.00785
Rhodospirillaceae	41295	F	67914	284246	352160	0.02248
Stellaceae	2844601	F	13449	930	14379	0.00092
Elioraeaceae	2690195	F	6503	330	6833	0.00044
Thalassospiraceae	2844866	F	3530	218	3748	0.00024
Terasakiellaceae	2813951	F	158	4	162	0.00001
Rhodobacteraceae	31989	F	120435	16616	137051	0.00875
Roseobacteraceae	2854170	F	79462	9361	88823	0.00567
Caulobacteraceae	76892	F	146041	30110	176151	0.01125
Hyphomonadaceae	69657	F	7884	279	8163	0.00052
Maricaulaceae	2800061	F	6726	682	7408	0.00047
Parvularculaceae	255474	F	2098	138	2236	0.00014
Anaplasmataceae	942	F	512	7	519	0.00003
Rickettsiaceae	775	F	427	27	454	0.00003
Candidatus Midichloriaceae	1328881	F	53	3	56	0.00000
Candidatus Deianiraeaceae	2603433	F	34	35	69	0.00000
Emcibacteraceae	2066491	F	971	97	1068	0.00007
Holosporaceae	44746	F	202	4	206	0.00001
Caedimonadaceae	2100208	F	86	4	90	0.00001
Candidatus Paracaedibacteraceae	1777752	F	74	2	76	0.00000
Magnetococcaceae	1191479	F	284	92	376	0.00002
Pelagibacteraceae	1655514	F	68	2	70	0.00000
