name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Proteobacteria	1224	P	7301139	565024	7866163	0.50217
Actinobacteria	201174	P	5841863	274659	6116522	0.39047
Firmicutes	1239	P	201173	103698	304871	0.01946
Deinococcus-Thermus	1297	P	49822	2667	52489	0.00335
Cyanobacteria	1117	P	49205	1473	50678	0.00324
Chloroflexi	200795	P	35744	734	36478	0.00233
Armatimonadetes	67819	P	3423	23	3446	0.00022
Tenericutes	544448	P	849	55	904	0.00006
Planctomycetes	203682	P	642987	8957	651944	0.04162
Verrucomicrobia	74201	P	52763	1623	54386	0.00347
Kiritimatiellaeota	134625	P	1697	1472	3169	0.00020
Chlamydiae	204428	P	463	8	471	0.00003
Candidatus Omnitrophica	67812	P	364	1	365	0.00002
Bacteroidetes	976	P	125464	3008	128472	0.00820
Chlorobi	1090	P	4967	189	5156	0.00033
Balneolaeota	1936987	P	355	35	390	0.00002
Ignavibacteriae	1134404	P	296	6	302	0.00002
Gemmatimonadetes	142182	P	114826	7303	122129	0.00780
Fibrobacteres	65842	P	189	3	192	0.00001
Candidatus Cloacimonetes	456828	P	98	2	100	0.00001
Acidobacteria	57723	P	176821	6322	183143	0.01169
Nitrospirae	40117	P	17699	270	17969	0.00115
Spirochaetes	203691	P	4464	351	4815	0.00031
Synergistetes	508458	P	4108	352	4460	0.00028
Candidatus Bipolaricaulota	67810	P	866	39	905	0.00006
Candidatus Saccharibacteria	95818	P	426	114	540	0.00003
Candidatus Absconditabacteria	221235	P	72	51	123	0.00001
Thermotogae	200918	P	1263	79	1342	0.00009
Aquificae	200783	P	950	15	965	0.00006
Thermodesulfobacteria	200940	P	670	14	684	0.00004
Calditrichaeota	1930617	P	455	4	459	0.00003
Deferribacteres	200930	P	383	12	395	0.00003
Chrysiogenetes	200938	P	371	187	558	0.00004
Fusobacteria	32066	P	330	47	377	0.00002
Elusimicrobia	74152	P	233	2	235	0.00002
Dictyoglomi	68297	P	171	0	171	0.00001
Coprothermobacterota	2138240	P	141	31	172	0.00001
Caldiserica	67814	P	130	0	130	0.00001
Atribacterota	67818	P	77	2	79	0.00001
Ascomycota	4890	P	39374	413	39787	0.00254
Basidiomycota	5204	P	3441	86	3527	0.00023
Microsporidia	6029	P	20	0	20	0.00000
Oomycota	4762	P	4524	445	4969	0.00032
