name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. 200	2782665	S	9185	2076	11261	0.00072
Bradyrhizobium sp. 170	2782641	S	8399	2191	10590	0.00068
Bradyrhizobium sp. CCBAU 051011	858422	S	7991	1618	9609	0.00061
Bradyrhizobium sp. CCBAU 51753	1325100	S	6723	1542	8265	0.00053
Bradyrhizobium sp. ORS 278	114615	S	5711	1357	7068	0.00045
Bradyrhizobium sp. A19	2898149	S	5650	1035	6685	0.00043
Bradyrhizobium sp. BTAi1	288000	S	5611	1072	6683	0.00043
Bradyrhizobium sp. ORS 285	115808	S	5500	1288	6788	0.00043
Bradyrhizobium sp. SK17	2057741	S	4525	1558	6083	0.00039
Bradyrhizobium sp. 186	2782654	S	4416	1213	5629	0.00036
Bradyrhizobium sp. CCBAU 53421	1325120	S	3576	1173	4749	0.00030
Bradyrhizobium sp. 1(2017)	1404888	S	3282	1073	4355	0.00028
Bradyrhizobium sp. CCBAU 53338	1325111	S	3121	1366	4487	0.00029
Bradyrhizobium sp. CCBAU 53340	1325112	S	3121	1296	4417	0.00028
Bradyrhizobium sp. CCGE-LA001	1223566	S	3020	1191	4211	0.00027
Bradyrhizobium sp. 195	2782662	S	3006	1114	4120	0.00026
Bradyrhizobium sp. CCBAU 53351	1325114	S	2880	1550	4430	0.00028
Bradyrhizobium sp. S2-11-2	2840472	S	2620	1954	4574	0.00029
Bradyrhizobium sp. 6(2017)	1197460	S	2601	1364	3965	0.00025
Bradyrhizobium sp. 191	2782659	S	2447	2371	4818	0.00031
Bradyrhizobium sp. CCBAU 51765	1325102	S	2166	1963	4129	0.00026
Bradyrhizobium sp. I71	2590772	S	2106	1814	3920	0.00025
Bradyrhizobium sp. S2-20-1	2840469	S	2078	1641	3719	0.00024
Bradyrhizobium sp. S2-11-4	2840473	S	2071	1796	3867	0.00025
Bradyrhizobium sp. 41S5	1404443	S	2048	1479	3527	0.00023
Bradyrhizobium sp. C-145	574727	S	1353	1451	2804	0.00018
Bradyrhizobium sp.	376	S	1004	3566	4570	0.00029
Bradyrhizobium sp. 144S4	2823807	S	828	2156	2984	0.00019
Bradyrhizobium sp. 40	2782674	S	820	1806	2626	0.00017
Bradyrhizobium sp. 4	2782678	S	742	1826	2568	0.00016
Bradyrhizobium sp. 323S2	1404649	S	689	1837	2526	0.00016
Bradyrhizobium sp. 192	2782660	S	637	1638	2275	0.00015
Bradyrhizobium sp. LCT2	2493093	S	433	1316	1749	0.00011
Bradyrhizobium sp. SG09	2599805	S	323	2438	2761	0.00018
Bradyrhizobium sp. 187	2782655	S	311	1548	1859	0.00012
Bradyrhizobium sp. TM102	2599819	S	285	2047	2332	0.00015
Bradyrhizobium sp. CW1	2782686	S	277	4238	4515	0.00029
Bradyrhizobium sp. 38S5	2819348	S	192	2320	2512	0.00016
Bradyrhizobium sp. 172	2782643	S	165	1989	2154	0.00014
Bradyrhizobium sp. 1S5	2816456	S	142	1577	1719	0.00011
Bradyrhizobium sp. 131	2782609	S	114	1844	1958	0.00013
Bradyrhizobium sp. 155	2782629	S	85	1517	1602	0.00010
Bradyrhizobium erythrophlei	1437360	S	17561	1553	19114	0.00122
Bradyrhizobium diazoefficiens	1355477	S	13485	22901	36386	0.00232
Bradyrhizobium icense	1274631	S	9084	1401	10485	0.00067
Bradyrhizobium paxllaeri	190148	S	7320	1484	8804	0.00056
Bradyrhizobium lablabi	722472	S	5991	7564	13555	0.00087
Bradyrhizobium japonicum	375	S	5219	8313	13532	0.00086
Bradyrhizobium oligotrophicum	44255	S	5081	960	6041	0.00039
Bradyrhizobium genosp. L	83637	S	5069	1107	6176	0.00039
Bradyrhizobium canariense	255045	S	4844	8324	13168	0.00084
Bradyrhizobium arachidis	858423	S	4029	1254	5283	0.00034
Bradyrhizobium vignae	1549949	S	3398	868	4266	0.00027
Bradyrhizobium genosp. B	83627	S	3270	757	4027	0.00026
Bradyrhizobium quebecense	2748629	S	3203	1971	5174	0.00033
Bradyrhizobium guangdongense	1325090	S	3160	1271	4431	0.00028
Bradyrhizobium cosmicum	1404864	S	3088	1090	4178	0.00027
Bradyrhizobium guangzhouense	1325095	S	2808	1160	3968	0.00025
