name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	2562125	148857	2710982	0.15222
Sphingomonadales	204457	O	1076096	95020	1171116	0.06576
Rhodospirillales	204441	O	425007	362738	787745	0.04423
Rhodobacterales	204455	O	235998	16518	252516	0.01418
Caulobacterales	204458	O	228813	20756	249569	0.01401
Hyphomonadales	2800060	O	11287	391	11678	0.00066
Maricaulales	2800059	O	8449	866	9315	0.00052
Parvularculales	255473	O	2605	177	2782	0.00016
Rickettsiales	766	O	1412	1421	2833	0.00016
Emcibacterales	2066490	O	1365	130	1495	0.00008
Holosporales	1921002	O	515	15	530	0.00003
Magnetococcales	1191478	O	317	7	324	0.00002
Pelagibacterales	54526	O	262	4	266	0.00001
Kordiimonadales	362534	O	150	2	152	0.00001
Burkholderiales	80840	O	1594198	332601	1926799	0.10819
Rhodocyclales	206389	O	114707	34461	149168	0.00838
Nitrosomonadales	32003	O	96632	12902	109534	0.00615
Neisseriales	206351	O	62727	16806	79533	0.00447
Xanthomonadales	135614	O	612479	111315	723794	0.04064
Pseudomonadales	72274	O	366981	122496	489477	0.02748
Enterobacterales	91347	O	110213	185157	295370	0.01659
Chromatiales	135613	O	90817	7099	97916	0.00550
Oceanospirillales	135619	O	68757	8712	77469	0.00435
Nevskiales	1775403	O	29449	6253	35702	0.00200
Methylococcales	135618	O	29195	1309	30504	0.00171
Aeromonadales	135624	O	25231	18020	43251	0.00243
Acidiferrobacterales	1692040	O	18436	908	19344	0.00109
Cellvibrionales	1706369	O	16731	826	17557	0.00099
Alteromonadales	135622	O	14292	1727	16019	0.00090
Vibrionales	135623	O	8305	3085	11390	0.00064
Immundisolibacterales	1934945	O	7289	1371	8660	0.00049
Legionellales	118969	O	4678	253	4931	0.00028
Moraxellales	2887326	O	4561	6333	10894	0.00061
Thiotrichales	72273	O	3653	210	3863	0.00022
Salinisphaerales	742030	O	3005	3001	6006	0.00034
Pasteurellales	135625	O	2170	1251	3421	0.00019
Cardiobacteriales	135615	O	1608	218	1826	0.00010
Kangiellales	2887327	O	273	16	289	0.00002
Orbales	1240482	O	116	18	134	0.00001
Myxococcales	29	O	672139	57937	730076	0.04099
Desulfuromonadales	69541	O	53109	4413	57522	0.00323
Desulfovibrionales	213115	O	36208	2931	39139	0.00220
Desulfobacterales	213118	O	13001	1176	14177	0.00080
Bradymonadales	1779134	O	9927	284	10211	0.00057
Syntrophobacterales	213462	O	3034	720	3754	0.00021
Desulfarculales	453227	O	2675	1533	4208	0.00024
Syntrophales	2914038	O	1513	495	2008	0.00011
Desulfurellales	213113	O	58	2	60	0.00000
Campylobacterales	213849	O	4842	420	5262	0.00030
Nautiliales	235899	O	370	32	402	0.00002
Acidithiobacillales	225057	O	2857	261	3118	0.00018
Bdellovibrionales	213481	O	1331	19	1350	0.00008
Bacteriovoracales	2024979	O	160	2	162	0.00001
Silvanigrellales	2024973	O	74	1	75	0.00000
Hydrogenophilales	119069	O	1034	199	1233	0.00007
Mariprofundales	580371	O	561	16	577	0.00003
