name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	394680	30526	425206	0.03613
Rhizobiaceae	82115	F	281286	97568	378854	0.03219
Phyllobacteriaceae	69277	F	171561	21674	193235	0.01642
Methylobacteriaceae	119045	F	170190	16839	187029	0.01589
Devosiaceae	2831106	F	58275	3636	61911	0.00526
Xanthobacteraceae	335928	F	45233	5721	50954	0.00433
Hyphomicrobiaceae	45401	F	32080	2379	34459	0.00293
Boseaceae	2831100	F	28131	3065	31196	0.00265
Aurantimonadaceae	255475	F	25183	3726	28909	0.00246
Stappiaceae	2821832	F	13701	2357	16058	0.00136
Methylocystaceae	31993	F	13648	15005	28653	0.00244
Phreatobacteraceae	2843305	F	12104	1522	13626	0.00116
Chelatococcaceae	2036754	F	9084	1474	10558	0.00090
Parvibaculaceae	2813035	F	8735	1571	10306	0.00088
Blastochloridaceae	2831090	F	6761	1158	7919	0.00067
Beijerinckiaceae	45404	F	6381	335	6716	0.00057
Amorphaceae	2685818	F	4795	394	5189	0.00044
Brucellaceae	118882	F	4602	7260	11862	0.00101
Kaistiaceae	2831111	F	4266	754	5020	0.00043
Pleomorphomonadaceae	2843308	F	3051	388	3439	0.00029
Breoghaniaceae	2831104	F	2785	271	3056	0.00026
Lichenihabitantaceae	2723775	F	2238	78	2316	0.00020
Cohaesibacteraceae	655351	F	526	16	542	0.00005
Bartonellaceae	772	F	468	21	489	0.00004
Sphingomonadaceae	41297	F	474703	55242	529945	0.04503
Erythrobacteraceae	335929	F	70672	11718	82390	0.00700
Sphingosinicellaceae	2820280	F	23368	1832	25200	0.00214
Zymomonadaceae	2844881	F	141	123	264	0.00002
Azospirillaceae	2829815	F	107777	10028	117805	0.01001
Acetobacteraceae	433	F	69004	7232	76236	0.00648
Rhodospirillaceae	41295	F	42255	137419	179674	0.01527
Stellaceae	2844601	F	7652	467	8119	0.00069
Elioraeaceae	2690195	F	3795	163	3958	0.00034
Thalassospiraceae	2844866	F	2126	118	2244	0.00019
Terasakiellaceae	2813951	F	85	1	86	0.00001
Rhodobacteraceae	31989	F	91465	11406	102871	0.00874
Roseobacteraceae	2854170	F	56297	6666	62963	0.00535
Caulobacteraceae	76892	F	127345	11306	138651	0.01178
Maricaulaceae	2800061	F	3982	365	4347	0.00037
Hyphomonadaceae	69657	F	3576	118	3694	0.00031
Parvularculaceae	255474	F	1190	72	1262	0.00011
Anaplasmataceae	942	F	352	4	356	0.00003
Rickettsiaceae	775	F	275	17	292	0.00002
Candidatus Midichloriaceae	1328881	F	44	34	78	0.00001
Candidatus Deianiraeaceae	2603433	F	17	594	611	0.00005
Emcibacteraceae	2066491	F	568	46	614	0.00005
Holosporaceae	44746	F	116	1	117	0.00001
Candidatus Paracaedibacteraceae	1777752	F	51	2	53	0.00000
Caedimonadaceae	2100208	F	47	2	49	0.00000
Magnetococcaceae	1191479	F	141	2	143	0.00001
Pelagibacteraceae	1655514	F	86	39	125	0.00001
Kordiimonadaceae	1331809	F	82	1	83	0.00001
Comamonadaceae	80864	F	411950	113655	525605	0.04467
Burkholderiaceae	119060	F	253045	98835	351880	0.02990
Oxalobacteraceae	75682	F	120658	118661	239319	0.02034
Alcaligenaceae	506	F	77112	46749	123861	0.01053
Sutterellaceae	995019	F	1474	105	1579	0.00013
Azonexaceae	2008795	F	75836	6938	82774	0.00703
Zoogloeaceae	2008794	F	33455	11320	44775	0.00380
Rhodocyclaceae	75787	F	30515	8768	39283	0.00334
Fluviibacteraceae	2808923	F	266	78	344	0.00003
Nitrosomonadaceae	206379	F	46525	1373	47898	0.00407
Usitatibacteraceae	2803844	F	17283	1193	18476	0.00157
Sterolibacteriaceae	2008793	F	10221	2267	12488	0.00106
Gallionellaceae	90627	F	6428	587	7015	0.00060
Thiobacillaceae	2008790	F	4312	1124	5436	0.00046
Sulfuricellaceae	2772226	F	3831	432	4263	0.00036
Methylophilaceae	32011	F	2129	167	2296	0.00020
Chromobacteriaceae	1499392	F	21450	3719	25169	0.00214
Neisseriaceae	481	F	9655	1908	11563	0.00098
Casimicrobiaceae	2705999	F	1378	629	2007	0.00017
Xanthomonadaceae	32033	F	364346	67111	431457	0.03667
Rhodanobacteraceae	1775411	F	35633	4675	40308	0.00343
Pseudomonadaceae	135621	F	192401	43920	236321	0.02008
Marinobacteraceae	2887365	F	4942	385	5327	0.00045
Enterobacteriaceae	543	F	27824	109892	137716	0.01170
Yersiniaceae	1903411	F	9539	2615	12154	0.00103
Erwiniaceae	1903409	F	7532	1062	8594	0.00073
Pectobacteriaceae	1903410	F	4838	709	5547	0.00047
Morganellaceae	1903414	F	1489	917	2406	0.00020
Hafniaceae	1903412	F	1487	251	1738	0.00015
Bruguierivoracaceae	2812006	F	843	49	892	0.00008
Budviciaceae	1903416	F	220	24	244	0.00002
Ectothiorhodospiraceae	72276	F	19685	1755	21440	0.00182
Chromatiaceae	1046	F	13905	890	14795	0.00126
Wenzhouxiangellaceae	1676141	F	2273	2135	4408	0.00037
Thioalkalispiraceae	1096778	F	1275	451	1726	0.00015
Thioalkalibacteraceae	2035710	F	1172	260	1432	0.00012
Halothiobacillaceae	255526	F	826	65	891	0.00008
Woeseiaceae	1738654	F	814	12	826	0.00007
Granulosicoccaceae	449719	F	593	12	605	0.00005
Halomonadaceae	28256	F	30440	3141	33581	0.00285
Alcanivoracaceae	224372	F	3141	1187	4328	0.00037
Oceanospirillaceae	135620	F	2381	240	2621	0.00022
Saccharospirillaceae	255527	F	658	30	688	0.00006
Hahellaceae	224379	F	629	23	652	0.00006
Litoricolaceae	449732	F	211	9	220	0.00002
Endozoicomonadaceae	2066474	F	103	5	108	0.00001
Oleiphilaceae	191033	F	101	8	109	0.00001
Zooshikellaceae	2898533	F	34	0	34	0.00000
Cellvibrionaceae	1706371	F	11116	341	11457	0.00097
Microbulbiferaceae	1706373	F	4332	231	4563	0.00039
Halieaceae	1706372	F	1744	170	1914	0.00016
Spongiibacteraceae	1706375	F	857	70	927	0.00008
Methylococcaceae	403	F	13991	547	14538	0.00124
Steroidobacteraceae	2689614	F	7939	1954	9893	0.00084
Sinobacteraceae	568386	F	5282	603	5885	0.00050
Aeromonadaceae	84642	F	12751	8826	21577	0.00183
Succinivibrionaceae	83763	F	19	0	19	0.00000
Shewanellaceae	267890	F	3998	644	4642	0.00039
Alteromonadaceae	72275	F	1818	211	2029	0.00017
Pseudoalteromonadaceae	267888	F	1189	154	1343	0.00011
Ferrimonadaceae	267892	F	480	55	535	0.00005
Colwelliaceae	267889	F	264	23	287	0.00002
Idiomarinaceae	267893	F	224	19	243	0.00002
Moritellaceae	267891	F	115	24	139	0.00001
