name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	1414700	102815	1517515	0.12896
Sphingomonadales	204457	O	590321	47479	637800	0.05420
Rhodospirillales	204441	O	240037	148088	388125	0.03298
Rhodobacterales	204455	O	156306	9528	165834	0.01409
Caulobacterales	204458	O	127345	11306	138651	0.01178
Maricaulales	2800059	O	3982	365	4347	0.00037
Hyphomonadales	2800060	O	3576	118	3694	0.00031
Parvularculales	255473	O	1190	72	1262	0.00011
Rickettsiales	766	O	736	603	1339	0.00011
Emcibacterales	2066490	O	568	46	614	0.00005
Holosporales	1921002	O	215	4	219	0.00002
Magnetococcales	1191478	O	141	2	143	0.00001
Pelagibacterales	54526	O	123	2	125	0.00001
Kordiimonadales	362534	O	82	1	83	0.00001
Burkholderiales	80840	O	1014124	228121	1242245	0.10557
Rhodocyclales	206389	O	144064	23114	167178	0.01421
Nitrosomonadales	32003	O	91832	6045	97877	0.00832
Neisseriales	206351	O	31749	6992	38741	0.00329
Xanthomonadales	135614	O	406145	65621	471766	0.04009
Pseudomonadales	72274	O	197900	43748	241648	0.02054
Enterobacterales	91347	O	58583	110712	169295	0.01439
Chromatiales	135613	O	43250	2876	46126	0.00392
Oceanospirillales	135619	O	37969	4376	42345	0.00360
Cellvibrionales	1706369	O	18215	648	18863	0.00160
Methylococcales	135618	O	13991	547	14538	0.00124
Nevskiales	1775403	O	13264	2515	15779	0.00134
Aeromonadales	135624	O	12770	8827	21597	0.00184
Alteromonadales	135622	O	8348	932	9280	0.00079
Acidiferrobacterales	1692040	O	8302	344	8646	0.00073
Vibrionales	135623	O	5430	4348	9778	0.00083
Moraxellales	2887326	O	3556	3546	7102	0.00060
Pasteurellales	135625	O	2779	5927	8706	0.00074
Immundisolibacterales	1934945	O	2141	338	2479	0.00021
Thiotrichales	72273	O	2093	279	2372	0.00020
Legionellales	118969	O	1969	94	2063	0.00018
Salinisphaerales	742030	O	1183	1231	2414	0.00021
Cardiobacteriales	135615	O	737	82	819	0.00007
Kangiellales	2887327	O	175	10	185	0.00002
Orbales	1240482	O	62	9	71	0.00001
Myxococcales	29	O	478799	18968	497767	0.04230
Desulfuromonadales	69541	O	29935	2311	32246	0.00274
Desulfovibrionales	213115	O	17549	1407	18956	0.00161
Desulfobacterales	213118	O	6237	599	6836	0.00058
Bradymonadales	1779134	O	4977	126	5103	0.00043
Syntrophobacterales	213462	O	1380	365	1745	0.00015
Desulfarculales	453227	O	1223	777	2000	0.00017
Syntrophales	2914038	O	706	172	878	0.00007
Desulfurellales	213113	O	40	1	41	0.00000
Campylobacterales	213849	O	2439	144	2583	0.00022
Nautiliales	235899	O	160	8	168	0.00001
Acidithiobacillales	225057	O	1601	132	1733	0.00015
Bdellovibrionales	213481	O	1094	11	1105	0.00009
Bacteriovoracales	2024979	O	130	1	131	0.00001
Silvanigrellales	2024973	O	44	0	44	0.00000
Hydrogenophilales	119069	O	473	76	549	0.00005
Mariprofundales	580371	O	344	8	352	0.00003
Streptomycetales	85011	O	935725	189841	1125566	0.09565
Micrococcales	85006	O	602884	79970	682854	0.05803
Micromonosporales	85008	O	487318	66729	554047	0.04708
Propionibacteriales	85009	O	448807	82260	531067	0.04513
Pseudonocardiales	85010	O	429921	61036	490957	0.04172
Corynebacteriales	85007	O	390089	45923	436012	0.03705
Streptosporangiales	85012	O	294253	45331	339584	0.02886
Geodermatophilales	1643682	O	102906	25292	128198	0.01089
Actinomycetales	2037	O	20423	2779	23202	0.00197
Frankiales	85013	O	17922	1689	19611	0.00167
Jiangellales	1217098	O	15651	2693	18344	0.00156
Bifidobacteriales	85004	O	7202	1874	9076	0.00077
Nakamurellales	1643684	O	6573	838	7411	0.00063
Catenulisporales	414714	O	3961	560	4521	0.00038
Glycomycetales	85014	O	3059	238	3297	0.00028
Jatrophihabitantales	2805415	O	3000	253	3253	0.00028
Kineosporiales	622452	O	2947	789	3736	0.00032
Actinopolysporales	622450	O	1745	172	1917	0.00016
Sporichthyales	2495578	O	1592	757	2349	0.00020
Acidothermales	1643683	O	879	41	920	0.00008
Candidatus Nanopelagicales	2039638	O	316	4	320	0.00003
Solirubrobacterales	588673	O	77717	10614	88331	0.00751
Miltoncostaeales	2843198	O	14646	1762	16408	0.00139
Acidimicrobiales	84993	O	52980	5468	58448	0.00497
Rubrobacterales	84996	O	50936	4619	55555	0.00472
Eggerthellales	1643822	O	6095	954	7049	0.00060
Coriobacteriales	84999	O	4491	833	5324	0.00045
Euzebyales	908621	O	2941	239	3180	0.00027
Egibacterales	1747768	O	2879	165	3044	0.00026
Egicoccales	1755823	O	2834	418	3252	0.00028
Bacillales	1385	O	128110	69927	198037	0.01683
Lactobacillales	186826	O	4075	2484	6559	0.00056
Eubacteriales	186802	O	22629	8148	30777	0.00262
Thermoanaerobacterales	68295	O	2379	327	2706	0.00023
Halanaerobiales	53433	O	220	10	230	0.00002
Thermosediminibacterales	2770089	O	203	8	211	0.00002
Natranaerobiales	485256	O	59	2	61	0.00001
Koleobacterales	2786987	O	48	3	51	0.00000
Selenomonadales	909929	O	2093	93	2186	0.00019
Veillonellales	1843489	O	580	159	739	0.00006
Acidaminococcales	1843488	O	285	53	338	0.00003
Limnochordales	1676649	O	1568	54	1622	0.00014
Tissierellales	1737405	O	368	232	600	0.00005
Erysipelotrichales	526525	O	381	181	562	0.00005
Deinococcales	118964	O	17575	945	18520	0.00157
Thermales	68933	O	7528	423	7951	0.00068
Trueperales	2762275	O	1474	74	1548	0.00013
Synechococcales	1890424	O	10353	732	11085	0.00094
Nostocales	1161	O	4469	409	4878	0.00041
Pseudanabaenales	2881377	O	3293	228	3521	0.00030
Oscillatoriales	1150	O	1679	188	1867	0.00016
Chroococcales	1118	O	808	183	991	0.00008
Gloeobacterales	307595	O	2424	56	2480	0.00021
Chroococcidiopsidales	1890505	O	266	60	326	0.00003
Pleurocapsales	52604	O	116	17	133	0.00001
Gloeomargaritales	1955042	O	68	3	71	0.00001
Thermostichales	2881383	O	44	23	67	0.00001
Sphaerobacterales	85001	O	6354	407	6761	0.00057
Thermomicrobiales	189776	O	1292	29	1321	0.00011
Chloroflexales	32064	O	4471	170	4641	0.00039
Tepidiformales	2682226	O	3322	129	3451	0.00029
Ardenticatenales	1382929	O	2650	48	2698	0.00023
Caldilineales	475963	O	1435	103	1538	0.00013
Anaerolineales	292629	O	1279	607	1886	0.00016
Dehalococcoidales	1202465	O	283	684	967	0.00008
Ktedonobacterales	388448	O	582	19	601	0.00005
Phototrophicales	2364208	O	478	5	483	0.00004
Fimbriimonadales	1663425	O	1283	6	1289	0.00011
Chthonomonadales	1077263	O	307	2	309	0.00003
Mycoplasmatales	2085	O	237	72	309	0.00003
Entomoplasmatales	186328	O	100	6	106	0.00001
Acholeplasmatales	186329	O	87	5	92	0.00001
Mycoplasmoidales	2790996	O	24	10	34	0.00000
Gemmatales	2691355	O	98826	3596	102422	0.00870
Isosphaerales	2691356	O	54679	5374	60053	0.00510
Pirellulales	2691354	O	52652	1334	53986	0.00459
Planctomycetales	112	O	40121	4011	44132	0.00375
Tepidisphaerales	1771349	O	8766	223	8989	0.00076
Phycisphaerales	666506	O	4821	284	5105	0.00043
Sedimentisphaerales	2483366	O	491	38	529	0.00005
Candidatus Brocadiales	1127829	O	107	0	107	0.00001
Candidatus Uabimicrobiales	2897347	O	69	1	70	0.00001
Opitutales	415000	O	40625	1356	41981	0.00357
Puniceicoccales	415001	O	933	91	1024	0.00009
Verrucomicrobiales	48461	O	16802	1504	18306	0.00156
Methylacidiphilales	717963	O	87	3	90	0.00001
Kiritimatiellales	1921782	O	641	762	1403	0.00012
Tichowtungiales	2907185	O	223	9	232	0.00002
Parachlamydiales	1963360	O	307	4	311	0.00003
Chlamydiales	51291	O	87	201	288	0.00002
Cytophagales	768507	O	39038	1006	40044	0.00340
Flavobacteriales	200644	O	25747	2167	27914	0.00237
Chitinophagales	1853229	O	21512	344	21856	0.00186
