name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Proteobacteria	1224	P	5720859	353085	6073944	0.51616
Actinobacteria	201174	P	4465803	161043	4626846	0.39319
Firmicutes	1239	P	167284	77402	244686	0.02079
Deinococcus-Thermus	1297	P	26896	1125	28021	0.00238
Cyanobacteria	1117	P	24895	530	25425	0.00216
Chloroflexi	200795	P	23966	385	24351	0.00207
Armatimonadetes	67819	P	1594	8	1602	0.00014
Tenericutes	544448	P	480	62	542	0.00005
Planctomycetes	203682	P	272318	3080	275398	0.02340
Verrucomicrobia	74201	P	60065	1338	61403	0.00522
Kiritimatiellaeota	134625	P	873	762	1635	0.00014
Chlamydiae	204428	P	399	4	403	0.00003
Candidatus Omnitrophica	67812	P	196	0	196	0.00002
Bacteroidetes	976	P	119677	2049	121726	0.01034
Chlorobi	1090	P	2621	77	2698	0.00023
Balneolaeota	1936987	P	188	16	204	0.00002
Ignavibacteriae	1134404	P	155	2	157	0.00001
Gemmatimonadetes	142182	P	76464	3872	80336	0.00683
Fibrobacteres	65842	P	118	1	119	0.00001
Candidatus Cloacimonetes	456828	P	69	1	70	0.00001
Acidobacteria	57723	P	76622	2147	78769	0.00669
Nitrospirae	40117	P	11064	137	11201	0.00095
Spirochaetes	203691	P	2410	123	2533	0.00022
Synergistetes	508458	P	1931	124	2055	0.00017
Candidatus Bipolaricaulota	67810	P	386	13	399	0.00003
Candidatus Saccharibacteria	95818	P	341	55	396	0.00003
Candidatus Absconditabacteria	221235	P	21	11	32	0.00000
Thermotogae	200918	P	507	26	533	0.00005
Aquificae	200783	P	394	9	403	0.00003
Thermodesulfobacteria	200940	P	285	4	289	0.00002
Calditrichaeota	1930617	P	249	2	251	0.00002
Fusobacteria	32066	P	215	40	255	0.00002
Deferribacteres	200930	P	188	4	192	0.00002
Chrysiogenetes	200938	P	146	55	201	0.00002
Elusimicrobia	74152	P	119	1	120	0.00001
Dictyoglomi	68297	P	78	0	78	0.00001
Coprothermobacterota	2138240	P	53	8	61	0.00001
Caldiserica	67814	P	48	0	48	0.00000
Atribacterota	67818	P	34	0	34	0.00000
Ascomycota	4890	P	85368	1074	86442	0.00735
Basidiomycota	5204	P	2228	49	2277	0.00019
Microsporidia	6029	P	22	0	22	0.00000
Oomycota	4762	P	10932	228	11160	0.00095
