"","1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561"
"Bradyrhizobium","652815","267269","176062","148414","487600","440186","140701"
"Rhodopseudomonas","45712","23492","16059","12167","46132","31704","13020"
"Nitrobacter","17542","4914","3948","2540","8983","8628","4056"
"Tardiphaga","14253","6893","4594","3608","13640","9230","3844"
"Afipia","12979","6173","4033","3393","12322","8766","3981"
"Variibacter","8264","4149","2874","2429","8150","6377","2429"
"Rhizobium","261645","85133","66485","37756","201181","93896","31790"
"Agrobacterium","68918","19521","14876","8615","33391","18875","6720"
"Neorhizobium","53428","10014","6292","4583","16314","8705","3256"
"Pseudorhizobium","17578","4463","2160","1459","5469","2785","994"
"Sinorhizobium","95945","44642","25111","19566","70444","28876","7950"
"Ensifer","49319","22817","13917","8847","34490","24532","5959"
"Shinella","68989","22896","20682","9806","38576","26914","7427"
"Georhizobium","4919","2395","1546","1046","4428","2113","735"
"Ciceribacter","4237","2233","1505","1032","4288","2186","793"
"Peteryoungia","2027","791","541","345","1302","681","237"
"Liberibacter","165","110","156","43","361","128","50"
"Mesorhizobium","350490","142931","96244","64124","250015","163729","80167"
"Aquibium","24291","12340","7870","5519","22771","11276","3731"
"Aminobacter","28754","11622","7553","5094","20401","10578","3360"
"Nitratireductor","15045","7390","4807","3416","14086","7059","2329"
"Phyllobacterium","8323","3767","2498","1683","6662","3685","1259"
"Roseitalea","5019","3063","1945","1380","6025","3009","1054"
"Hoeflea","4637","2182","1426","1004","4360","2206","759"
"Oricola","4006","2137","1506","1062","4478","2224","749"
"Salaquimonas","1443","851","567","418","1713","774","301"
"Lentilitoribacter","109","55","24","31","76","42","0"
"Devosia","309114","28846","18680","12526","45068","21588","12569"
"Youhaiella","11016","3013","2102","1708","5981","3018","1598"
"Paradevosia","10851","3186","2305","1833","6323","3255","1758"
"Pelagibacterium","4335","1420","919","659","2691","1343","583"
"Maritalea","635","234","160","122","479","279","104"
"Methylobacterium","128672","79462","51953","35895","153406","95389","29848"
"Microvirga","120886","48641","27090","16219","68726","66862","8978"
"Methylorubrum","49343","20855","13322","8800","37968","22423","7353"
"Pseudolabrys","37850","17976","19120","10260","30966","33864","27987"
"Starkeya","19280","12246","7807","6034","23414","12552","4606"
"Xanthobacter","17760","11899","7368","5707","23230","12791","4744"
"Ancylobacter","19011","11669","7648","5736","22895","13106","4596"
"Labrys","6158","3612","2438","1681","7003","3933","1432"
"Azorhizobium","6030","3841","2473","1748","7002","4168","1478"
"Rhodoplanes","39644","15058","10639","12043","35906","34395","22226"
"Hyphomicrobium","20017","9123","7146","5553","18176","13110","3571"
"Methyloceanibacter","7380","4342","2979","2256","8795","6251","1399"
"Methyloligella","5019","2884","2115","1467","5880","4308","871"
"Aquabacter","4755","3093","1954","1349","6078","3527","1156"
"Rhodomicrobium","3515","2191","1439","1086","4326","2518","882"
"Caenibius","4419","2658","1529","1015","3912","1825","940"
"Filomicrobium","1765","998","616","530","1856","1149","311"
"Bosea","87304","34469","22083","15306","61733","37541","12185"
"Aureimonas","34435","17303","11262","7976","33145","17087","5872"
"Martelella","15944","8103","5324","3747","15920","8325","3056"
"Aurantimonas","8978","5663","3585","2549","11152","5096","1746"
"Pseudorhodoplanes","13948","6061","4450","3665","12952","8891","3064"
"Nordella","11628","6992","4760","3769","15398","7130","2014"
"Terrihabitans","5879","3422","4726","2031","9580","3055","1475"
"Candidatus_Hodgkinia","33","41","27","17","94","34","0"
"Stappia","11348","7376","4544","3465","15443","7129","2472"
"Pannonibacter","8269","4735","3188","2115","9316","4628","1693"
"Roseibium","5612","3183","2077","1489","6116","3112","1102"
"Labrenzia","4526","2314","1564","1157","4709","2259","817"
"Pseudovibrio","1005","506","356","254","1061","492","169"
"Methylocystis","17081","11064","7371","5641","22608","12896","4801"
"Methylosinus","8334","5703","3753","2828","11235","6482","2308"
"Phreatobacter","25879","16346","10045","7509","30497","17525","6208"
"Brucella","32012","15091","13119","4019","12945","15984","2674"
"Pseudochrobactrum","1306","501","315","227","843","480","167"
"Chelatococcus","17535","11558","7309","5572","23856","20262","3591"
"Kaustia","8151","6562","4048","3017","15199","5959","1755"
"Parvibaculum","5637","3958","2657","2179","8518","4239","1740"
"Pyruvatibacter","2665","1977","1179","958","3978","1715","846"
"Candidatus_Phaeomarinobacter","1089","695","411","359","1362","608","223"
"Blastochloris","14641","9242","5856","4705","18809","11232","4068"
"Methylocella","6153","3888","2618","1846","7820","4632","1574"
"Methylovirgula","5273","3141","2088","1602","6138","3669","1409"
"Beijerinckia","1449","927","640","444","1624","1056","362"
"Kaistia","10554","6021","3841","2846","11266","6426","2194"
"Acuticoccus","8080","5703","3507","2526","11802","5769","1824"
"Hartmannibacter","5659","3790","2413","1682","7190","3627","1287"
"Breoghania","5286","3349","2174","1556","6920","3348","1153"
"Lichenihabitans","4517","2743","1725","1254","5307","3091","1037"
"Cohaesibacter","1091","548","359","254","1028","596","191"
"Bartonella","955","584","392","252","871","580","182"
"Sphingomonas","603711","478510","253242","147051","586902","173521","183110"
"Sphingopyxis","107914","67579","39630","20090","88630","33395","22908"
"Sphingobium","109563","87783","45894","26133","107695","40623","29911"
"Novosphingobium","75477","55618","26095","15997","64056","25455","15527"
"Rhizorhabdus","30924","26681","14165","9667","38424","12983","9233"
"Allosphingosinicella","14465","10654","5338","3536","18183","3722","3487"
"Sphingosinithalassobacter","12016","8823","4672","2956","13011","4403","3295"
"Parasphingopyxis","6474","5007","2722","1668","7882","2415","1775"
"Sphingorhabdus","6174","4483","2284","1465","6073","2160","1338"
"Blastomonas","5953","4554","2193","1465","6060","2113","1437"
"Citromicrobium","4694","3011","1625","1055","4018","1595","906"
"Tardibacter","5790","5745","2868","1600","7239","2474","1653"
"Hankyongella","3549","3551","1768","1310","5200","2056","1059"
"Novosphingopyxis","4100","2961","1543","1055","4373","1555","1051"
"Parasphingorhabdus","1772","1125","640","456","1723","605","363"
"Aquisediminimonas","1662","1118","609","384","1423","534","436"
"Erythrobacter","51485","32850","15901","9764","39646","15625","9714"
"Porphyrobacter","15028","19619","5798","2978","12305","6134","2806"
"Qipengyuania","32633","18977","9749","6348","24849","9701","6328"
"Altererythrobacter","31831","12067","5676","3673","14030","5895","3887"
"Tsuneonella","21749","10365","5047","3640","13058","5375","3910"
"Croceicoccus","21014","12289","6667","4225","17219","7112","4192"
"Croceibacterium","5829","2275","1047","670","2436","880","644"
"Aurantiacibacter","3918","1945","1095","653","2600","1113","660"
"Pelagerythrobacter","3702","1919","921","657","2574","994","519"
"Paraurantiacibacter","3537","1742","896","592","2350","887","548"
"Sphingosinicella","25190","18387","9500","6127","30029","8465","6276"
"Polymorphobacter","6551","6746","3072","2028","8231","3900","1989"
"Sandaracinobacter","3137","2887","1495","937","4140","1683","843"
"Zymomonas","504","294","187","115","515","216","113"
"Paracoccus","201972","33350","21470","13259","61589","28686","10339"
"Rhodobacter","15937","9673","6294","3712","17540","8216","2710"
"Cereibacter","15282","9789","6420","3699","17735","8141","2882"
"Rhodovulum","7992","4923","2996","1977","9350","4177","1427"
"Paroceanicella","6648","4311","2758","1848","8668","3792","1272"
"Polymorphum","5777","4035","2591","1804","8368","3963","1302"
"Pikeienuella","4127","2691","1648","1148","5816","2393","721"
"Pontivivens","3858","2307","1530","953","4744","2022","659"
"Thioclava","3916","2478","1583","970","4411","2195","818"
"Silicimonas","3554","2214","1372","858","4355","1833","642"
"Frigidibacter","4576","2241","1335","926","4184","1919","667"
"Pelagovum","3433","2171","1426","862","3934","1910","567"
"Falsirhodobacter","3090","1158","751","470","2151","1044","377"
"Pukyongiella","2677","1628","1076","677","3303","1508","526"
"Brevirhabdus","3038","1900","1288","801","3986","1758","615"
"Tabrizicola","2277","1406","835","394","1860","815","242"
"Fuscovulum","2334","1443","854","472","2347","1079","365"
"Haematobacter","2624","1535","932","662","2674","1324","440"
"Gymnodinialimonas","1943","1199","805","502","2269","1058","350"
"Gemmobacter","2003","1215","745","436","1966","991","349"
"Pseudopuniceibacterium","1782","934","615","389","1913","826","289"
"Pseudooceanicola","1483","878","531","368","1546","741","262"
"Pacificitalea","1636","1006","652","457","1937","903","345"
"Monaibacterium","1477","1000","616","412","1771","814","267"
"Roseicitreum","1267","740","456","302","1257","666","244"
"Qingshengfaniella","951","494","321","191","855","409","139"
"Tritonibacter","1234","755","521","360","1539","685","240"
"Yoonia","1045","642","409","244","1072","505","192"
"Rhodophyticola","809","439","268","214","868","374","126"
"Pseudohalocynthiibacter","784","567","289","214","917","482","154"
"Rhodobaca","679","397","241","188","684","324","96"
"Profundibacter","644","360","263","153","677","292","119"
"Pseudorhodobacter","656","328","251","133","573","247","105"
"Aestuarium","620","373","228","140","631","312","94"
"Cognatishimia","448","268","169","109","473","226","71"
"Parasedimentitalea","445","271","160","108","521","264","65"
"Planktomarina","269","142","100","52","264","118","50"
"Roseovarius","13638","8780","5470","3582","17090","7277","2432"
