"","vcXtM2TOMPOOB050180","iYASM2TOMPOOA050195","XR8LM2TOMPOOB051125","TECcM2TOMPOOA051310","FvY2M2TOMPOOB051329","abKIM2TOMPOOA051320","cuu6M2TOMPOOB051315","s9OmM2TOMPOOB051285","Nm8MM2TOMPOOA051300","IGpcM2TOMPOOB051290","a50wM2TOMPOOB051350","OeS0M2TOMPOOA051355","dSz8M2TOMPOOA051340","aFJgM2TOMPOOM090325","cSObM2TOMPOOM080315","wQqUM2TOMPOOA080335","0n7bM2TOMPOOA100365","1qGgM2TOMPOOM080340","9JUZM2TOMPOOB100355","AYtCM2TOMPOOA100360","DYZgM2TOMPOOB100370","nG3jM2TOMPOOA051345"
"Bradyrhizobium","759883","449346","297081","318892","419864","428850","362869","377349","349388","461084","302555","545566","486453","85012","369950","315362","881701","1022125","70313","650457","645643","218086"
"Rhodopseudomonas","58065","37883","26231","29036","38168","27643","28441","32214","30497","39941","28780","45246","42875","9344","32576","20558","67783","103087","4258","45612","44222","21841"
"Tardiphaga","16984","10704","7714","8727","11542","8247","8829","10132","9091","11327","8789","13352","12475","2820","9868","6410","20448","34292","1379","14510","13332","6416"
"Variibacter","11894","7156","5003","5357","7263","4997","5153","5997","5606","7295","4850","7975","8598","1704","5804","3794","14306","14384","766","8868","9207","4148"
"Afipia","14347","10081","7474","7560","10192","8291","7872","8274","8297","10831","9305","13610","11316","2522","9395","5758","18871","38974","1168","12817","12329","6215"
"Nitrobacter","11580","8180","6488","5679","7322","6452","7505","6401","6125","14014","14070","8892","11798","3688","22226","73322","12786","371941","2578","27392","9289","8630"
"Rhizobium","195782","103471","99420","94572","151244","83413","98653","134714","109800","123974","125182","162777","164517","108330","182512","134051","213889","675628","18268","177595","165704","89704"
"Neorhizobium","43402","13934","12156","10497","13621","9857","10386","11846","11267","13186","10158","20477","17813","16260","15426","19266","19232","163714","2687","19187","12540","9142"
"Agrobacterium","41715","23244","41580","21560","28067","18009","21837","24027","22800","24366","20273","31527","33522","18421","31847","22904","42974","168138","6050","43007","26918","14388"
"Pseudorhizobium","7049","3675","4104","3413","4477","2692","3224","4407","3813","3750","3065","5101","7346","10216","7167","5682","5952","23438","553","5918","3729","2310"
"Sinorhizobium","62762","38775","54489","51987","60915","29840","47822","55514","52295","44182","49451","71251","50580","87951","75965","147122","72651","172521","11690","115113","45150","33761"
"Ensifer","36631","22593","24265","25034","33051","17669","24079","25626","24086","24165","20422","32947","30590","16714","27329","21277","47309","92861","4217","40587","34468","14081"
"Shinella","44458","25329","34797","25100","31368","20436","24742","26858","25778","29881","21910","34647","44974","65920","83669","23014","49606","383255","4509","42723","29655","14722"
"Ciceribacter","4298","2798","2616","2608","3270","2176","2516","2882","2805","2991","2247","3735","3807","1661","3381","2434","4539","11929","377","4129","2961","1595"
"Georhizobium","3858","2581","2664","2567","3128","1762","2290","2912","2839","3002","2360","3208","4988","2260","3432","2116","4980","12265","397","4917","3105","1643"
"Peteryoungia","1500","898","861","841","1022","615","822","921","891","951","749","1171","1367","628","1180","844","1625","5222","114","1337","961","555"
"Liberibacter","208","191","104","270","323","143","87","156","273","181","184","286","220","34","188","140","216","558","19","185","179","67"
"Mesorhizobium","266065","152787","175991","149533","187440","125259","152404","174842","168677","231450","197589","220215","295017","168656","314521","148723","338973","1112189","31413","331265","203369","161762"
"Aquibium","19377","12320","15381","12956","16816","9296","12292","15157","14061","17541","12943","17126","25382","12397","22896","12807","26320","69863","2215","24748","15720","9957"
"Aminobacter","18424","11522","14464","11815","15126","9114","11982","14041","13776","15726","12017","16656","21357","14448","28237","12043","52083","205751","2602","27323","25318","8900"
"Nitratireductor","12430","7504","9032","8117","10375","5616","7548","9418","8804","11182","8407","10878","16570","7858","13393","7930","15989","42001","1401","14999","9832","6475"
"Phyllobacterium","6961","4480","4395","4184","5322","3368","4195","4938","4364","5098","4182","5981","6700","2901","5615","3565","8970","20737","686","7628","5650","3051"
"Roseitalea","5182","3650","3614","3799","4559","2892","3302","4114","3950","4498","3399","4760","5578","1889","4683","2876","6398","11109","547","5923","4113","2258"
"Hoeflea","4206","2673","2571","2618","3341","1991","2325","2828","2802","3011","2509","3615","4261","1645","3320","2227","5341","11382","390","4092","3314","1671"
"Oricola","3959","2753","2635","2508","3445","1958","2383","2817","2712","3267","2386","3518","4343","1602","3593","2323","4943","9478","336","4447","3165","1753"
"Salaquimonas","1431","1040","872","1030","1279","716","925","1034","1046","1230","917","1419","1565","546","1273","684","1876","3405","130","1474","1267","597"
"Lentilitoribacter","94","60","49","66","83","55","71","79","69","83","64","63","98","24","77","53","132","327","0","91","99","44"
"Methylobacterium","139669","100179","99483","94409","121659","106764","116312","119845","110021","115938","89122","148163","116858","29630","90773","78803","171717","169348","16920","188665","125737","50129"
"Microvirga","60105","35477","63476","44570","54678","50595","68497","65967","58726","42220","49965","91781","34306","35197","33743","88714","71068","109883","19419","156176","71374","20450"
"Methylorubrum","35381","25140","24838","24238","31722","23483","28529","30658","27997","29135","22636","36651","30789","7843","23354","19512","43551","48192","5664","45970","30908","12886"
"Pseudolabrys","106080","57776","18755","19200","26073","27907","18264","21483","22332","41018","29272","43763","49724","9750","44692","13765","57558","143468","2725","31400","36141","40363"
"Starkeya","23996","15032","13965","14229","18688","12107","14429","16609","18290","15702","12333","19983","18521","6041","20371","10182","30355","71759","2507","24575","19146","8113"
"Xanthobacter","23092","15220","13718","14208","18628","12289","14941","16768","15526","15993","12696","20859","17963","4851","14636","10324","28417","40367","1971","22679","18470","8082"
"Ancylobacter","23325","15356","14044","14248","18707","11814","14499","16109","15762","16350","12838","20493","19403","5556","15187","10212","29088","42066","2028","23209","18712","8553"
"Labrys","7567","4751","4302","4412","5547","3766","4643","4887","4668","4937","4302","6665","5815","1689","4664","3191","8612","12928","632","7558","5777","2643"
"Azorhizobium","7426","4853","4224","4539","5943","3846","4508","5227","4868","5089","4079","6697","5890","1691","4682","3277","9210","11556","639","7155","5933","2791"
"Rhodoplanes","108599","45664","18460","23885","31707","29695","20788","26826","24902","43380","20905","31206","34777","3941","23887","13057","91764","33407","3483","35821","58755","23997"
