"","vcXtM2TOMPOOB050180","iYASM2TOMPOOA050195","XR8LM2TOMPOOB051125","TECcM2TOMPOOA051310","FvY2M2TOMPOOB051329","abKIM2TOMPOOA051320","cuu6M2TOMPOOB051315","s9OmM2TOMPOOB051285","Nm8MM2TOMPOOA051300","IGpcM2TOMPOOB051290","a50wM2TOMPOOB051350","OeS0M2TOMPOOA051355","dSz8M2TOMPOOA051340","aFJgM2TOMPOOM090325","cSObM2TOMPOOM080315","wQqUM2TOMPOOA080335","0n7bM2TOMPOOA100365","1qGgM2TOMPOOM080340","9JUZM2TOMPOOB100355","AYtCM2TOMPOOA100360","DYZgM2TOMPOOB100370","nG3jM2TOMPOOA051345"
"Bradyrhizobium_sp._CCBAU_53351","31000","8290","3473","3947","4591","9228","3992","4430","4011","6872","3547","6480","9158","911","5252","6512","9804","12364","1012","6774","7266","3446"
"Bradyrhizobium_sp._195","16952","5686","3238","3534","4228","6559","3915","4120","3999","5646","3534","6035","6955","926","4840","6214","8879","11968","1540","6621","6634","2938"
"Bradyrhizobium_sp._200","14815","12973","7338","7531","11211","17148","10865","11261","9711","12325","6720","18962","12593","1785","11504","5434","42940","24530","3241","31592","35105","4173"
"Bradyrhizobium_sp._CCBAU_51753","14218","9980","6226","6894","9031","8387","7795","8265","7530","10222","6238","11923","9531","1830","7274","5009","18438","20285","1453","13112","14012","4681"
"Bradyrhizobium_sp._170","13809","11565","7007","7124","10427","15709","10257","10590","9144","11490","6521","15647","11105","1595","10524","5153","41812","22628","3196","33755","33135","3830"
"Bradyrhizobium_sp._CCBAU_051011","12930","10223","6034","6143","9532","13465","8912","9609","8229","10122","5709","12391","9850","1357","7269","4663","34589","19325","2916","27286","29359","3338"
"Bradyrhizobium_sp._A19","12286","7905","5152","5895","7640","6391","6124","6685","6311","8165","5592","9556","8247","1734","6158","4488","14567","17695","1008","10125","10128","4010"
"Bradyrhizobium_sp._CCBAU_51765","19469","4896","3630","3520","4015","5229","4225","4129","4096","5200","3229","6334","5688","827","6111","9334","8427","12441","756","5730","6250","2602"
"Bradyrhizobium_sp._BTAi1","12149","7824","5462","6007","7680","6406","6074","6683","6077","8194","5826","10078","8636","1835","6464","4526","13869","19914","965","9916","9490","4196"
"Bradyrhizobium_sp._ORS_278","12591","8002","5666","6090","8088","6636","6205","7068","6386","8511","5655","10134","8644","1696","6543","4561","14206","17269","997","10104","10112","4282"
