"","degrees","closeness","betweenness"
"81461",167,1.50811365144477e-05,5585.39692374726
"198483",168,1.49262642545824e-05,5405.66533190709
"32067",142,1.48471486051104e-05,6968.4405755894
"2963939",137,1.39503089993443e-05,10890.1796020291
"93681",153,1.4279798369247e-05,7139.6671817481
"43662",146,1.57017915744186e-05,10243.1476754287
"2562892",161,1.52601861742713e-05,5082.77460752149
"1280",149,1.49249276141011e-05,9465.88709388667
"1930071",162,1.53642872507144e-05,6074.83523052859
"1748242",141,1.472775740438e-05,9092.57493967137
"2954086",151,1.44776465137827e-05,9940.53824193767
"28065",160,1.4750567896864e-05,8859.96455234843
"55601",155,1.51363787727424e-05,6740.33780399042
"2867025",151,1.45315043013253e-05,9600.73396304953
"1525",155,1.43886962402337e-05,9791.17041050873
"2282475",171,1.44826787162554e-05,10437.6737701266
"160808",137,1.44437704018257e-05,10628.4806585596
"311400",146,1.50470974149087e-05,10220.7580265961
"3027470",135,1.38257130611511e-05,4441.57787173057
