"","OTU","Genus","Species"
"1",1280,"Staphylococcus","aureus"
"2",55601,"Vibrio","anguillarum"
"3",2282475,"Achromobacter","sp._B7"
"4",2954086,"Pseudomonas","sp._FP2196"
"5",93681,"Roseateles","s"
"6",28065,"Rhodoferax","s"
"7",160808,"Acidithiobacillus","ferrivorans"
"8",2963939,"Methylomonas","rapida"
"9",3027470,"Acinetobacter","sp._TAC-1"
"10",1748242,"Spongiibacter","taiwanensis"
"11",2867025,"Sulfitobacter","sp._W027"
"12",1525,"Moorella","thermoacetica"
"13",32067,"Leptotrichia","s"
"14",1930071,"Methylomusa","anaerophila"
"15",2562892,"Myroides","albus"
"16",43662,"Pseudoalteromonas","piscicida"
"17",198483,"Macrococcus","brunensis"
"18",311400,"Thermococcus","kodakarensis"
"19",81461,"Thermanaerovibrio","s"
