"","degrees","closeness","betweenness"
"2675782",881,1.23501006533203e-05,2051.58687658188
"3048442",1175,1.23160293121498e-05,3950.44823351007
"844",873,1.25949343174175e-05,5432.45254057548
"2187",1255,1.22916564236196e-05,6425.46163770188
"2325",1306,1.2294376552165e-05,8947.09199632703
"2756107",1111,1.2443692292377e-05,6002.48104338446
"712361",1175,1.23646075473564e-05,9361.11633234128
"1699622",1057,1.26307280351639e-05,7303.4651507272
"2955958",783,1.19213666654745e-05,794.641527242274
"538220",1054,1.25117297466375e-05,8711.42919707685
"2652803",719,1.23096618535889e-05,5455.71421760211
"2675773",732,1.22219506233195e-05,5945.34610105847
"2686210",657,1.19308962489262e-05,1995.72047944754
"2745563",781,1.23603282903194e-05,7812.39469744407
"2870563",1029,1.23753186644556e-05,3405.05745309632
"50339",743,1.22654237703913e-05,7261.46787390084
"52764",1152,1.25078173858662e-05,8661.26600842913
"74968",948,1.23260486385879e-05,2591.90101636217
"1647",684,1.22265830368387e-05,5203.94642190503
"1964448",1093,1.24646316078128e-05,6392.21264150794
"2044912",1050,1.24075636508015e-05,8658.40880953649
"223919",937,1.23539149556494e-05,6741.01781239938
"526944",1148,1.25028131329549e-05,8644.86657967493
"65553",836,1.2374552969274e-05,2832.50545167581
"1253",657,1.22385538924721e-05,3865.18736774535
"1699624",789,1.22980052635463e-05,4756.6997297853
"184064",943,1.245655775483e-05,5565.84219604517
"2560434",893,1.21262095894065e-05,3743.52446935848
"2661587",902,1.22797323018358e-05,2022.61129297752
"759620",878,1.2352999308232e-05,3097.98864356275
"1459800",915,1.23427837914563e-05,5806.76865781455
"1583100",891,1.23935702157721e-05,7566.99146311214
"2719987",1061,1.24478745254248e-05,9598.2118628559
"708126",625,1.21106428329216e-05,5015.41134762316
"2105",990,1.24009474323838e-05,4634.71637807692
"2675791",1119,1.25833647917453e-05,7887.52888970385
"657445",798,1.22216518784679e-05,8799.45944355791
"152331",650,1.22553525252154e-05,2372.08338339013
"3003392",738,1.21896217560369e-05,5135.12888806162
"51365",1158,1.24636994752783e-05,7651.06125034511
"3024576",773,1.22544514294818e-05,1990.89466604258
"55802",916,1.23322809786898e-05,9322.69624619228
"83559",744,1.21160719694675e-05,7247.98354156838
"114527",697,1.23125415548277e-05,5458.8956717397
"2675776",993,1.21543603767852e-05,1228.74999036214
"2092",1099,1.2509225553846e-05,3270.43043126926
"2321111",1224,1.21599766528448e-05,5946.37752761304
"45362",1214,1.22264335493337e-05,6475.62895784755
"71190",1312,1.24334808773064e-05,9498.54756737917
"2570468",1305,1.22770186487913e-05,8949.03351423188
"2763670",646,1.24330171202646e-05,3318.49151710954
"2801918",1328,1.25203455615375e-05,8176.04532765484
"1118",1092,1.22397522674141e-05,2768.34806737905
"1892252",795,1.17866151198699e-05,585.726508579103
"216933",1246,1.23604810699232e-05,8043.87632069257
"1579",1066,1.2099945550245e-05,2105.54855261955
"2186",1306,1.22768679254549e-05,8736.33477264104
"2217832",1195,1.23446121940079e-05,3482.26995687018
"2584467",1123,1.23427837914563e-05,3528.227902629
"2586965",1289,1.23707259141966e-05,6047.39839350677
"37372",1315,1.23037551060584e-05,9414.71172270761
"1085647",995,1.24009474323838e-05,4011.13056874346
"1252",981,1.19932837610938e-05,5452.69550564885
"1295609",1263,1.23354755942615e-05,7706.09137476524
"2111",1225,1.23328893493168e-05,5671.08440551488
"2608247",1278,1.23513209737781e-05,7114.83703078402
"2124",1268,1.23685837971552e-05,6947.69751710696
"2190",1270,1.24316260566882e-05,8584.48622251954
"221027",1275,1.2402331638348e-05,8211.76989660815
"2846436",1118,1.23072378866011e-05,3793.91874141663
"64160",1048,1.23881965263497e-05,4185.51010752177
"1923644",1071,1.22735529481074e-05,1439.48141309729
"2026189",991,1.25431169645657e-05,6237.60793585503
"3052279",1236,1.23376062576339e-05,6185.5844831618
"1070130",1196,1.2477540427231e-05,7908.44399498222
"115778",1261,1.23227070522852e-05,7730.93199923577
"135727",1004,1.24685169945887e-05,3695.50571722782
"155866",1130,1.24049470929006e-05,4503.67972576393
"1583",663,1.21185680699968e-05,565.519079208572
"2681986",1258,1.24909440655525e-05,6911.36829922343
"644281",1253,1.24158823967619e-05,8842.63622621221
"150120",761,1.22697881007595e-05,3596.32104620738
"2781774",1303,1.23595644489488e-05,8547.11703309444
"28107",703,1.26831124357917e-05,8231.93604280212
"2933563",732,1.24500441976569e-05,2209.62575070825
"29554",1015,1.23716441915131e-05,3250.55280335976
"326320",1223,1.22810895782674e-05,5651.81295716753
"391036",1178,1.23325851565005e-05,6370.08829234329
"787",1222,1.2578932803341e-05,7563.02558848226
"83171",1342,1.23865086148167e-05,9428.74886598847
"114881",1274,1.23548307388189e-05,4910.6749424733
"1273132",1131,1.25123559515021e-05,8261.60013122127
"2886040",1271,1.23435455600267e-05,9130.48371333606
"2945587",1146,1.24640101706323e-05,4537.96797574932
"849",1275,1.2321492379157e-05,7924.68259375747
"86660",1262,1.23607866404618e-05,6845.6520538313
"1643685",1283,1.25288162774381e-05,7086.15501895405
"2115978",1243,1.23966429890786e-05,7119.38078743106
"2285",1319,1.24979690800245e-05,9377.45294351349
"2737",831,1.19902639057086e-05,5563.19568632512
"1870984",1202,1.23290880173594e-05,8320.68749813339
"2115",1317,1.23774631151599e-05,8942.62863113215
"3048172",977,1.22012225625008e-05,1194.44916696005
"47834",1141,1.24591961326655e-05,6812.63591791959
"81459",1279,1.2308146762342e-05,9443.2524619875
"948",1274,1.24789417857366e-05,9113.21913906991
"3043332",810,1.26744318685915e-05,8905.03546387681
"691",1224,1.25968381936134e-05,9146.02065174759
"139",1224,1.23831341712587e-05,5672.21863560269
"2672570",1267,1.21263566361487e-05,9330.81552393864
"2925318",1045,1.26636780386495e-05,5384.14847176443
"324079",1212,1.20397794312408e-05,6758.08616698288
"710191",1276,1.21744847149344e-05,9109.39191757048
"73913",1353,1.23722564521317e-05,9414.74741405087
"77022",1017,1.19108591302691e-05,2858.77683598166
"1499987",1291,1.21915536916025e-05,8653.25343856831
"155863",1246,1.22439484284892e-05,7390.54231757455
"1612",1310,1.22937719751174e-05,9358.83442624298
"198252",1292,1.22886354699174e-05,8306.47724765445
"216935",1154,1.20426792552807e-05,7485.58480521637
"2725994",1262,1.21796745590958e-05,7662.01153374139
"2923364",1234,1.21942296905105e-05,8231.33988852196
"171286",1245,1.218041632663e-05,6434.76889386212
"673372",1157,1.21865022301299e-05,5566.63547384705
"136468",770,1.25056275323896e-05,4672.04732628419
"216945",1255,1.21493396833882e-05,7769.5565334212
"2847778",1211,1.22405013709362e-05,8972.91661862091
"2924034",1268,1.23025441661336e-05,8779.2284969442
"3025665",749,1.1836560768903e-05,613.654577145839
"33945",951,1.19225037257824e-05,5851.32768505093
"84590",1299,1.22724985579814e-05,7984.594236887
"171279",1290,1.22675303007998e-05,9523.38654949588
"1902580",1203,1.22053923423368e-05,7484.1316627972
"216936",1280,1.22681322995387e-05,6843.35398423972
"29555",1284,1.21851657791804e-05,7819.7452960024
"337479",1178,1.24795647127828e-05,6549.2290382063
"216427",1243,1.22553525252154e-05,5711.34424553686
"2704654",1280,1.22328648146109e-05,7922.82498470152
"508451",974,1.25621828048842e-05,5769.58410780198
"753",1332,1.25230110327727e-05,9017.72459897207
"1334",1278,1.21899189370391e-05,8113.7224559933
"2096",1278,1.22454477547972e-05,7424.00401420354
"2742195",1195,1.22731010444409e-05,6363.1229274
"3041619",1170,1.21475686641319e-05,6074.48145632692
"42879",1311,1.21893245895245e-05,9582.26589466095
"51364",1305,1.2389270891408e-05,8425.53656006941
"659",1316,1.25721326108548e-05,8920.73846590001
"1602",1284,1.22352595710318e-05,8590.07176043425
"2148",1336,1.25023441895355e-05,9288.13926114888
"1927128",1286,1.23158776294399e-05,8518.1368993683
"2172",1202,1.22693364742835e-05,5001.63965832977
"633807",984,1.19300422323495e-05,8376.83528203044
"2139",1263,1.23033009756518e-05,8557.51036701433
"2143",1231,1.21681146723127e-05,6269.45080096723
"2490855",1320,1.22874275041777e-05,9347.70184257788
"2766701",944,1.25365125929269e-05,6775.79960398961
"2925830",1334,1.2257155114298e-05,9017.53213793204
"31899",1194,1.22989127761106e-05,4501.66482554525
"1160784",1307,1.23621618948722e-05,9090.97058928053
"1177213",1034,1.25707102451289e-05,6153.05116219138
"1292",1259,1.21762635917542e-05,8352.25366588519
"202950",1269,1.2452059570653e-05,8423.72925419908
"2892440",1148,1.22183666487464e-05,4129.67429152794
"70863",1230,1.24973443143332e-05,8514.06569234644
"251540",1273,1.23249852100177e-05,6639.10160503041
"2706014",1216,1.23511684205326e-05,3554.62664975239
"42094",1267,1.23146643022511e-05,7892.07134496274
"92402",1311,1.2452059570653e-05,6001.42955717752
"33045",1121,1.25132953763374e-05,5408.96698786297
"108080",1088,1.22924118941377e-05,2878.30497133094
"111955",1225,1.22913542614125e-05,8228.05773178
"2130",1328,1.22984590030869e-05,9460.87153937669
"1221500",1069,1.22467974624636e-05,8180.77283344733
"39488",813,1.18825528476538e-05,8180.35773754648
"166501",616,1.25965208409437e-05,6037.29638494079
"284581",977,1.22422995935557e-05,4774.19273955352
"2020486",637,1.21734472767998e-05,6485.12861395647
