"","degrees","closeness","betweenness"
"47715",105,1.54844304052275e-05,5302.84251178217
"2986831",137,1.53280196198651e-05,6081.85498263852
"958",114,1.56357495778348e-05,6548.9162856541
"2496865",135,1.55163853028798e-05,7205.27998740803
"1532552",103,1.41999062806185e-05,4886.24734134896
"1547283",106,1.42802062061776e-05,5762.26618610611
"329854",152,1.55872496298028e-05,7375.98551361073
"2911514",108,1.45422816839962e-05,6338.68887665406
"2713414",104,1.52051940943026e-05,4045.18610735631
"45495",110,1.54969083667808e-05,7286.94928402185
"2663022",118,1.4291022379741e-05,6793.90218015544
"2560785",127,1.4856192060851e-05,2135.6139514524
"1602166",109,1.50132116262311e-05,6100.55358465961
"2897333",117,1.43511143640304e-05,7007.32246503261
"2572090",118,1.5603788599872e-05,7735.41857643404
"1854492",110,1.53024529832132e-05,6055.15000857728
"2766537",104,1.57641680460314e-05,8136.21561684011
"3051123",102,1.54679040989946e-05,7424.28966667558
"2793103",107,1.51632321945746e-05,6617.02104930087
"28084",115,1.55632334173748e-05,7836.9593625172
"2675231",120,1.42685919753439e-05,3385.99543703595
"2924032",118,1.44984269206791e-05,5591.38646450152
"2094025",134,1.55115716324378e-05,8025.765432215
"2856519",102,1.53381290550179e-05,7590.68116504635
"28449",101,1.54612078295556e-05,7948.94841032706
"2837511",106,1.40944326990839e-05,3096.09774195699
"2781024",106,1.46939975020204e-05,7810.29886555518
"3003261",147,1.54686219004749e-05,4051.48223715948
"747",134,1.54102200579424e-05,3800.91022898161
"986",145,1.49828446428839e-05,4252.33362658007
"3031997",148,1.53993039514614e-05,2736.69304081991
"86188",125,1.56050060859524e-05,5465.14526755055
"2487065",174,1.5603788599872e-05,3205.17466438127
"2879939",201,1.55923535098388e-05,2965.37796314183
"2986827",176,1.56091469601186e-05,5604.75029899602
"2893886",108,1.5397170000154e-05,4649.28541859084
"2956836",110,1.46273678051635e-05,4430.22401244153
"75612",133,1.47640701588614e-05,4936.0693457451
"1809410",116,1.39995240161834e-05,4324.41657977267
"3051120",118,1.46038700255568e-05,6391.39437454854
"2591634",103,1.53869826127096e-05,7606.06725124083
"2502784",117,1.55870066712389e-05,6144.62576506472
"2706887",104,1.5416872224963e-05,6547.15548459223
"3074147",114,1.55327741534638e-05,3164.20090442303
"432330",101,1.41622999575131e-05,5176.31877341522
"3003259",146,1.55574224462491e-05,7093.16099583186
"76594",109,1.49788049909378e-05,6172.52891260805
"676208",117,1.48754183711417e-05,7675.92266108341
"71452",106,1.55202383908617e-05,3332.96436152582
"2676247",107,1.47841513897102e-05,7670.29629932908
"1903411",181,1.43612132352941e-05,5250.63646440645
"41202",158,1.43818673416556e-05,2386.25345801005
