"","degrees","closeness","betweenness"
"128574",125,1.25314853569594e-05,6677.90331080747
"666507",122,1.24083334367361e-05,4924.89407011238
"171438",115,1.23817542469417e-05,5984.78565278469
"1807358",116,1.23931094311563e-05,5547.99600758667
"2487063",159,1.22756622719796e-05,4589.80622625768
"1855909",136,1.20954085829019e-05,5492.23632406147
"2898076",174,1.23974114204954e-05,4497.46371674692
"3047873",120,1.25234815278647e-05,6610.20202259754
"2895474",145,1.22286762457964e-05,5263.66728920255
"2879939",162,1.21727063578045e-05,4423.77128163235
"2507160",118,1.24954703919829e-05,6414.13315975115
"2529032",134,1.23762376237624e-05,6165.45384325847
"2986922",109,1.22058392735084e-05,4114.15035278434
"178606",167,1.22494977705914e-05,6451.69106723107
"2813035",202,1.23028468787677e-05,5681.35023756247
"1173263",144,1.23284800216981e-05,4756.25953969903
"2478663",192,1.22469474483485e-05,3529.42548907396
"2782629",145,1.20315225891837e-05,1362.96197448525
"379899",288,1.2243348800764e-05,6641.53567765588
"475",116,1.22521992697689e-05,4024.70625869053
"246",120,1.21774497984632e-05,2700.83101553405
"2746932",113,1.23475082728305e-05,5511.03352131837
"363408",185,1.25836814818543e-05,6378.24306168645
"511745",124,1.26012828105901e-05,6644.55711854937
"390846",143,1.2211354117058e-05,3800.1026870737
"1942464",226,1.2359258938834e-05,4379.83154547665
"2954078",236,1.19024947629023e-05,2110.3789718421
"2956784",114,1.16584086272224e-05,898.820799460614
"2837969",124,1.18442715180803e-05,3752.70279465467
"2249356",115,1.22443981878291e-05,5152.58849349345
"82977",122,1.21099095389757e-05,3326.09185731596
"2893886",158,1.21334190761615e-05,4287.45024875631
"992289",154,1.19390155087811e-05,3489.80885820518
"1328770",111,1.23974114204954e-05,4127.11223353506
"1646498",138,1.23875826871144e-05,2600.12348725704
"2496867",111,1.16250682972762e-05,5771.45138746793
"328812",128,1.19284768527907e-05,2760.69260751081
"2219225",119,1.18550834597876e-05,5473.97507146269
"589436",152,1.23330414513523e-05,4710.08857225093
"2777577",123,1.1925205113528e-05,6211.24262911148
"109262",142,1.20770029709427e-05,4453.0547538863
"857252",112,1.24242123049399e-05,4678.51343333727
"158",128,1.25752945762754e-05,5762.01022484652
"2705547",125,1.16792413164841e-05,454.051349855141
"454",112,1.23832875151695e-05,5948.75668264284
"754476",131,1.22482974866494e-05,2013.19303488865
"329854",136,1.22740048850539e-05,3175.59462894653
"357276",119,1.26348773153413e-05,4058.96989735068
"228899",127,1.2046306000265e-05,4109.75368402354
"178440",161,1.16096824751843e-05,790.222068247734
"2856519",134,1.26144763730858e-05,6489.64671258631
"909656",149,1.22348104827856e-05,1385.44274267293
"2949630",121,1.16104912398844e-05,1743.56568408451
"536441",134,1.17401206884407e-05,3895.84142021334
"1563479",125,1.23075408302667e-05,2557.73209578633
"291645",121,1.2097896175855e-05,2065.80410470585
"136",146,1.23435455600267e-05,1542.56678989766
"3003260",153,1.1999904000768e-05,4798.18147380104
"1114861",195,1.21393107299368e-05,5177.96197606784
"556053",145,1.21819001327827e-05,6688.33978017801
"17",109,1.16687475933208e-05,1850.72706714556
"2231053",122,1.2531328320802e-05,5627.95964543816
"1217282",131,1.21638223595383e-05,3410.2871213861
"3031802",165,1.20248674258366e-05,5137.79224491206
"2814294",178,1.23063291450793e-05,6484.76015739357
"238",113,1.19145488556076e-05,2578.43446811618
"820",161,1.21954194004732e-05,6235.61148767369
"397865",163,1.1958003491737e-05,5718.10457577558
"375288",129,1.17506051561655e-05,4855.42980425744
