"","degrees","closeness","betweenness"
"2759525",226,2.47954376394743e-05,2664.04326945318
"169292",299,2.54239442707142e-05,4839.24614605944
"84993",288,2.53023632407267e-05,1804.794760342
"2982699",345,2.5030662561638e-05,4941.12377565015
"2772253",321,2.5409086289257e-05,4868.26586458458
"1459637",237,2.47127146917089e-05,786.665395090046
"2682228",289,2.49675421951463e-05,3543.74181483439
"1987723",353,2.50632847941051e-05,1912.99380657718
"1701090",236,2.49625561657514e-05,3209.13397710416
"467975",410,2.48527474712329e-05,3485.8447444098
"75787",229,2.57327397648028e-05,3303.5055623724
"301375",237,2.51920896838393e-05,2144.7591441839
"334542",389,2.36798484489699e-05,3964.86292506673
"2600304",392,2.37309855478298e-05,3468.00911782428
"1034015",255,2.42195257816852e-05,699.801210200939
"2795779",247,2.35343955190511e-05,3666.19854023138
"2803845",337,2.45332548269179e-05,3676.6055213453
"1288494",229,2.39561124020794e-05,1363.23840739122
