"","degrees","closeness","betweenness"
"702967",79,1.52699731248473e-05,15948.6192908406
"663",66,1.49653552027057e-05,12161.2002508239
"1031542",80,1.45972615537325e-05,12069.7659167815
"409",66,1.4750567896864e-05,15552.4781566532
"2576930",78,1.46603920188826e-05,15967.0432482595
"2781390",78,1.48822811560556e-05,13946.70720978
"1610",66,1.4750567896864e-05,15552.4781566532
"399025",74,1.44952745404998e-05,15591.7879377409
"1349410",73,1.50779530170984e-05,11099.2120549574
"3022126",73,1.51059683681022e-05,15842.9473512648
"2763667",64,1.50991257606185e-05,13790.909926198
"79885",64,1.48495738172314e-05,9128.06426441833
"919",72,1.49414295959837e-05,15045.3277015433
"718286",65,1.5022232904699e-05,14978.6363579472
"33025",63,1.4949694278752e-05,14335.9926277116
"38875",73,1.43016504104574e-05,7113.46589093696
"2779360",64,1.49566257852229e-05,14949.2234990975
"1903694",63,1.47353530590593e-05,11198.9717046159
"2325",74,1.43891103213088e-05,15713.5583238415
"1229909",64,1.48255770855881e-05,11313.7416898385
"1170699",65,1.48962476352207e-05,14663.5731215875
"739141",85,1.49974504334263e-05,11629.6225114918
"3059030",67,1.51607034566404e-05,15101.8681410858
"1118202",73,1.4991379956525e-05,14912.2258111197
"55079",93,1.53118253226967e-05,14957.8599275969
"1536769",73,1.48522204069508e-05,9549.02799129843
"390846",75,1.48297544192668e-05,11747.6764490248
"2572577",84,1.49725254158619e-05,14210.6826924085
"2811108",69,1.43217231897342e-05,14609.3596161343
"614",78,1.41592920353982e-05,10090.8888080356
"292414",68,1.41737417260783e-05,8706.24359867858
"3070658",68,1.41326775770938e-05,11124.4035466269
"2026186",65,1.4529392961962e-05,14921.451306328
"2881377",66,1.49474596792275e-05,12966.5234504641
"78398",71,1.52181522119584e-05,13858.9737023673
"3042615",74,1.48275555291955e-05,13398.9868941814
"2949993",68,1.41326775770938e-05,11124.4035466269
"1751150",65,1.42787788788303e-05,13234.4658563869
"158327",87,1.41847995687821e-05,7409.67426859721
"53946",73,1.42356860177092e-05,15809.3853445721
"2153354",85,1.43816605065221e-05,13204.1603026577
"2664893",78,1.45486287917364e-05,15735.0349000081
"471189",64,1.42108030524805e-05,14484.6644838101
"29461",67,1.42203009015671e-05,15269.7770686205
"2567937",81,1.43731853853451e-05,15861.1161622164
"129338",64,1.43575017946877e-05,12639.1897114375
"2842346",66,1.45251721232897e-05,11149.0883356029
"2614538",67,1.47677767112161e-05,15753.4922944507
"225422",82,1.45755597014925e-05,9271.07589980859
"85",89,1.48115233651781e-05,15003.1241223903
"1249552",102,1.48251375031503e-05,15588.5758461817
"202747",75,1.40801441806764e-05,11400.7896094969
"2030797",69,1.44862453100781e-05,14749.870025666
"676",81,1.47996862466516e-05,16144.443428642
"1689834",136,1.5015015015015e-05,15978.5139654178
"355249",66,1.47325309014836e-05,11660.482347289
"2800686",64,1.46933497898851e-05,14280.2091372883
"838",84,1.46788990825688e-05,16018.763779936
"2976983",75,1.48535440556117e-05,15391.1923306719
"2890406",72,1.43311645504314e-05,12405.4245740274
"143223",76,1.48102071947987e-05,11611.6186472709
"1932004",76,1.48860473078583e-05,15538.1860777816
"300181",66,1.50713629033474e-05,12362.460937597
"1008152",64,1.48137175024072e-05,9723.2192277222
"1389223",70,1.5106652969968e-05,15497.0359181671
"1436085",63,1.47030714716304e-05,12895.5815791499
"3073563",75,1.48284350069694e-05,14232.3369454213
"1306526",64,1.49140206708326e-05,12439.9114887531
"579",90,1.49020192236048e-05,12598.2793977476
"537",74,1.48145953393283e-05,11676.3279911317
"1056",65,1.47494800808272e-05,13687.7779309216
"502",73,1.47255886554065e-05,15828.4909401707
"616991",63,1.47423045170421e-05,12005.8022002235
"1984801",63,1.46077099493112e-05,11314.3709760801
