"","OTU","Genus","Species"
"1",2842346,"Pseudomonas","siliginis"
"2",616991,"Arenibacter","algicola"
"3",2026186,"Bacillus","paranthracis"
"4",579,"Kluyvera","s"
"5",1389223,"Marinobacter","shengliensis"
"6",614,"Serratia","liquefaciens"
"7",78398,"Pectobacterium","odoriferum"
"8",739141,"Methylobacterium","sp._XJLW"
"9",2153354,"Klebsiella","huaxiensis"
"10",399025,"Candidatus_Phytoplasma","rubi"
"11",300181,"Serratia","ureilytica"
"12",2572577,"Salinimonas","iocasae"
"13",2664893,"Agrobacterium","sp._MA01"
"14",38875,"Heyndrickxia","oleronia"
"15",2949993,"Haloplanus","sp._GDY1"
"16",2800686,"Tsuneonella","s"
"17",3073563,"Flavobacterium","sp._20NA77.7"
"18",2811108,"Natronoglycomyces","albus"
"19",409,"Methylobacterium","sp."
"20",471189,"Gordonibacter","pamelaeae"
"21",2567937,"Pedobacter","sp._BS3"
"22",1751150,"Limnohabitans","sp._MORI2"
"23",2614538,"Pseudomonas","piscis"
"24",1689834,"Acidithiobacillus","ferriphilus"
"25",1306526,"Paenibacillus","sp._HWE-109"
"26",292414,"Ruegeria","sp._TM1040"
"27",129338,"Geobacillus","subterraneus"
"28",355249,"Streptomyces","sp._Tu6071"
"29",158327,"Hahella","chejuensis"
"30",1984801,"Streptomyces","sp._CLI2509"
"31",1229909,"Nitrosopumilus","Candidatus_Nitrosopumilus_sediminis"
"32",225422,"Sulfitobacter","indolifex"
"33",718286,"Nitrosopumilus","zosterae"
"34",143223,"Salegentibacter","salegens"
"35",390846,"Echinicola","s"
"36",3070658,"Nitrosomonas","sp._sh817"
"37",1932004,"Haloarcula","taiwanensis"
"38",2976983,"Desulfovibrio","mangrovi"
"39",1249552,"Pseudohongiella","spirulinae"
"40",1536769,"Paenibacillus","sp._FSL_P4-0081"
"41",1056,"Thiocapsa","s"
"42",53946,"Octadecabacter","arcticus"
"43",1008152,"Haladaptatus","pallidirubidus"
"44",1436085,"Streptomyces","sp._F8"
"45",1031542,"Campylobacter","volucris"
"46",676,"Vibrio","fluvialis"
"47",838,"Prevotella","s"
"48",1170699,"Galbibacter","sp._BG1"
"49",3059030,"Stomatobaculum","sp._F0698"
"50",85,"Hyphomonas","s"
"51",2881377,"_","s"
"52",2779360,"Marixanthomonas","sp._SCSIO_43207"
"53",502,"Kingella","denitrificans"
"54",919,"Thiobacillus","s"
"55",33025,"Phascolarctobacterium","faecium"
"56",79885,"Alkalihalophilus","pseudofirmus"
"57",537,"Iodobacter","fluviatilis"
"58",1349410,"Pandoravirus","salinus"
"59",1118202,"Cruoricaptor","ignavus"
"60",55079,"Aneurinibacillus","s"
"61",1610,"Loigolactobacillus","coryniformis"
"62",2763667,"Wansuia","hejianensis"
"63",1903694,"Oceanisphaera","avium"
"64",702967,"Corynebacterium","sp._NML98-0116"
"65",3042615,"Paraglaciecola","sp._T6c"
"66",663,"Vibrio","alginolyticus"
"67",3022126,"Polynucleobacter","sp._TUM22923"
"68",2781390,"Lelliottia","steviae"
"69",202747,"Sulfurimonas","autotrophica"
"70",2030797,"Glaesserella","sp._15-184"
"71",29461,"Brucella","suis"
"72",2576930,"Polynucleobacter","sp._AP-Elch-400A-B2"
"73",2890406,"Burkholderia","sp._B21-005"
"74",2325,"Thermoanaerobacter","kivui"
