"","OTU","Genus","Species"
"1",86664,"Priestia","flexa"
"2",569,"Hafnia","alvei"
"3",1137095,"Scytonema","sp._HK-05"
"4",1379870,"Spirosoma","radiotolerans"
"5",2769486,"Marinobacter","sp._LPB0319"
"6",1198456,"Pseudomonas","guguanensis"
"7",59893,"Paenibacillus","peoriae"
"8",3020907,"Pseudomonas","sp._JBR1"
"9",1619313,"Duffyella","gerundensis"
"10",165301,"Lentzea","s"
"11",2903900,"Paracoccus","everestensis"
"12",2567941,"Metabacillus","sediminilitoris"
"13",665913,"Mixta","calida"
"14",646637,"Streptomyces","sp._M2"
"15",2710596,"Spirosoma","foliorum"
"16",228899,"Peribacillus","asahii"
"17",191494,"Conexibacter","s"
"18",2420306,"Serratia","sp._FDAARGOS_506"
"19",1178516,"Spirosoma","montaniterrae"
"20",2731552,"Pseudomonas","solani"
"21",2764711,"Nostoc","sp._MS1"
"22",1193713,"Neobacillus","mesonae"
"23",2769067,"Microbacterium","chengjingii"
"24",1903411,"_","s"
"25",3031114,"Spongiactinospora","sp._TRM90649"
"26",338191,"Nitrosopumilus","s"
"27",1476025,"Heyndrickxia","vini"
"28",2726989,"Pseudomonas","sp._gcc21"
"29",2795383,"Nitrosopumilus","sp._K4"
"30",2500532,"Paracoccus","sp._Arc7-R13"
"31",2048283,"Thalassospira","marina"
"32",3022676,"Marinimicrobium","sp._C6131"
"33",41202,"Ewingella","americana"
"34",3028314,"Oceanimonas","pelagia"
"35",2870860,"Pseudomonas","sp._DNDY-54"
"36",436516,"Lysinibacillus","parviboronicapiens"
"37",1931241,"Halopseudomonas","phragmitis"
"38",463024,"Bordetella","genomosp._6"
"39",2745199,"Microbulbifer","sp._YPW1"
"40",208216,"Parvularcula","bermudensis"
"41",1306526,"Paenibacillus","sp._HWE-109"
"42",35841,"Caldibacillus","thermoamylovorans"
"43",349221,"Micavibrio","aeruginosavorus"
"44",2268026,"Runella","sp._SP2"
"45",1898749,"Candidatus_Nitrosomarinus","catalina"
"46",83986,"Methanoculleus","bourgensis"
"47",1470067,"Nitrosopumilus","ureiphilus"
"48",2979868,"Paralcaligenes","sp._CC-YST667"
"49",3015983,"Hahella","sp._HNIBRBA332"
"50",55213,"Brenneria","rubrifaciens"
"51",1748242,"Spongiibacter","taiwanensis"
"52",1846278,"Candidatus_Nitrosotenuis","aquarius"
"53",2813780,"Alcaligenes","sp._SORT26"
"54",1510466,"Nitrosopumilus","Candidatus_Nitrosopumilus_koreensis"
"55",519081,"Aquitalea","denitrificans"
"56",2508726,"Nitrosopumilus","Candidatus_Nitrosopumilus_sp._SW"
"57",338192,"Nitrosopumilus","maritimus"
"58",2881052,"Methylophaga","pinxianii"
"59",338190,"_","s"
"60",392733,"Terriglobus","s"
"61",1826864,"Candidatus_Nitrosocosmicus","s"
"62",199441,"Halalkalibacter","krulwichiae"
"63",576610,"Polynucleobacter","necessarius"
"64",2750995,"Bartonella","choladocola"
"65",1751046,"Fluviibacter","phosphoraccumulans"
"66",2587853,"Ruegeria","sp._THAF33"
"67",1879049,"Acinetobacter","sp._WCHAc010034"
"68",254247,"Aquicella","siphonis"
"69",576131,"Lentibacter","algarum"
"70",1410606,"Candidatus_Nitrosopelagicus","brevis"
"71",2993563,"Hydrogenimonas","sp._ISO32"
"72",1349410,"Pandoravirus","salinus"
"73",2268024,"Ephemeroptericola","cinctiostellae"
"74",2733484,"Halomonas","sulfidoxydans"
"75",1761012,"Candidatus_Formimonas","warabiya"
"76",2808963,"_","s"
"77",184117,"Thermoproteus","uzoniensis"
"78",258255,"Pseudovibrio","s"
"79",2614693,"Nitrincola","iocasae"
"80",2592815,"Tardiphaga","sp._vice278"
"81",367743,"Ureibacillus","thermophilus"
"82",171438,"Photorhabdus","akhurstii"
"83",84032,"Pseudoclostridium","thermosuccinogenes"
