"","OTU","Genus","Species"
"1",1605838,"Pseudomonas","coleopterorum"
"2",548,"Klebsiella","aerogenes"
"3",413497,"Cronobacter","dublinensis"
"4",1463165,"Klebsiella","quasipneumoniae"
"5",76335,"Nostoc","sp._ATCC_53789"
"6",186802,"_","s"
"7",173479,"Gemmatimonas","s"
"8",656366,"Arthrobacter","alpinus"
"9",152794,"Corynebacterium","efficiens"
"10",126,"_","s"
"11",2691354,"_","s"
"12",345632,"Geobacter","pickeringii"
"13",1234,"Nitrospira","s"
"14",3064288,"Mycolicibacter","sp._MU0103"
"15",1851514,"Scandinavium","goeteborgense"
"16",213422,"_","s"
"17",2560010,"Actinomyces","procaprae"
"18",873,"Desulfocurvibacter","africanus"
"19",60035,"Citrifermentans","bremense"
"20",225194,"Citrifermentans","bemidjiense"
"21",2079791,"Salinibacterium","hongtaonis"
"22",2691417,"Lacipirellula","s"
"23",1126833,"Paenibacillus","beijingensis"
"24",29543,"Pelobacter","propionicus"
"25",167964,"Anaerolinea","thermophila"
"26",1263550,"Edwardsiella","piscicida"
"27",1134435,"Thauera","humireducens"
"28",2714934,"Leucobacter","insecticola"
"29",54911,"Brevibacillus","choshinensis"
"30",1773,"Mycobacterium","tuberculosis"
"31",2978474,"Synechococcus","sp._CCFWC_502"
"32",2750620,"Microcella","indica"
"33",1852390,"Corynebacterium","fournieri"
"34",1758466,"Corynebacterium","faecale"
"35",1826864,"Candidatus_Nitrosocosmicus","s"
