"","degrees","closeness","betweenness"
"2565556",35,4.30755976739177e-05,349.818374351148
"1411621",35,4.32600795985465e-05,308.012575441454
"22",45,4.39193640476086e-05,101.514405313995
"3028312",37,4.44385193085366e-05,272.799669048806
"128785",41,4.1583499667332e-05,355.230993410254
"661488",40,4.21549616389849e-05,217.034370888409
"13690",41,4.24556338626136e-05,324.065879613808
"92647",48,4.38692695766615e-05,190.164648097442
"463014",45,4.4105323512548e-05,216.943466246506
"1892855",47,4.08163265306122e-05,211.984181893775
"940133",42,4.16892483428524e-05,213.60842429875
