"","OTU","Genus","Species"
"1",2886352,"Allocoleopsis","franciscana"
"2",1742989,"Glutamicibacter","s"
"3",370524,"Mycolicibacterium","pallens"
"4",2606451,"Microbacterium","sp._1S1"
"5",1936029,"Mycobacterium","sp._MS1601"
"6",47853,"Micromonospora","carbonacea"
"7",2732163,"Limnobacter","sp._SAORIC-580"
"8",3040935,"Acidisoma","sp._PAMC_29798"
"9",3016006,"Roseibium","sp._Sym1"
"10",1881061,"Stappia","sp._ES.058"
"11",2886935,"Arthrobacter","caoxuetaonis"
"12",120962,"Roseiflexus","castenholzii"
"13",2807096,"Neotabrizicola","shimadae"
"14",1335048,"Frigidibacter","mobilis"
"15",2816454,"Aureimonas","sp._OT7"
"16",1652545,"Arthrobacter","sp._YC-RL1"
"17",204286,"Cobetia","s"
"18",1461694,"Pseudooceanicola","atlanticus"
"19",1481672,"Trichocoleus","desertorum"
"20",89184,"Ruegeria","pomeroyi"
"21",34002,"Paracoccus","alcaliphilus"
"22",1549850,"Thioclava","electrotropha"
"23",2867011,"Jannaschia","sp._M317"
"24",85017,"_","s"
"25",3033809,"Streptomyces","sp._Alt2"
"26",2805590,"_","s"
"27",110539,"Mycolicibacterium","vanbaalenii"
"28",652,"Aeromonas","schubertii"
"29",2994972,"Microcella","sp._MMS21-STM26"
"30",2202000,"Streptomyces","sp._NEAU-S7GS2"
"31",310783,"Deinococcus","deserti"
"32",2714934,"Leucobacter","insecticola"
"33",2682228,"Tepidiforma","s"
"34",1353147,"Synechococcus","sp._CBW1108"
"35",1550024,"Ruthenibacterium","lactatiformans"
"36",2675219,"Corynebacterium","occultum"
"37",2758573,"Flaviflexus","equikiangi"
"38",2721245,"Streptomyces","sp._RPA4-5"
"39",1680,"Bifidobacterium","adolescentis"
"40",2763540,"Actinomyces","trachealis"
