"","vcXtM2TOMPOOB050180","iYASM2TOMPOOA050195","XR8LM2TOMPOOB051125","TECcM2TOMPOOA051310","FvY2M2TOMPOOB051329","abKIM2TOMPOOA051320","cuu6M2TOMPOOB051315","s9OmM2TOMPOOB051285","Nm8MM2TOMPOOA051300","IGpcM2TOMPOOB051290","a50wM2TOMPOOB051350","OeS0M2TOMPOOA051355","dSz8M2TOMPOOA051340","aFJgM2TOMPOOM090325","cSObM2TOMPOOM080315","wQqUM2TOMPOOA080335","X0n7bM2TOMPOOA100365","X1qGgM2TOMPOOM080340","X9JUZM2TOMPOOB100355","AYtCM2TOMPOOA100360","DYZgM2TOMPOOB100370","nG3jM2TOMPOOA051345","nodos","degrees","closeness","betweenness"
"Acidiphilium_cryptum",0.000150158652475242,0.000161047653673681,0.000120259792952241,0.000120584786129591,0.000131588993345465,0.000137678994045667,0.000124346055464617,0.000119506463217399,0.00014110475756601,0.000152553518571236,0.00012720289718741,0.000126926979630118,0.000138605684333525,7.16286496556141e-05,0.000124183615774075,9.39698325372544e-05,0.000134880391939435,7.093091965405e-05,9.67786201102121e-05,0.000119608870339224,0.000141780161784943,0.000123800212847408,"v_624",106,3.19887399635328e-05,1745.3941293561
"Burkholderia_territorii",0.000173808780680283,0.00016814683206742,0.0001123099268316,0.000116655186070415,0.000133295478849945,0.000137678994045667,0.000123430784814509,0.000126213132719177,0.000138435408500127,0.000166857406457362,0.000167367979717361,0.000148429568176283,0.000144107398461333,7.77630932029463e-05,0.000111916697630539,0.000108766892140406,0.000161896793314449,8.89389794067568e-05,0.000136741930901991,0.000112209045148194,0.000149558070346812,0.000146336299497475,"v_929",106,3.10935605236156e-05,643.832654556494
"Burkholderia_perseverans",0.000181841959619288,0.000185296532681506,0.000145048920946604,0.000146088661023453,0.000158323932915653,0.000145626379628292,0.000148208468842422,0.000142820123866437,0.000155044691576736,0.000178160032153097,0.00016017543978745,0.000159964069316941,0.000152922644961571,7.03656759841046e-05,0.000129938466261167,0.000114209488776048,0.00020277422151433,8.34919133989132e-05,0.000134815988213231,0.000131249531019851,0.000174225151785886,0.000159235243830079,"v_965",157,3.15596793536578e-05,2204.95453908614
"Cupriavidus_malaysiensis",0.000162573565380976,0.000166790809228166,0.000105010504302648,0.000123127468520821,0.000146188924883795,0.000100288437114079,0.000113035925288287,0.000117909637145547,0.000131762035835418,0.000175414196532099,8.64721092697131e-05,0.000138746283268076,0.00015942467074898,8.87690066261012e-05,0.000141902497536962,0.000107831445843655,0.000159981451425922,7.92056975238888e-05,0.000107371304898394,0.000110521365718661,0.000136298588131815,0.000120241883376345,"v_983",88,3.20574469449253e-05,1729.50394596235
"Paraburkholderia_sp._PGU16",0.000188526912722376,0.000168067066018052,0.000109635880954658,0.000131911280417801,0.000146378534384292,0.000145702069014794,0.000119246690414017,0.000126277005762051,0.000127683863651429,0.00013192782309258,0.000227413565873806,0.000170027090888214,0.000127664775556634,7.59588451007898e-05,0.000122820624869238,0.000108001526988519,0.000170616639280638,8.71530561254966e-05,0.000121334389391908,0.000112079223653615,0.000173114021991333,0.000165610584132401,"v_985",135,3.14248004525171e-05,2052.37748777616
"Paraburkholderia_dioscoreae",0.000126396172117207,0.000120127670347976,8.64367261844235e-05,0.000108179578099645,0.000113512887631342,0.00010354308073363,9.98952538117427e-05,0.000103218837284509,0.000104475356495275,0.000102553767612141,0.000162438261338433,0.000127733920039136,0.000105470360609227,6.63963301593602e-05,8.70042527587882e-05,8.81870736118849e-05,0.000120666538977207,7.73602434665866e-05,0.000108815761914965,8.42541499820803e-05,0.000128668830209219,0.000114311334257906,"v_1010",85,3.205230936889e-05,1782.86523924761
"Luteibacter_sp._335",0.000171786441926408,0.000158973736390117,9.76388102635084e-05,0.000122202856742192,0.000141322281037685,0.00012450904079446,0.000115062596013526,0.000119187098003028,0.000113521483885214,0.000150573962658424,0.000267255388182188,0.000182605867852306,0.000151859813823244,8.98515554873951e-05,0.000120018921342628,0.000112168515037682,0.000145061946188974,0.000131116534232518,9.6297134438022e-05,0.000101044396614359,0.000144076496693685,0.000222543855669412,"v_1589",92,3.05408789664967e-05,601.203466194601
"Luteibacter_sp._353",0.000161843276386521,0.000146530232688733,0.000101324657283078,0.000117810950793702,0.000135065167521258,0.000124887487726966,0.000102771818712081,0.000121805892760866,0.000123976434393258,0.000146806420759846,0.000275013633499845,0.000191814481931679,0.000139355918078226,9.18362283997672e-05,0.000123805007189398,0.000100517956614511,0.000125908527303703,0.000118376948159529,9.87045627989725e-05,9.55918938420213e-05,0.000131113315757235,0.000223878229221061,"v_1590",98,3.08080963677254e-05,1038.10366650502
"Pseudomonas_sp._MPC6",4.03905990010096e-05,3.93246623383481e-05,3.61357550938225e-05,3.69074201636255e-05,5.08153461334072e-05,3.239505742251e-05,3.64146965792805e-05,4.77770360698099e-05,3.6925995411389e-05,3.18006078896925e-05,5.71362441623245e-05,3.56952463282906e-05,3.40731159051742e-05,2.43573493791131e-05,3.46805463564186e-05,3.04445249306218e-05,4.42544783717578e-05,2.70269723230707e-05,3.41854827254978e-05,3.70423997866773e-05,4.15562543162763e-05,7.26492267008741e-05,"v_1634",92,3.53706847764573e-05,2280.63774015175
"Pseudomonas_sp._MM213",3.46044631218664e-05,3.45386993762774e-05,2.4427770443424e-05,2.52727219492049e-05,3.7858696932725e-05,2.43719824533837e-05,2.74581195032277e-05,4.57330986978394e-05,3.07716628428241e-05,2.60535100783023e-05,3.83871513113213e-05,2.71037043264015e-05,2.6320700543263e-05,1.93054546930748e-05,2.90014175862627e-05,2.24507111220228e-05,3.13511224911541e-05,2.64614299506716e-05,3.65929110864483e-05,2.50988222853655e-05,3.42227976722275e-05,4.95200851389631e-05,"v_1640",83,3.37416067753146e-05,1667.38155919646
