"Genus" "Species"
"1" "Allocoleopsis" "franciscana"
"2" "Glutamicibacter" "s"
"3" "Mycolicibacterium" "pallens"
"4" "Microbacterium" "sp._1S1"
"5" "Mycobacterium" "sp._MS1601"
"6" "Micromonospora" "carbonacea"
"7" "Limnobacter" "sp._SAORIC-580"
"8" "Acidisoma" "sp._PAMC_29798"
"9" "Roseibium" "sp._Sym1"
"10" "Stappia" "sp._ES.058"
"11" "Arthrobacter" "caoxuetaonis"
"12" "Roseiflexus" "castenholzii"
"13" "Neotabrizicola" "shimadae"
"14" "Frigidibacter" "mobilis"
"15" "Aureimonas" "sp._OT7"
"16" "Arthrobacter" "sp._YC-RL1"
"17" "Cobetia" "s"
"18" "Pseudooceanicola" "atlanticus"
"19" "Trichocoleus" "desertorum"
"20" "Ruegeria" "pomeroyi"
"21" "Paracoccus" "alcaliphilus"
"22" "Thioclava" "electrotropha"
"23" "Jannaschia" "sp._M317"
"24" "_" "s"
"25" "Streptomyces" "sp._Alt2"
"26" "_" "s"
"27" "Mycolicibacterium" "vanbaalenii"
"28" "Aeromonas" "schubertii"
"29" "Microcella" "sp._MMS21-STM26"
"30" "Streptomyces" "sp._NEAU-S7GS2"
"31" "Deinococcus" "deserti"
"32" "Leucobacter" "insecticola"
"33" "Tepidiforma" "s"
"34" "Synechococcus" "sp._CBW1108"
"35" "Ruthenibacterium" "lactatiformans"
"36" "Corynebacterium" "occultum"
"37" "Flaviflexus" "equikiangi"
"38" "Streptomyces" "sp._RPA4-5"
"39" "Bifidobacterium" "adolescentis"
"40" "Actinomyces" "trachealis"
"1123" "Pseudoxanthomonas" "mexicana"
"2118" "Sphingomonas" "limnosediminicola"
"3118" "Sphingopyxis" "sp._PAMC25046"
"4105" "Sphingobium" "yanoikuyae"
"530" "Pseudobacter" "ginsenosidimutans"
"628" "Herbaspirillum" "sp._WKF16"
"727" "Sphingosinicella" "sp._BN140058"
"825" "Hymenobacter" "sedentarius"
"922" "Paraburkholderia" "tropica"
"1022" "Bordetella" "flabilis"
"1124" "Shewanella" "s"
"1120" "Pseudomonas" "coleopterorum"
"2109" "Klebsiella" "aerogenes"
"3109" "Cronobacter" "dublinensis"
"4104" "Klebsiella" "quasipneumoniae"
"529" "Nostoc" "sp._ATCC_53789"
"627" "_" "s"
"726" "Gemmatimonas" "s"
"824" "Arthrobacter" "alpinus"
"920" "Corynebacterium" "efficiens"
"1020" "_" "s"
"1122" "_" "s"
"1219" "Geobacter" "pickeringii"
"1319" "Nitrospira" "s"
"1419" "Mycolicibacter" "sp._MU0103"
"1519" "Scandinavium" "goeteborgense"
"1619" "_" "s"
"1719" "Actinomyces" "procaprae"
"1819" "Desulfocurvibacter" "africanus"
"1918" "Citrifermentans" "bremense"
"2018" "Citrifermentans" "bemidjiense"
"2119" "Salinibacterium" "hongtaonis"
"2218" "Lacipirellula" "s"
"2318" "Paenibacillus" "beijingensis"
"2418" "Pelobacter" "propionicus"
"2518" "Anaerolinea" "thermophila"
"2618" "Edwardsiella" "piscicida"
"2718" "Thauera" "humireducens"
"2818" "Leucobacter" "insecticola"
"2918" "Brevibacillus" "choshinensis"
"3018" "Mycobacterium" "tuberculosis"
"3119" "Synechococcus" "sp._CCFWC_502"
"3218" "Microcella" "indica"
"3318" "Corynebacterium" "fournieri"
"3418" "Corynebacterium" "faecale"
"3518" "Candidatus_Nitrosocosmicus" "s"
"1109" "Delftia" "sp._Cs1-4"
"2108" "Rhizobium" "sp._CCGE_510"
"3108" "Pseudomonas" "sp._B21-010"
"4103" "Comamonas" "koreensis"
"528" "Xanthomonas" "sp._SI"
"626" "Pseudarthrobacter" "sp._NIBRBAC000502770"
"725" "Candidatus_Nitrosotalea" "okcheonensis"
"820" "Peribacillus" "s"
"919" "Pseudomonas" "kermanshahensis"
"1019" "Sinorhizobium" "sp._CCBAU_05631"
"1119" "Pseudomonas" "sp._JBR1"
"1218" "Bacillus" "nitratireducens"
"1318" "Pseudomonas" "sp._UW4"
"1418" "Pseudomonas" "sp._D3"
"1518" "Nitrososphaera" "viennensis"
"1618" "Nitrososphaera" "Candidatus_Nitrososphaera_evergladensis"
"1718" "Serratia" "ureilytica"
"1818" "Buttiauxella" "sp._WJP83"
"1917" "Pseudomonas" "reinekei"
"2017" "Superficieibacter" "sp._HKU1"
"2117" "Pseudomonas" "sp._R76"
"2217" "Roseateles" "s"
"2317" "Mesorhizobium" "sp._C432A"
"2417" "Mesorhizobium" "sp._C416B"
"2517" "Burkholderia" "aenigmatica"
"2617" "Diaphorobacter" "sp._MNS-0"
"2717" "Nitrosospira" "sp._NRS527"
"2817" "Peribacillus" "psychrosaccharolyticus"
"2917" "Azoarcus" "s"
"3017" "Gallionella" "capsiferriformans"
"3117" "Mesorhizobium" "sp._WSM1497"
"3217" "_" "s"
"3317" "Candidatus_Nitrosomarinus" "catalina"
"3417" "Sulfuricystis" "s"
"3517" "Nitrosopumilus" "cobalaminigenes"
"3617" "Aminobacter" "aminovorans"
"3717" "Nitrosopumilus" "zosterae"
"3817" "Coraliomargarita" "akajimensis"
"3916" "_" "s"
"4016" "Grimontia" "kaedaensis"
"41" "Candidatus_Pelagibacter" "giovannonii"
"42" "Mycoplasma" "mycoides"
"43" "Bradyrhizobium" "sp._172"
"44" "Sulfitobacter" "sp._DSM_110093"
"45" "Fusobacterium" "nucleatum"
"46" "Pseudomonas" "luteola"
"47" "Bremerella" "s"
"48" "Planctopirus" "s"
"49" "Spiroplasma" "ixodetis"
"50" "Gilliamella" "apicola"
"51" "Citrifermentans" "s"
"52" "Bradyrhizobium" "sp._SEMIA"
"53" "Haematospirillum" "jordaniae"
"54" "Wenyingzhuangia" "fucanilytica"
"55" "Hyphomonas" "s"
"56" "Polaribacter" "sp._SA4-10"
"57" "Cellulophaga" "algicola"
"58" "Nitrobacter" "s"
"59" "Clostridium" "gasigenes"
"60" "Nitrosococcus" "halophilus"
"61" "_" "s"
"62" "Polaribacter" "sp._Q13"
"63" "Halarcobacter" "anaerophilus"
"64" "Arcobacter" "acticola"
"65" "Roseovarius" "mucosus"
"66" "Desulfuromonas" "s"
"67" "_" "s"
"68" "Megamonas" "funiformis"
"69" "Stieleria" "s"
"70" "Moorella" "s"
"71" "Malaciobacter" "canalis"
"72" "Ureibacillus" "thermophilus"
"73" "Dissulfurispira" "thermophila"
"74" "_" "s"
"75" "Campylobacter" "ureolyticus"
