degrees , closeness , betweenness
85006 ,1 ,0.00334448160535117 ,0 
356 ,1 ,0.00211864406779661 ,0 
1437360 ,7 ,0.00253164556962025 ,124.15 
2732067 ,6 ,0.00221729490022173 ,56.8 
3015177 ,1 ,0.00191570881226054 ,0 
2997333 ,30 ,0.0045045045045045 ,114.122953102761 
46165 ,19 ,0.00378787878787879 ,2.94225657383552 
53362 ,1 ,0.00305810397553517 ,0 
2070 ,27 ,0.00444444444444444 ,55.7344817523273 
2062 ,26 ,0.00440528634361234 ,54.0052590405474 
80840 ,3 ,0.00246913580246914 ,133 
1873 ,9 ,0.003584229390681 ,0.0714285714285714 
2937801 ,18 ,0.00378787878787879 ,16.5544498806421 
2944128 ,18 ,0.004739336492891 ,1135.92180174681 
1827 ,16 ,0.0037037037037037 ,8.7754620678768 
32033 ,5 ,0.0037593984962406 ,63.75 
304895 ,26 ,0.00442477876106195 ,56.2579786861686 
85007 ,26 ,0.00442477876106195 ,65.6136279745277 
1762 ,18 ,0.00373134328358209 ,12.9842587355394 
2937800 ,18 ,0.00378787878787879 ,16.5544498806421 
2703788 ,2 ,0.00294117647058824 ,0 
496014 ,29 ,0.00448430493273543 ,78.2277583678593 
477641 ,22 ,0.00384615384615385 ,9.04427532586163 
2599293 ,3 ,0.00344827586206897 ,197 
666685 ,6 ,0.00442477876106195 ,1015.33333333333 
338584 ,1 ,0.0023696682464455 ,0 
32008 ,1 ,0.00244498777506112 ,0 
2949664 ,28 ,0.00446428571428571 ,72.1285839743794 
1763 ,6 ,0.00309597523219814 ,0.11437908496732 
940133 ,4 ,0.00251889168765743 ,123.35 
119060 ,8 ,0.00292397660818713 ,890.85 
2933797 ,22 ,0.00384615384615385 ,7.68629031786927 
138336 ,22 ,0.00384615384615385 ,75.9490372306235 
2756133 ,1 ,0.00191570881226054 ,0 
1861 ,21 ,0.00381679389312977 ,8.94903723062354 
1849581 ,4 ,0.00364963503649635 ,996 
416169 ,4 ,0.00401606425702811 ,35.3333333333333 
33882 ,14 ,0.00367647058823529 ,1.61833243062557 
13687 ,2 ,0.00246913580246914 ,0 
1866885 ,17 ,0.00371747211895911 ,10.657348436536 
222 ,5 ,0.0021978021978022 ,133.25 
35753 ,9 ,0.00359712230215827 ,0.186147186147186 
2898793 ,3 ,0.00398406374501992 ,0.25 
374 ,1 ,0.00211864406779661 ,0 
1542730 ,3 ,0.00398406374501992 ,0.25 
94132 ,3 ,0.00219298245614035 ,16.25 
68 ,2 ,0.00301204819277108 ,0 
2812560 ,28 ,0.00446428571428571 ,72.5346501475771 
35754 ,15 ,0.00373134328358209 ,4.32288549051463 
28056 ,28 ,0.00446428571428571 ,63.9468860121408 
191495 ,7 ,0.00355871886120996 ,0 
1822464 ,2 ,0.00325732899022801 ,867 
1725411 ,15 ,0.00374531835205993 ,2.88803579461474 
2884022 ,16 ,0.003690036900369 ,10.3663884365728 
85023 ,24 ,0.00431034482758621 ,118.826111188883 
1813 ,22 ,0.00432900432900433 ,41.6530574844631 
338 ,4 ,0.00374531835205993 ,25.5 
1775411 ,4 ,0.00404858299595142 ,987 
1839 ,13 ,0.00409836065573771 ,18.570498659891 
41297 ,4 ,0.00251889168765743 ,123.35 
1747 ,1 ,0.00212765957446809 ,0 
1798223 ,21 ,0.00436681222707424 ,285.760518650194 
150026 ,9 ,0.00396825396825397 ,14.9880952380952 
degrees , closeness , betweenness
85006 ,1 ,0.00334448160535117 ,0 
356 ,1 ,0.00211864406779661 ,0 
1437360 ,7 ,0.00253164556962025 ,124.15 
2732067 ,6 ,0.00221729490022173 ,56.8 
3015177 ,1 ,0.00191570881226054 ,0 
2501295 ,2 ,0.00294117647058824 ,0 
374 ,1 ,0.00211864406779661 ,0 
1542730 ,3 ,0.00398406374501992 ,0.25 
416169 ,4 ,0.00401606425702811 ,35.3333333333333 
2898793 ,3 ,0.00398406374501992 ,0.25 
1861 ,21 ,0.00381679389312977 ,8.94903723062354 
1849581 ,4 ,0.00364963503649635 ,996 
2812560 ,28 ,0.00446428571428571 ,72.5346501475771 
35754 ,15 ,0.00373134328358209 ,4.32288549051463 
1747 ,1 ,0.00212765957446809 ,0 
1798223 ,21 ,0.00436681222707424 ,285.760518650194 
150026 ,9 ,0.00396825396825397 ,14.9880952380952 
222 ,5 ,0.0021978021978022 ,133.25 
1822464 ,2 ,0.00325732899022801 ,867 
1725411 ,15 ,0.00374531835205993 ,2.88803579461474 
477641 ,22 ,0.00384615384615385 ,9.04427532586163 
35753 ,9 ,0.00359712230215827 ,0.186147186147186 
1813 ,22 ,0.00432900432900433 ,41.6530574844631 
338 ,4 ,0.00374531835205993 ,25.5 
2884022 ,16 ,0.003690036900369 ,10.3663884365728 
85023 ,24 ,0.00431034482758621 ,118.826111188883 
666685 ,6 ,0.00442477876106195 ,1015.33333333333 
338584 ,1 ,0.0023696682464455 ,0 
32008 ,1 ,0.00244498777506112 ,0 
407 ,2 ,0.00193423597678917 ,0 
331696 ,3 ,0.00248138957816377 ,67 
482462 ,1 ,0.00280112044817927 ,0 
1877 ,2 ,0.0028169014084507 ,67 
54571 ,26 ,0.00384615384615385 ,18.6266086317886 
1775411 ,4 ,0.00404858299595142 ,987 
1839 ,13 ,0.00409836065573771 ,18.570498659891 
41297 ,4 ,0.00251889168765743 ,123.35 
28056 ,28 ,0.00446428571428571 ,63.9468860121408 
2937801 ,18 ,0.00378787878787879 ,16.5544498806421 
2944128 ,18 ,0.004739336492891 ,1135.92180174681 
1827 ,16 ,0.0037037037037037 ,8.7754620678768 
33882 ,14 ,0.00367647058823529 ,1.61833243062557 
32033 ,5 ,0.0037593984962406 ,63.75 
304895 ,26 ,0.00442477876106195 ,56.2579786861686 
119060 ,8 ,0.00292397660818713 ,890.85 
2933797 ,22 ,0.00384615384615385 ,7.68629031786927 
191495 ,7 ,0.00355871886120996 ,0 
80840 ,3 ,0.00246913580246914 ,133 
1873 ,9 ,0.003584229390681 ,0.0714285714285714 
2070 ,27 ,0.00444444444444444 ,55.7344817523273 
2062 ,26 ,0.00440528634361234 ,54.0052590405474 
94132 ,3 ,0.00219298245614035 ,16.25 
68 ,2 ,0.00301204819277108 ,0 
13687 ,2 ,0.00246913580246914 ,0 
1866885 ,17 ,0.00371747211895911 ,10.657348436536 
138336 ,22 ,0.00384615384615385 ,75.9490372306235 
2756133 ,1 ,0.00191570881226054 ,0 
2997333 ,30 ,0.0045045045045045 ,114.122953102761 
46165 ,19 ,0.00378787878787879 ,2.94225657383552 
85007 ,26 ,0.00442477876106195 ,65.6136279745277 
1762 ,18 ,0.00373134328358209 ,12.9842587355394 
2937800 ,18 ,0.00378787878787879 ,16.5544498806421 
2703788 ,2 ,0.00294117647058824 ,0 
496014 ,29 ,0.00448430493273543 ,78.2277583678593 
2599293 ,3 ,0.00344827586206897 ,197 
2949664 ,28 ,0.00446428571428571 ,72.1285839743794 
1763 ,6 ,0.00309597523219814 ,0.11437908496732 
940133 ,4 ,0.00251889168765743 ,123.35 
53362 ,1 ,0.00305810397553517 ,0 
degrees , closeness , betweenness
374 , 1 , 0.00211864406779661 , 0 
1542730 , 3 , 0.00398406374501992 , 0.25 
2898793 , 3 , 0.00398406374501992 , 0.25 
1873 , 9 , 0.003584229390681 , 0.0714285714285714 
191495 , 7 , 0.00355871886120996 , 0 
