degrees , closeness , betweenness
632112, 28, 6.00994044149022e-06, 367.577361293096 
64003, 34, 6.28014469453376e-06, 574.774406906111 
656190, 39, 6.87705881948408e-06, 2172.66220207053 
665097, 97, 6.93846965113375e-06, 85805.5122570094 
672794, 63, 6.07194034925801e-06, 427.713215626336 
675077, 13, 6.27179448583829e-06, 709.978882810987 
678, 53, 6.27431296273058e-06, 367.176012575537 
680287, 34, 6.28014469453376e-06, 574.774406906111 
691956, 33, 6.5269890999282e-06, 644.5980768015 
694014, 19, 6.26648869838763e-06, 414.423973381891 
70177, 49, 6.15009932410408e-06, 598.257176954845 
72149, 81, 6.57177030348435e-06, 65207.0455256538 
749413, 143, 6.57099300846344e-06, 57597.6377148087 
754004, 55, 6.4119827132946e-06, 785.988330442938 
754064, 63, 6.07194034925801e-06, 427.713215626336 
756285, 99, 6.57860112625651e-06, 22911.6136569644 
762660, 27, 7.12870157829453e-06, 10141.0996514734 
768490, 68, 7.12281151616166e-06, 53345.4736326444 
768738, 78, 6.51470042150112e-06, 44165.8315363026 
79264, 60, 6.90560044195843e-06, 10065.6112538853 
82676, 33, 6.04372027245091e-06, 331.134808291838 
862943, 18, 6.28717290982937e-06, 598.98859223379 
929834, 82, 6.56232568822391e-06, 19505.2666862701 
929835, 26, 6.04434128768647e-06, 535.582733157942 
948071, 37, 6.64482733416172e-06, 2796.46198305891 
979982, 78, 6.07489125944646e-06, 464.577154730075 
984186, 74, 6.07098192061584e-06, 553.961094853697 
99000, 1, 8.5755938598748e-06, 0 
994601, 26, 6.04434128768647e-06, 535.582733157942 
2749991, 411, 9.00803516736929e-06, 70267.0150996781 
51201, 531, 8.94174453435865e-06, 8091.02446742557 
37330, 356, 8.81383419415114e-06, 7059.15681446718 
2995170, 102, 9.18484500574053e-06, 8253.10018702598 
2897772, 227, 9.46342386675499e-06, 33148.3116747476 
2714924, 167, 9.43075936474405e-06, 41984.4967990409 
31958, 514, 9.09322372967665e-06, 8158.86437443755 
1071679, 30, 8.99968501102461e-06, 32600.6654706978 
2720714, 472, 8.87713162123055e-06, 6333.46241268455 
1335043, 214, 8.16139984330112e-06, 11286.0644122003 
2819979, 538, 9.21005369461304e-06, 16622.2959678991 
43263, 74, 9.21429690307481e-06, 10724.4868292088 
