degrees , closeness , betweenness
2838015, 5, 8.02941979412568e-06, 48279.5685665211 
2846779, 1, 8.95816536773269e-06, 0 
2955877, 2, 7.41416253327105e-06, 11.5 
2956121, 1, 7.97658075889189e-06, 0 
45654, 1, 7.97658075889189e-06, 0 
69656, 1, 1.0179256710675e-05, 0 
830, 4, 1.13191315962239e-05, 30268.2887453633 
2015370, 1, 6.95613461511707e-06, 0 
2182, 5, 8.63878642328326e-06, 45077.0067255133 
2770092, 3, 7.9819289129411e-06, 4814 
2849865, 1, 7.45089857836855e-06, 0 
3074130, 2, 7.98154666411257e-06, 4805.5 
2169812, 2, 7.45434215430488e-06, 9610 
1508657, 2, 8.69406456212344e-06, 46190.9225981887 
174708, 1, 1.00412696181305e-05, 0 
175304, 1, 6.95603784084585e-06, 0 
1982903, 2, 1.16695646085445e-05, 4120.49280961844 
2586965, 2, 1.0715472070122e-05, 9610 
2803850, 4, 9.24299842869027e-06, 11854.7309441444 
294702, 4, 9.41894526650906e-06, 79277.5909313184 
46239, 1, 9.19937812203895e-06, 0 
46354, 4, 1.08211054841363e-05, 24534.0955839024 
497724, 2, 1.01794639494284e-05, 9610 
573569, 1, 9.27239515239181e-06, 0 
74968, 1, 1.08822217143852e-05, 0 
10375, 1, 8.68590885007253e-06, 0 
112040, 1, 8.48896434634975e-06, 0 
148943, 1, 6.95613461511707e-06, 0 
2158, 1, 9.40592196847135e-06, 0 
2195, 2, 9.40609891453619e-06, 9610 
2268087, 2, 9.80199960792002e-06, 9610 
2794998, 5, 1.14697313788911e-05, 222810.817564759 
2912628, 1, 1.04570789195746e-05, 0 
2955962, 1, 8.62634139608709e-06, 0 
39768, 2, 9.72497763255144e-06, 19218 
43660, 1, 1.27291242362525e-05, 0 
458197, 3, 1.31563367495954e-05, 9932.69807430409 
74700, 1, 1.13807074247735e-05, 0 
985052, 1, 1.19240675379185e-05, 0 
1071078, 1, 8.90559182110447e-06, 0 
1218495, 3, 1.19452905691931e-05, 87963.2316545621 
1235850, 2, 9.47696623356931e-06, 9610 
133448, 1, 1.19598627007762e-05, 0 
1462, 4, 9.73908978466872e-06, 21604.7103106632 
1930546, 4, 1.09852687546001e-05, 28827 
1945658, 2, 1.24449311795306e-05, 42.8504747788631 
1982901, 5, 1.23096618535889e-05, 21532.9243617703 
2133959, 8, 1.38873458504611e-05, 14453.5439724463 
214888, 4, 1.47037200411704e-05, 539.661515334592 
2675780, 1, 8.02516692347201e-06, 0 
2697019, 1, 1.23823675086677e-05, 0 
2792979, 2, 1.14071910932652e-05, 9610 
2831893, 1, 1.10075181348861e-05, 0 
2836091, 2, 1.0396415315999e-05, 9610 
2874282, 2, 1.10050953591513e-05, 403.944371908456 
29553, 1, 1.15046996698151e-05, 0 
2956015, 3, 1.07270815901826e-05, 59494.8030831338 
