degrees , closeness , betweenness
762660, 14, 8.2767753683165e-06, 1406.24103731096 
80852, 22, 8.29256157226967e-06, 11130.5804561376 
933845, 11, 7.54711285197848e-06, 9.75237629798244 
416169, 1, 4.99428154762797e-06, 0 
666685, 4, 5.3457354395531e-06, 13164.75 
2778082, 4, 5.71614754520044e-06, 2731.23317892265 
582702, 5, 5.75019981944373e-06, 20860.4730360941 
304895, 4, 5.71614754520044e-06, 2731.23317892265 
1775411, 9, 5.94742476507672e-06, 514.199907366413 
75309, 11, 6.18096633227639e-06, 18128.0353706118 
1849581, 11, 6.18096633227639e-06, 18128.0353706118 
1437360, 8, 6.22599102212095e-06, 39.7833723750255 
41297, 7, 6.22595225939807e-06, 39.6405152321684 
13687, 7, 6.22595225939807e-06, 39.6405152321684 
1866885, 3, 5.97410821499621e-06, 2.10367533704949 
258505, 3, 5.83345486364299e-06, 0.424242424242424 
354356, 9, 6.42260757867694e-06, 195.531205904385 
34073, 3, 6.21276225622674e-06, 0 
379, 4, 6.08157829119813e-06, 0.142857142857143 
445710, 14, 6.32503067639878e-06, 645.178228926158 
3075430, 12, 6.23251001875986e-06, 213.279898265303 
85023, 17, 6.22072371899747e-06, 31144.1454107871 
3031330, 13, 6.32491066063692e-06, 23.2815025053852 
69367, 10, 6.54660198623904e-06, 170.060459957973 
68, 10, 6.42264882882999e-06, 278.970832749995 
2051959, 19, 6.44541698625193e-06, 5052.76757109034 
169430, 5, 6.74313380400407e-06, 132.366528947261 
2744515, 17, 6.61069610629999e-06, 14020.555498701 
1762, 5, 6.31771804024386e-06, 11718.0880299241 
1813879, 8, 6.61135169085319e-06, 869.233869388971 
1355477, 14, 6.57090665370008e-06, 742.86782857406 
384, 13, 6.76599142072288e-06, 13119.6803293258 
1483604, 15, 6.76452682134885e-06, 35101.9641001302 
68287, 15, 6.5856630116237e-06, 2238.61536363384 
2501295, 17, 6.4512383151946e-06, 4586.91335112905 
135614, 18, 6.45152965768184e-06, 5004.08174610043 
3018446, 18, 6.88743181442504e-06, 1018.41824006357 
33882, 6, 6.48083939831887e-06, 12715.2400452014 
231455, 21, 6.7272115708039e-06, 47927.7402159396 
2907545, 17, 7.00667736352744e-06, 8455.79834663099 
2782641, 14, 6.95855484732931e-06, 16853.9941810678 
653931, 14, 6.850253459378e-06, 253.717869299653 
2571746, 3, 6.52775601859105e-06, 0.0625 
338, 18, 6.63217933412919e-06, 19324.3071391339 
2898793, 20, 6.77359921968137e-06, 20666.3518609532 
2763498, 22, 6.77373686741765e-06, 30307.2104329691 
284016, 21, 6.91548584745821e-06, 229.436733074273 
1542730, 19, 6.82719682125716e-06, 1490.14025852629 
2562284, 2, 6.38532906793352e-06, 13164 
134537, 17, 6.70695309827698e-06, 5204.71955189811 
2840469, 23, 6.91558149667015e-06, 287.997137934104 
2954771, 29, 7.0555198859828e-06, 2519.96704460712 
1894999, 28, 7.04498221141992e-06, 2831.87826432938 
2782665, 15, 6.91323885240235e-06, 1648.74005316158 
434014, 2, 6.29703094990712e-06, 0 
359, 11, 6.77483825073676e-06, 933.674131650319 
2735433, 16, 7.19491751027074e-06, 16346.6908836201 
150026, 24, 6.88942473303479e-06, 29143.9326591858 
1827, 8, 7.00525394045534e-06, 4306.6724053696 
522259, 22, 6.88951966268912e-06, 14051.7246239356 
331696, 3, 6.55866727880895e-06, 1.07374226736316 
204457, 31, 7.05691401150277e-06, 2161.72979898261 
85006, 8, 6.97121584975636e-06, 26536.5312097692 
2703788, 21, 6.89175126291342e-06, 4111.28004189372 
165695, 10, 7.18995132402954e-06, 2654.43538108207 
439387, 36, 7.11106054356947e-06, 12014.413866866 
1933044, 20, 6.98353282958783e-06, 1733.9626032802 
2602070, 23, 7.040171216964e-06, 17522.4453394991 
41294, 36, 7.13226064133288e-06, 19392.633320904 
2908837, 5, 6.86539702591001e-06, 22160.9379511115 
231454, 24, 7.0402207813237e-06, 26108.3481086739 
1798223, 14, 7.03541628558162e-06, 758.176361526919 
2028343, 11, 7.21500721500722e-06, 2142.06428924208 
3056648, 14, 7.26728341678597e-06, 1209.97208906534 
2315862, 18, 7.51094720555209e-06, 11202.0807272653 
1076, 36, 7.17797796360765e-06, 27989.5843054201 
2795216, 13, 7.38879858135067e-06, 45430.9446883668 
290, 35, 7.24427702115329e-06, 53454.7227326882 
40324, 8, 6.99819446582782e-06, 1220.08983372299 
2904253, 14, 7.26728341678597e-06, 1209.97208906534 
1736675, 5, 7.04970038773352e-06, 13156.9988821533 
