degrees , closeness , betweenness
764348, 6, 5.35727678906258e-06, 22986.9935444782 
77133, 14, 5.80693115302425e-06, 278157.570206964 
83612, 17, 5.35051204400261e-06, 6756.24041423901 
871584, 14, 5.95837479369127e-06, 17338.819130473 
873160, 9, 5.77167263072838e-06, 7882.70604805075 
90142, 6, 4.9753719090502e-06, 482.47052478794 
906669, 15, 5.93922980067945e-06, 107496.491154687 
909297, 8, 5.29506764448916e-06, 13998.6376349587 
925984, 24, 6.09083876940693e-06, 128010.324076584 
929832, 10, 5.63028190821514e-06, 74795.500125559 
934027, 10, 5.36394357131363e-06, 9184.12100248669 
93678, 12, 6.03332810444898e-06, 39476.3341407258 
936902, 16, 5.3569324062269e-06, 1539.82137837591 
944645, 14, 5.2570983971107e-06, 9620.65091869907 
979982, 11, 5.39799410539044e-06, 4359.0049867452 
994601, 11, 6.08835419609371e-06, 99336.7106781525 
1560345, 2, 5.91380044471779e-06, 0 
2748629, 6, 5.21779057875733e-06, 0.2 
356, 1, 4.73372781065089e-06, 0 
1325120, 6, 5.21779057875733e-06, 0.2 
1761016, 5, 5.22125048949223e-06, 408.931079462144 
261302, 6, 5.21863470078958e-06, 11.2605698943913 
1883, 2, 5.05471731493416e-06, 13415 
41297, 5, 5.35486703865143e-06, 6.78478619149453 
1404741, 10, 5.63745525269893e-06, 403.753098787639 
436515, 5, 5.36771533932013e-06, 541.647460705629 
158500, 11, 5.63570784490532e-06, 134.32544147518 
943830, 12, 5.64837722122434e-06, 787.670345874539 
1404443, 9, 5.60717269531184e-06, 12223.2329219483 
293958, 12, 5.90426819547851e-06, 11329.2519668378 
134537, 9, 5.55210091498623e-06, 3096.77294279655 
358, 5, 5.47153706419207e-06, 0.8 
1822464, 10, 5.55240919034769e-06, 8728.99205129012 
398, 3, 5.77944482652996e-06, 483.113085371631 
150026, 1, 5.86568748790202e-06, 0 
674703, 3, 5.42234657470367e-06, 40241 
1315974, 1, 5.634628170887e-06, 0 
2929803, 26, 6.1076535006016e-06, 80.5771076959776 
2728021, 27, 6.10612444281614e-06, 1044.48614205844 
384, 15, 5.76960801283161e-06, 42.1723102945356 
1894999, 1, 5.05466621511648e-06, 0 
1873, 3, 5.8475086689316e-06, 53648 
379, 11, 5.63780486429804e-06, 424.934573345396 
2082188, 10, 5.95876534382076e-06, 213.526374204681 
662548, 30, 6.0953681297582e-06, 37725.4853494039 
319707, 9, 6.06009187099276e-06, 886.21715933815 
1437360, 3, 5.55151528609734e-06, 26.2283842753024 
341045, 31, 6.06855034469366e-06, 1070.1872259812 
165695, 21, 5.76761140141422e-06, 17042.9056264729 
2010972, 33, 6.40746341338391e-06, 19051.1716194523 
2800373, 2, 6.49591082413621e-06, 0 
1842727, 36, 6.11519810184251e-06, 3162.10661461043 
416169, 2, 5.85528087782371e-06, 0 
3056648, 3, 5.62907756305974e-06, 0 
252970, 11, 6.04657068743462e-06, 237.479237361605 
2613770, 11, 5.76299122296437e-06, 1597.66678892681 
319706, 8, 6.01543560776954e-06, 448.727776938714 
296591, 39, 6.24208036054256e-06, 56416.6799058703 
2026199, 11, 5.61009817671809e-06, 29744.2653645846 
