degrees , closeness , betweenness
99179, 43, 6.40725814202328e-06, 15.4147869073165 
99585, 33, 6.59308780674341e-06, 172.952922538782 
39956, 1, 4.40076925446568e-06, 0 
374432, 4, 4.71295733359726e-06, 15052.2 
3025190, 3, 4.16647570319694e-06, 0.5 
269660, 5, 5.07269167165481e-06, 22573.7936507937 
2603276, 5, 5.07269167165481e-06, 22573.7936507937 
13687, 3, 4.71293512173511e-06, 0.2 
477641, 2, 4.16645834374948e-06, 0 
446679, 5, 4.44521494836883e-06, 30100 
1306274, 4, 4.44519518852073e-06, 15049.5 
2894310, 9, 5.35589952332494e-06, 950.985379382789 
2202828, 14, 5.49169929651332e-06, 31410.5714387286 
2984843, 15, 5.49172945544011e-06, 42943.4308264647 
334852, 14, 5.45914105874582e-06, 20.292470818375 
2675878, 10, 5.65029212010261e-06, 24.8677883844274 
1618022, 4, 4.76381028601917e-06, 75240 
1523415, 22, 5.66184089094728e-06, 311.208498110234 
2202825, 17, 5.49212155163418e-06, 99.1492572638247 
185951, 30, 5.81770793942602e-06, 8337.84467534298 
41297, 8, 5.26360114535961e-06, 2.58205130443034 
2851567, 2, 4.16645834374948e-06, 0 
861299, 3, 5.47033981750946e-06, 0 
1397703, 3, 5.13146821568587e-06, 42529.0585643067 
1484116, 4, 5.64987711517274e-06, 0 
270351, 32, 5.74023156094117e-06, 128.429476257834 
410, 28, 5.70916377878132e-06, 6705.97062546904 
1177, 4, 5.13149454778704e-06, 47747.4414356933 
89966, 39, 6.04770429145097e-06, 10748.1616174886 
408, 37, 5.9436070562503e-06, 31961.5111979571 
1873, 3, 5.47033981750946e-06, 0 
1839, 1, 5.31883772757977e-06, 0 
119045, 30, 5.71585349124331e-06, 7926.3128537649 
85006, 1, 5.31883772757977e-06, 0 
31998, 32, 6.13451770421809e-06, 20236.5032181826 
3018036, 42, 5.94632843950503e-06, 36360.760726729 
114616, 38, 5.94353640416048e-06, 2182.48102387181 
1549858, 47, 5.94685886914532e-06, 12714.919986856 
2897332, 31, 5.81054148436093e-06, 775.052124777501 
223967, 35, 5.9418059525012e-06, 23742.3967735522 
2576902, 4, 5.44176226029037e-06, 6664.40452574148 
2219696, 41, 5.94629308089337e-06, 18487.4509102452 
1261031, 6, 5.56059097960931e-06, 113715.166686205 
642780, 23, 5.66177677878872e-06, 698.454136184168 
80840, 2, 5.40996732379736e-06, 0.142857142857143 
2849501, 8, 5.7817170543308e-06, 31532.791753751 
2051553, 50, 6.24375624375624e-06, 11110.7060723693 
2759526, 36, 5.82479030754893e-06, 10377.4869912412 
424800, 44, 6.06847669098103e-06, 1539.41952815207 
1178, 6, 5.92666346626839e-06, 18980.3869472583 
2712223, 3, 5.96153616863994e-06, 0 
125216, 38, 5.98573001963319e-06, 3627.98806217063 
674703, 10, 5.75185353480159e-06, 259.018663935612 
2884022, 9, 5.44953188521106e-06, 4.72214552396411 
191495, 9, 5.44953188521106e-06, 4.54158996840856 
2768162, 48, 6.1876593322278e-06, 13721.1017302114 
2937788, 45, 6.09492232021503e-06, 3129.05166491356 
2596913, 45, 6.09492232021503e-06, 3129.05166491356 
1750527, 44, 5.98594500113733e-06, 4485.7047975635 
2653203, 47, 6.1876210453367e-06, 13953.7435763147 
264686, 6, 5.92666346626839e-06, 18980.3869472583 
28056, 8, 5.9508578161542e-06, 28774.9262395155 
2782641, 7, 5.80197847465986e-06, 1.96560512447633 
1775910, 62, 6.36504824706571e-06, 14814.7964110453 
1484118, 13, 6.61800228982879e-06, 394.838420080288 
2812560, 12, 5.75967192908692e-06, 77.85364171316 
504468, 33, 6.10228652676158e-06, 2410.25917497902 
2872652, 57, 6.23091781419403e-06, 11478.0040991344 
204525, 43, 6.23014142421033e-06, 3421.86899110725 
257708, 46, 6.2436392924708e-06, 13960.1983787194 
204457, 31, 5.94127642382689e-06, 405.379321802738 
35754, 14, 6.41338087786357e-06, 1587.7180100248 
2202827, 72, 6.45473616265935e-06, 25612.5771835977 
155894, 1, 5.34696452823732e-06, 0 
28214, 60, 6.27332894200307e-06, 12004.2067251536 
1855912, 9, 6.13120784794605e-06, 28.9503372648833 
2972485, 55, 6.26001602564103e-06, 4769.79294280774 
2955313, 4, 6.49439209242819e-06, 0.0909090909090909 
433, 57, 6.27317152732907e-06, 6897.84798017957 
56, 19, 5.81023763871942e-06, 294.555930636944 
2932250, 62, 6.75725898546514e-06, 1460.05924038881 
2202826, 69, 6.51627112900914e-06, 11334.1233264035 
1705399, 66, 6.7444526876644e-06, 6193.96622495129 
2782665, 10, 5.91884085420711e-06, 6.52520792723662 
1437360, 14, 5.88914277637747e-06, 252.648106184532 
2997333, 12, 5.80959629115373e-06, 145.10652328502 
2949664, 17, 5.9310573889113e-06, 5090.94407195091 
2899123, 56, 6.24422409271424e-06, 10881.7995274505 
2681549, 47, 6.21766812574612e-06, 3698.42221557985 
1161, 5, 5.81496772692912e-06, 33616.8554609467 
2735134, 69, 6.44292534582402e-06, 13660.5507636054 
2070, 15, 6.15615708050407e-06, 4340.7533784412 
85007, 8, 5.85630958795006e-06, 35.6468165924283 
2572090, 9, 6.06777706987045e-06, 127859.933371007 
13689, 68, 6.46822162714583e-06, 9660.72924994028 
2615203, 12, 6.61642593903625e-06, 272.006542521962 
496014, 15, 5.91537465025347e-06, 10765.1645635131 
2802971, 20, 6.35130328743458e-06, 26390.6536367197 
2675877, 11, 6.61638216223369e-06, 271.915633431053 
2890321, 61, 6.46195202646816e-06, 37744.7613786402 
1827, 13, 5.85353289978166e-06, 1741.66535439311 
2768161, 64, 6.47777475481623e-06, 17555.0048915828 
379, 20, 5.99387426050576e-06, 92.290761755646 
272131, 9, 6.50605388313826e-06, 64821.5826930952 
406548, 18, 6.56258408310856e-06, 8637.71319690308 
35753, 26, 6.60510706878559e-06, 375.120613276998 
1861, 17, 6.31189603044859e-06, 39075.8268004928 
1560345, 69, 6.52762818629851e-06, 14938.6799205796 
1894999, 36, 6.296000151104e-06, 34782.4960771829 
32008, 20, 5.88938556040448e-06, 16667.124244191 
2771361, 69, 6.47794260542852e-06, 25602.8530383047 
2057025, 51, 6.25856641277749e-06, 2783.74157892091 
2949093, 56, 6.3409530452427e-06, 34546.4476626419 
1762, 15, 5.92434610029918e-06, 11078.3334415544 
2282523, 68, 6.52758557664691e-06, 11939.6991852229 
196914, 28, 6.60366767702782e-06, 216.427165066204 
33882, 9, 6.05238948336803e-06, 1163.35881517816 
