degrees , closeness , betweenness
39441, 1, 2.25032629731311e-05, 0 
708126, 4, 2.48527474712329e-05, 29379 
591154, 1, 2.54136064448906e-05, 0 
1896175, 1, 1.95790504160548e-05, 0 
47770, 2, 2.19048453517918e-05, 4201 
2816908, 1, 2.52972426005565e-05, 0 
1643950, 1, 2.54136064448906e-05, 0 
2039639, 2, 2.77392510402219e-05, 33552 
2778911, 2, 2.77623542476402e-05, 375.50298194192 
123841, 2, 2.25042758124044e-05, 4201 
1266052, 1, 2.63539333245487e-05, 0 
1221500, 3, 2.96348980559507e-05, 4216.79667671123 
1348613, 2, 2.59282306575399e-05, 117.000724413384 
2132, 1, 2.52972426005565e-05, 0 
2714926, 1, 2.64655286489348e-05, 0 
2722751, 1, 2.59147921633669e-05, 0 
278860, 1, 2.48089709238861e-05, 0 
2980026, 1, 2.58377903521691e-05, 0 
83561, 1, 2.61144334473664e-05, 0 
1302376, 1, 2.05621697201489e-05, 0 
2911514, 1, 2.05621697201489e-05, 0 
296199, 3, 2.84511209741664e-05, 8401 
795750, 1, 2.89059112588524e-05, 0 
152331, 1, 2.67809319764328e-05, 0 
186804, 1, 2.41202151523192e-05, 0 
2785025, 1, 2.05604786479429e-05, 0 
2864202, 2, 2.76877924523078e-05, 4201 
3016343, 2, 2.1045542554087e-05, 8400 
45851, 1, 2.28529640294346e-05, 0 
1348114, 1, 2.12874659400545e-05, 0 
1635327, 1, 2.77269450451949e-05, 0 
32011, 2, 2.30845587386597e-05, 12597 
1642, 1, 2.56134419343271e-05, 0 
2984846, 2, 2.68333914723482e-05, 1426.8933504131 
556053, 2, 2.98846452692607e-05, 4201 
136468, 2, 3.18440913288539e-05, 71.4573786704445 
199441, 5, 3.13823944766986e-05, 46477.5914791317 
2066133, 2, 2.68333914723482e-05, 187.901892307123 
2173169, 3, 2.99043062200957e-05, 4232.15785053465 
233055, 1, 2.47017266506929e-05, 0 
2738844, 2, 3.00788064729592e-05, 11.2945205177964 
320912, 1, 2.48028176000794e-05, 0 
53345, 3, 2.83053582043081e-05, 8401 
71452, 1, 2.65477328236169e-05, 0 
105, 1, 2.60437013308331e-05, 0 
1177574, 1, 2.00589733817423e-05, 0 
183417, 1, 2.52780586450961e-05, 0 
28189, 5, 3.21027287319422e-05, 1555.74957656116 
75985, 1, 2.05621697201489e-05, 0 
85404, 1, 2.67058352249967e-05, 0 
97084, 1, 2.89435600578871e-05, 0 
1570, 1, 2.55617187699701e-05, 0 
1890302, 1, 2.74055194716216e-05, 0 
2791037, 1, 2.5693730729702e-05, 0 
63363, 2, 2.13337884541537e-05, 4201 
64104, 3, 2.41237063662461e-05, 12599 
1435069, 3, 2.52799757312233e-05, 4352.84115937591 
152268, 4, 2.25063017644941e-05, 12600 
2808963, 1, 2.54666768533374e-05, 0 
2820710, 3, 2.56884504726675e-05, 8401 
1394889, 1, 2.58805869717125e-05, 0 
476, 2, 2.91979327863587e-05, 67.485708494881 
76594, 2, 3.09712586719524e-05, 4201 
860353, 2, 2.89636795458495e-05, 15404.0870493388 
1137606, 2, 2.90807572629191e-05, 4201 
1486034, 4, 3.19948808190689e-05, 474.443979319405 
1510, 3, 3.25711680020846e-05, 23852.3622853755 
1888915, 2, 2.33781414377557e-05, 4201 
2562892, 4, 3.18857215738792e-05, 450.932135254821 
400946, 2, 2.98864315600717e-05, 8400 
412034, 3, 2.92680071413937e-05, 4244.65241727795 
1071983, 1, 2.96243630761939e-05, 0 
1497, 1, 2.31862551879246e-05, 0 
1508404, 4, 2.68398733157979e-05, 21070.1633452307 
161360, 1, 3.20759558634847e-05, 0 
1630406, 1, 2.60443796228774e-05, 0 
182710, 1, 2.89418846955314e-05, 0 
2594005, 2, 3.13528766264305e-05, 115.875602414523 
2726122, 2, 2.92431863375833e-05, 4201 
3070215, 4, 2.87927212000806e-05, 12690.9991982436 
713, 1, 2.97814044910358e-05, 0 
28184, 1, 3.00869512892259e-05, 0 
2904120, 2, 2.59929299230609e-05, 261.31327408532 
2968490, 1, 2.95613101572662e-05, 0 
380393, 1, 2.99213069626881e-05, 0 
637971, 2, 2.95989344383602e-05, 4201 
649777, 1, 2.65512572020285e-05, 0 
116090, 1, 2.53132514871535e-05, 0 
1581680, 2, 2.55597587158777e-05, 16792 
1714848, 2, 1.93367494924103e-05, 4201 
