"","X1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","X3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561","nodos","degrees","closeness","betweenness"
"Tatlockia_micdadei",2.11978657594375e-06,4.76276460604124e-06,4.01478736844286e-06,2.38834591412637e-06,2.55773066676611e-06,2.84097043004338e-06,0,"v_2894",99,2.78280228189787e-05,218829.940836701
"Vagococcus_lutrae",3.89449161626874e-06,4.84632187983144e-06,4.92135225809125e-06,0,5.42238901354416e-06,8.68525245756118e-06,0,"v_5159",65,2.89804671651307e-05,203773.528827507
"Campylobacter_coli",2.56346283602499e-06,1.58758820201375e-06,6.08693568763918e-06,0,2.25080298675418e-06,5.8442820275178e-06,0,"v_3121",88,2.70467638547048e-05,200342.675493541
"Roseburia_intestinalis",2.90854437164374e-06,4.67920733225104e-06,3.88527809849309e-06,0,5.32007978687351e-06,5.68194086008675e-06,0,"v_5313",60,2.8030833917309e-05,200149.246387054
"Moraxella_bovoculi",4.83114149866249e-06,6.26679553426479e-06,6.99350057728757e-06,0,6.80356357359786e-06,4.78906443921598e-06,0,"v_2765",68,3.00318337437684e-05,195882.482527203
"Alkalibacter_sp._ES005",4.58465468750624e-06,6.60102462942558e-06,5.69840787778987e-06,4.99381418408241e-06,7.72434661363366e-06,7.38652311811278e-06,3.57215746165349e-06,"v_5382",48,3.11458560438534e-05,192104.149482841
"Shewanella_sp._ANA-3",3.84519425403749e-06,5.8490091653138e-06,4.66233371819171e-06,0,5.67816208022077e-06,5.03257619036255e-06,0,"v_2557",54,2.92039016412593e-05,191296.50517803
"Metarhizium_robertsii",5.02833094758749e-06,5.34766552257262e-06,6.47546349748849e-06,4.99381418408241e-06,5.11546133353222e-06,6.57481728095753e-06,0,"v_6666",58,3.01795684321714e-05,188978.257115289
"Muribaculum_intestinale",6.21146764113749e-06,7.52015464111775e-06,8.67712108663458e-06,5.64518125157142e-06,7.87781045363962e-06,6.98067019953515e-06,5.23916427709178e-06,"v_6430",81,3.23834196891192e-05,183814.009797356
"Pseudohongiella_spirulinae",1.48385060316062e-05,1.6544340210459e-05,1.65771865535705e-05,1.49814425522472e-05,1.8569124640722e-05,1.1445052303889e-05,9.76389706185286e-06,"v_2865",130,3.59867568734706e-05,172580.942946573
