"","X1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","X3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561","nodos","degrees","closeness","betweenness"
"Zobellella",7.5991197242791e-05,0.000110981757655424,9.98768616620079e-05,0.000134571244313769,0.000137302649813299,7.87706138072312e-05,9.21987062715556e-05,"v_577",117,0.000128106584678452,15190.6252966586
"Thiocystis",9.57035700684177e-05,0.000141462074844461,0.000117989245901232,0.000157108135470986,0.00014921755387531,0.000104243294276305,9.62383403092269e-05,"v_508",114,0.00012701638511368,16549.0128562636
"Ectothiorhodospira",9.8857549720518e-05,0.000140794013097852,0.000130667914868689,0.000157974938977033,0.000158882433135911,9.28049250210839e-05,9.9565097752015e-05,"v_500",113,0.000125470514429109,9080.21173050135
"Thiocapsa",0.000122118149654757,0.000171274330286888,0.000166763309174,0.000197631199378675,0.000183581569024113,0.000138882894786797,0.000134020799838034,"v_507",113,0.000122384041121038,10218.1986736025
"Halotalea",0.000101814405644362,0.000131274133208673,0.000121741096922214,0.000161875554754244,0.000156172175988758,0.000121116917007411,0.000110733497738518,"v_525",111,0.00012482836100362,6554.79184788653
"Defluviicoccus",0.000149271943222058,0.000211942589111713,0.000197683736553819,0.000234470348385665,0.000261411972381968,0.000180580212497319,0.000194615310403103,"v_210",110,0.000118035882908404,8283.37610031217
"Methylomagnum",0.000102405776829131,0.000132025702673608,0.00013157353408065,0.000157974938977033,0.00015576308057032,0.000110976518731506,0.000115486008371072,"v_568",109,0.000124501992031873,7279.48200113845
"Desulfobulbus",0.000104426295043758,0.000150397400705356,0.000147227809030266,0.000184629146787973,0.000184348622933685,0.000144399271448889,0.000116436510497583,"v_729",109,0.000122384041121038,4455.38165835244
"Pluralibacter",8.56502599273481e-05,0.000108393018387314,0.000107251189530835,0.000129370423277488,0.000123137720949879,8.95599975727943e-05,9.1010578613417e-05,"v_434",108,0.000128106584678452,13300.2436384971
"Sodalis",7.2295127337986e-05,9.27770750603281e-05,8.73275668676883e-05,9.83821979363142e-05,9.95635974623811e-05,8.09609398348267e-05,8.62580679808626e-05,"v_490",108,0.000130005200208008,17734.6063818176
"Thiodictyon",0.000165091122414624,0.000239333120722682,0.000236237240148739,0.00026177465882614,0.000267241582094712,0.000201591117724994,0.000182021157226834,"v_504",108,0.000117247039512252,7429.33900504256
"Cobetia",0.000171399081718824,0.000230481302580113,0.000212691140637747,0.000250506213247531,0.000252360736249025,0.00017465821990419,0.000191763804023571,"v_524",108,0.000116726975604062,6233.45086574121
"Marinobacterium",8.18556281584149e-05,0.000116409759346622,9.13381662349451e-05,0.000120052285587485,0.000124518417987107,7.59313022899777e-05,8.41194381962131e-05,"v_535",108,0.00012987012987013,14940.0696273607
"Chlorobaculum",0.000102750743353579,0.000154990325213293,0.000161847090594782,0.000174877607344946,0.00017432578518195,0.000152836082814442,0.000153981344494763,"v_1620",108,0.000122639195486878,6212.88221604743
"Thalassospira",0.000125469253035114,0.000147224107408963,0.000144381577221245,0.000170976991567735,0.00016670638301354,0.000124118474897079,0.000143763446634771,"v_216",107,0.00012298610257041,12495.0774749533
