"","Ia7iM2MAIPOOB100245","P0ZQM2MAIPOOA100240","qU3SM2MAIPOOM070605","B7zTM2MAIPOOA070610","c5isM2MAIPOOA070615","TgLUM2MAIPOOM070620","pse1M2MAIPOOA100685","AJwcM2MAIPOOA100700","nodos","degrees","closeness","betweenness"
"Pyruvatibacter",0.000124117147162374,0.000142591131907484,0.000133269899780879,0.000182325573413928,0.000152040547586828,0.000170052583580728,0.000139388492398184,0.00015489122034374,"v_69",160,0.000129684865776164,8741.56131085478
"Marichromatium",0.00017346406815731,0.000193516536160157,0.000190519645461397,0.00025203829266043,0.000225301009460349,0.000263267167277878,0.000174146945973304,0.000225673972378218,"v_356",160,0.000121669302834895,5728.35218483896
"Thioflavicoccus",0.000159966864006741,0.000207933446378167,0.000192865946513878,0.000274560863493916,0.000222075255268266,0.000266604575353629,0.000189398104174632,0.000224594967011839,"v_355",156,0.000119132713843221,5095.61739447006
"Oryzomicrobium",0.000123831492048076,0.00014847265746906,0.000129046557886414,0.000204848144247414,0.000193903668657411,0.000197683217882298,0.000130521539955552,0.00017096840030279,"v_639",156,0.000127339870113332,6762.82267623675
"Salinicola",8.96242921109199e-05,0.000107230252616544,0.000103315456344214,0.000153367982342304,0.000113546547561308,0.000138696470496925,0.000107467463604707,0.000115507524470898,"v_376",155,0.000130072840790843,6499.76580265382
"Methyloversatilis",0.000162966242706868,0.000210515579551542,0.00016603990448052,0.00025203829266043,0.000241358096994271,0.000261714884451947,0.000172728233582483,0.000226699027476278,"v_615",154,0.000121285627653123,5465.5099454823
"Sterolibacterium",0.000126545215633904,0.000176230589082841,0.000138979232341914,0.000212355667858575,0.000200928644453502,0.000206919300696587,0.000167408062116903,0.000181218951283393,"v_616",154,0.000124316260566882,4994.83109316664
"Cohnella",0.000117190010640653,0.00015198722762171,0.000169872196199571,0.000198413124009275,0.000192900100686541,0.000195742864349885,0.00016386128113985,0.000189473342336194,"v_1037",154,0.000126246686024492,6213.80224426395
"Alkalilimnicola",0.00011311942526191,0.000129680466040609,0.000126309206658521,0.000160875505953466,0.0001414314004662,0.000167258474494053,0.000101083257846012,0.000143022161313568,"v_351",153,0.00012987012987013,6638.80298510917
"Thiocapsa",0.000131687007691264,0.000153278294208397,0.000153369878797127,0.000200558130755321,0.000171610123018796,0.000197760832023595,0.000134068320932605,0.000169080140911627,"v_357",153,0.000127599846880184,6773.69079151925
"Oceanidesulfovibrio",7.99834320033707e-05,0.000108019237752853,0.000126152786588355,0.000167310526191605,0.00015032014535105,0.00016081650076644,0.000111723600777171,0.000132987411406241,"v_702",153,0.00012987012987013,7183.03469031225
"Mucisphaera",9.86938419898735e-05,0.000108736496967679,0.000127638777254926,0.000155512989088351,0.000152183914439809,0.000174243747210742,0.000126620080880793,0.000148956690828654,"v_1401",153,0.000130106687483737,7143.1895078582
"Thalassospira",0.000114333459497675,0.000133266762114741,0.000133817370026458,0.000165165519445559,0.000150678562483504,0.000162524011874964,0.000131940252346373,0.000145719674729516,"v_152",151,0.000129315918789603,5007.51416660621
"Oceanithermus",9.31949810396418e-05,0.000118419496367835,0.000175034058515028,0.000185543083532998,0.000182290953565914,0.000193259211828395,0.000146836732449996,0.000184078315504298,"v_1326",151,0.00012709710218607,5008.26337746375
"Cobetia",0.00018617572074356,0.000213886697861226,0.000191536375917472,0.000257400809525546,0.000224154074636497,0.000246192056192638,0.00019259020705398,0.000216448476495675,"v_374",150,0.000120845921450151,6664.72017972559
"Desulfobulbus",9.43376014968328e-05,0.000134414376858463,0.000140856273183898,0.000188760593652067,0.00016014077478028,0.000189456118904864,0.000124137334196856,0.000148417188145464,"v_720",150,0.000129332643559234,5881.23897805365
"Telmatocola",8.14117075748595e-05,0.000124659651536825,0.000135146940622863,0.000190905600398113,0.000170893288753888,0.000189378504763568,0.000106403429311591,0.000136116526968741,"v_1362",150,0.000129249062944294,4090.60663058397
"Halorhodospira",0.000136900213527198,0.00015363692381581,0.000145157825113446,0.00020699315099346,0.000158133638838539,0.000205832702718435,0.000127684115173909,0.000159261192077576,"v_348",149,0.000127000254000508,6814.04421831631
"Syntrophotalea",7.64127430746488e-05,9.76189791378702e-05,0.000111527510027895,0.00017267304305672,0.000135983460052905,0.000157789549255874,9.86005111620744e-05,0.000115237773129303,"v_698",149,0.00012970168612192,6206.68514120964
"Acidithiobacillus",0.000119760906669333,0.000139148287676318,0.000150319687428902,0.000181253070040905,0.000165445348340593,0.000186506781535596,0.000128038793271615,0.000162120556298481,"v_756",149,0.000129399585921325,7441.48750528235
