"","vcXtM2TOMPOOB050180","iYASM2TOMPOOA050195","XR8LM2TOMPOOB051125","TECcM2TOMPOOA051310","FvY2M2TOMPOOB051329","abKIM2TOMPOOA051320","cuu6M2TOMPOOB051315","s9OmM2TOMPOOB051285","Nm8MM2TOMPOOA051300","IGpcM2TOMPOOB051290","a50wM2TOMPOOB051350","OeS0M2TOMPOOA051355","dSz8M2TOMPOOA051340","aFJgM2TOMPOOM090325","cSObM2TOMPOOM080315","wQqUM2TOMPOOA080335","X0n7bM2TOMPOOA100365","X1qGgM2TOMPOOM080340","X9JUZM2TOMPOOB100355","AYtCM2TOMPOOA100360","DYZgM2TOMPOOB100370","nG3jM2TOMPOOA051345","nodos","degrees","closeness","betweenness"
"Alkalilimnicola",0.0001589719060535,0.000163347851282185,0.000142224597848934,0.000165796664137234,0.000176193686959349,0.000136478626002189,0.000147940448741804,0.00015277675096649,0.000158516363905846,0.000126315792161183,0.000131732193538903,0.000144159793966329,0.000148547190355194,0.000101776036877151,0.000146749313498538,0.000109719881148977,0.000161792583218375,0.000111752120879665,0.000118876198109102,0.000115723691624698,0.000155251050276687,0.000132809262357813,"v_504",117,0.000154012012937009,9463.62664935379
"Oxynema",2.25177443756458e-05,2.85400345334418e-05,2.21029593406673e-05,2.56434227392936e-05,2.8870747558416e-05,2.23177354050143e-05,2.5549785979702e-05,2.27281752378063e-05,2.37885707404285e-05,2.07441295868542e-05,2.01111687254365e-05,2.11636827218508e-05,2.24976813327176e-05,1.06279401340742e-05,1.77098191638256e-05,1.59777983392778e-05,2.56973582813365e-05,1.37197677032026e-05,1.48595247636377e-05,2.00731936126579e-05,2.53199137790304e-05,1.86554816689905e-05,"v_1321",116,0.000153869826127096,11413.5685819371
"Halotalea",0.000148527266517664,0.000157687676835609,0.000126478045116041,0.000134300688460444,0.00015812577929697,0.000127929798541963,0.000138988221940732,0.000140071956381312,0.000141990347472464,0.000130783758533736,0.00012801687722818,0.000130493559383609,0.000132798813422292,8.08804257660898e-05,0.000124725564025575,0.00010487554867377,0.000157711238079575,0.000103300029713267,9.92232782604194e-05,0.00012000654974464,0.000158064374029912,0.000118743621416908,"v_528",115,0.000154966682163335,8177.45494204737
"Desulfohalobium",2.85262198075513e-05,3.66715527524671e-05,2.78092789090095e-05,3.84266304711937e-05,3.89786679289775e-05,2.82186959527808e-05,3.136546616434e-05,3.29430854570451e-05,3.14957712295393e-05,2.32334251372767e-05,2.72187303633418e-05,2.49598589948285e-05,2.56848528548526e-05,1.6572381226014e-05,2.56565328911832e-05,2.10770956816006e-05,3.0433734121426e-05,1.77077262112918e-05,1.43801852551332e-05,2.14142905997105e-05,3.55367210933761e-05,2.11724911005209e-05,"v_721",115,0.000156887354879197,11699.7533755129
"Syntrophotalea",0.000125447982382027,0.000162869526681066,0.000108058912332151,0.000152166376374907,0.000158947047827078,0.00011915401106067,0.000135982364766649,0.000141668036103068,0.000138803716501005,0.000106465255848839,0.000120263173623193,0.000118962673954439,0.000117362904285677,5.96245454979415e-05,0.000104366840285964,8.7622925998912e-05,0.000143451723582284,7.1396361648553e-05,9.73059202264016e-05,9.90681322693675e-05,0.000137778829072443,0.000112525127527244,"v_708",113,0.000154368632293918,8438.6981666852
"Desulfocurvibacter",0.00011124102645425,0.000131698706841469,9.89576937801117e-05,0.000133684630256497,0.000150102617502837,0.000104325956350897,0.000119515495030371,0.000130878537183997,0.000118794638308121,0.000101039868110739,0.000116224786328928,9.77515390291763e-05,0.000105551621586,5.53013156128944e-05,9.92960800980307e-05,8.69430196866023e-05,0.000121483001600593,5.96408123150063e-05,6.9504228733144e-05,9.17137294371438e-05,0.000122379583265314,9.28332302099763e-05,"v_713",111,0.000155231294628997,5019.82935326324
"Kiritimatiella",0.000152345736885604,0.000194120067287516,0.000142080134062394,0.000207072563801683,0.000215551401902222,0.000158039828003644,0.000171333858922707,0.000170972059794509,0.000180896888403072,0.000151910856666809,0.00015200489775611,0.000140458522100176,0.000157858730684569,7.60167921454118e-05,0.000128055615492277,0.000119238569521313,0.000176959063302066,6.78548164062946e-05,0.000116958840075084,0.000127880086894433,0.000183680427151388,0.000126146590333174,"v_1449",110,0.000152045005321575,7033.94342035095
"Kushneria",0.000106018706686333,0.000107304152184393,8.0899720462573e-05,9.74912107746116e-05,0.000113840453173448,8.86657148972094e-05,8.7823305260152e-05,9.21895647286301e-05,9.68587599929598e-05,8.59126105350945e-05,8.77945397773072e-05,8.80712895330831e-05,9.67400297306859e-05,7.58366575668682e-05,9.18034642979506e-05,8.5838171929099e-05,0.00010198324149299,8.71696303745776e-05,6.66281916821174e-05,7.63560058757353e-05,0.000106536128444517,8.57263800503609e-05,"v_530",109,0.000164554879052164,21527.9060940459
"Oceanidesulfovibrio",0.000151784197125613,0.000178654238517997,0.000132328828470923,0.000186742643071432,0.000187944144390126,0.000142530893230668,0.000161140082419297,0.000156224283165483,0.000152661855842002,0.000139975003642988,0.000133751387186036,0.000136614893623786,0.000141860379514636,6.89915435822103e-05,0.000125028295977093,0.000111079693773596,0.000151412865951796,7.49974286595888e-05,0.000112644784498544,0.00011524781850026,0.00014310933723645,0.0001268868872248,"v_712",109,0.000153186274509804,7515.10841998927
"Desulfosudis",5.68839776871053e-05,7.00745540639534e-05,4.73118900919512e-05,6.65342860262752e-05,7.1324013114774e-05,5.25034182070506e-05,5.48242210664193e-05,6.47369935144258e-05,5.98790191846301e-05,5.07433323739971e-05,5.68604931032422e-05,5.03942400237792e-05,5.5431787061446e-05,2.46784372604773e-05,5.12373827944869e-05,4.26641210974334e-05,6.41426217492968e-05,2.77073833659036e-05,3.54711236293287e-05,4.46022901177808e-05,6.47064463241889e-05,4.48619916325723e-05,"v_733",109,0.000164744645799012,19506.1325682019
