"","Ia7iM2MAIPOOB100245","P0ZQM2MAIPOOA100240","qU3SM2MAIPOOM070605","B7zTM2MAIPOOA070610","c5isM2MAIPOOA070615","TgLUM2MAIPOOM070620","pse1M2MAIPOOA100685","AJwcM2MAIPOOA100700","nodos","degrees","closeness","betweenness"
"Phlebiopsis_gigantea",1.95066907949427e-05,2.14570114516572e-05,2.29287799228404e-05,2.81476060461058e-05,3.17009063948976e-05,5.4980900737808e-05,1.85061415477825e-05,2.87658381439655e-05,"v_6424",278,3.95898491626747e-05,230014.69559853
"Neisseria_bacilliformis",2.42940471438846e-05,2.49016152967393e-05,2.49634156839115e-05,2.70650058135632e-05,3.02664762412823e-05,3.53337709543822e-05,2.42003389471002e-05,2.98992013729022e-05,"v_2841",275,3.95460117847115e-05,130764.169588728
"Serratia_fonticola",2.16502831899913e-05,2.66239172192804e-05,2.58242231212878e-05,3.24780069762759e-05,3.04099192566439e-05,3.60326807095239e-05,2.34885642721855e-05,2.74165962047551e-05,"v_1519",365,3.94913513940447e-05,56193.3526252082
"Aeromonas_rivuli",2.58660149002536e-05,2.61215791585393e-05,2.6919796223403e-05,3.03128065111908e-05,3.13422988564938e-05,3.25381319338157e-05,2.66915503093017e-05,3.14103523448179e-05,"v_1868",278,3.94042083694539e-05,83276.5343749359
"Marinobacter_fonticola",3.48691029594579e-05,3.81059300362207e-05,3.71712302503385e-05,3.89736083715311e-05,4.10247023933969e-05,4.63610137577279e-05,3.48769590708209e-05,3.90740465595329e-05,"v_1366",332,3.93669789780332e-05,111090.004434487
"Mixta_gaviniae",2.42225940640497e-05,3.18625855670094e-05,3.37280005008334e-05,3.57258076739035e-05,3.91599431936971e-05,3.92166029273913e-05,3.06063110213326e-05,3.42707452559439e-05,"v_1588",345,3.93499390075945e-05,79562.2481849536
"Tichowtungia_aerotolerans",1.87207069167582e-05,2.61933417386451e-05,2.01898471675523e-05,2.48998053484782e-05,3.15574633795361e-05,3.24604752943556e-05,2.17091275848987e-05,2.64991116860921e-05,"v_5544",144,3.93313667649951e-05,95964.0120086121
"Anaerohalosphaera_lusitana",1.50051467653405e-05,2.22463998328219e-05,2.24592485933624e-05,3.13954067437334e-05,3.16291848872169e-05,3.23051620154352e-05,1.70825921979531e-05,2.43942942609239e-05,"v_5518",315,3.9309721294076e-05,46076.5303602038
"Desulfurispirillum_indicum",1.92208784756028e-05,2.11699611312337e-05,2.73110723313013e-05,3.24780069762759e-05,3.3422222579236e-05,3.33146983284175e-05,2.0997352909984e-05,3.12484433121126e-05,"v_6294",299,3.93019965414243e-05,51145.8230689176
"Bradymonadales_bacterium_V1718",3.10820897282053e-05,3.97564693786559e-05,4.1866543545118e-05,4.33040093017012e-05,5.2858751160723e-05,5.60680936902505e-05,3.30975223835341e-05,4.69536194845216e-05,"v_3002",333,3.92911869867589e-05,84640.4283432204
"Slackia_heliotrinireducens",1.63627552822047e-05,2.50451404569511e-05,2.80936245470979e-05,2.38172051159357e-05,3.15574633795361e-05,3.23051620154352e-05,1.77943668728678e-05,2.82801110458498e-05,"v_4452",172,3.92850127676292e-05,69282.9001160737
"Parolsenella_catena",2.72950764969527e-05,3.66706784341032e-05,4.90660239304468e-05,5.3047411394584e-05,5.33608017144883e-05,5.42043343432062e-05,4.73330158818283e-05,5.40776169235524e-05,"v_4460",315,3.92788404886288e-05,103725.305506217
"Brenneria_izadpanahii",3.52263683586327e-05,3.54507145723033e-05,3.46670631597893e-05,4.00562086040736e-05,4.01640443012277e-05,4.31770915398605e-05,1.92179162226972e-05,3.81025923633014e-05,"v_1618",289,3.92372282821941e-05,111491.046135602
"Roseobacter_ponti",3.13679020475452e-05,3.75318293953737e-05,3.8658079460352e-05,4.33040093017012e-05,4.01640443012277e-05,5.03215023701971e-05,3.95034944577665e-05,4.40932265733955e-05,"v_796",308,3.92079984316801e-05,64159.8639113007
"Syntrophotalea_carbinolica",2.50085779422342e-05,3.05708591251036e-05,3.33367243929351e-05,4.65518099993288e-05,4.38935627006275e-05,4.69822668734093e-05,3.096219835879e-05,3.45945633213544e-05,"v_2942",388,3.91987769981577e-05,38608.3998284832
"Corynebacterium_sp._NML98-0116",1.44335221266609e-05,2.5691003677904e-05,2.72328171097216e-05,2.70650058135632e-05,3.04816407643246e-05,3.00531194710899e-05,2.49121136220149e-05,2.96293529850602e-05,"v_3585",203,3.91957041508251e-05,90828.0887938574
"Oscillibacter_sp._NSJ-62",1.33617259291366e-05,2.00217598495397e-05,2.53546917918098e-05,2.16520046508506e-05,2.8258274026221e-05,3.06743725867714e-05,1.53031555106663e-05,2.98452316953338e-05,"v_4958",197,3.91957041508251e-05,215419.800705803
"Deinococcus_sp._QL22",2.42940471438846e-05,2.82026939816097e-05,3.31019587281961e-05,3.78910081389885e-05,4.18136389778853e-05,4.19345853084976e-05,2.31326769347281e-05,3.56199871951543e-05,"v_5394",333,3.91818822976256e-05,72284.7519518153
"Desulfobacca_acetoxidans",1.70772860805542e-05,2.23899249930336e-05,3.1067322967125e-05,3.13954067437334e-05,3.27050075024283e-05,3.68869037435859e-05,2.5979775634387e-05,2.73086568496183e-05,"v_3006",289,3.91604010025063e-05,45219.1653807062
"Prosthecochloris_sp._GSB1",1.78632699587387e-05,2.60498165784334e-05,2.80153693255182e-05,2.48998053484782e-05,2.69672868879672e-05,3.17615655392139e-05,2.31326769347281e-05,3.10865342794074e-05,"v_6162",131,3.91604010025063e-05,79789.906908647
"Staphylospora_marina",1.84348945974183e-05,2.59062914182216e-05,3.24759169555589e-05,3.03128065111908e-05,3.67214119325511e-05,3.94495728457718e-05,3.13180856962473e-05,3.64835020362489e-05,"v_4802",154,3.91542678151919e-05,178970.961337905
"Brevibacillus_sp._MMS20-4M-10-Y",1.27901012904569e-05,1.79406450264693e-05,2.11289098265082e-05,1.62390034881379e-05,2.49590846729058e-05,2.60926308586207e-05,1.13883947986354e-05,2.41784155506502e-05,"v_4741",164,3.91512019418996e-05,319764.557973842
"Raoultibacter_timonensis",3.24396982450695e-05,3.50919016717739e-05,4.1866543545118e-05,4.65518099993288e-05,5.07071059303e-05,5.19522917988609e-05,3.66563957581077e-05,4.60361349658585e-05,"v_4450",351,3.91312854627275e-05,74061.5458358346
"Thalassobius_gelatinovorus",2.57945618204187e-05,3.04990965449978e-05,2.87979215413148e-05,3.24780069762759e-05,3.09119698104092e-05,3.63433072673646e-05,2.88268743340458e-05,3.63755626811121e-05,"v_815",220,3.91175089970271e-05,36319.3434286275
