"","vcXtM2TOMPOOB050180","iYASM2TOMPOOA050195","XR8LM2TOMPOOB051125","TECcM2TOMPOOA051310","FvY2M2TOMPOOB051329","abKIM2TOMPOOA051320","cuu6M2TOMPOOB051315","s9OmM2TOMPOOB051285","Nm8MM2TOMPOOA051300","IGpcM2TOMPOOB051290","a50wM2TOMPOOB051350","OeS0M2TOMPOOA051355","dSz8M2TOMPOOA051340","aFJgM2TOMPOOM090325","cSObM2TOMPOOM080315","wQqUM2TOMPOOA080335","X0n7bM2TOMPOOA100365","X1qGgM2TOMPOOM080340","X9JUZM2TOMPOOB100355","AYtCM2TOMPOOA100360","DYZgM2TOMPOOB100370","nG3jM2TOMPOOA051345","nodos","degrees","closeness","betweenness"
"Rothia_kristinae",0.000156955957731322,0.000188965770952427,0.000218115417746313,0.000197866920626702,0.000192074424004259,0.000223435068951517,0.000237708863127943,0.00020490472154004,0.000214808451218461,0.000168900819012523,0.000167206349606576,0.000160343805980008,0.000154235554014798,0.000102120442582059,0.000139100794010352,0.00016523383223519,0.00018901400215728,9.26596529093821e-05,0.000190668326187283,0.000225413388421498,0.000186595730165241,0.000137292212091856,"v_3742",439,3.05688869868248e-05,18644.8884784607
"Propionibacterium_acidifaciens",0.000139541374017396,0.000173251859226962,0.000204817459871786,0.000165582559356224,0.000163696202096424,0.000196035511038086,0.000213519567375099,0.000178078043532928,0.000185964651589887,0.000152425805286538,0.000146760140592336,0.0001495213110826,0.000131916100109941,7.93869164948872e-05,0.000121457633964401,0.000118291436252779,0.000170415024345003,6.70911845993406e-05,0.000153112443756455,0.000194429325048529,0.000164447209593821,0.000107491202771701,"v_4327",435,3.12636778590633e-05,26102.453533713
"Rhodococcus_triatomae",0.000139878430476375,0.000164078763549659,0.000202071142484655,0.000170590873157133,0.000168689252276199,0.000198684639565628,0.000203255460798893,0.000171818485331268,0.000179810319021322,0.000166857406457362,0.000144658949152137,0.000151657329812352,0.000148921398323165,8.29954126992003e-05,0.000126606710716009,0.000142868161685599,0.000165929092027137,7.64077510499145e-05,0.000154556900773025,0.000203819746489778,0.000168373201534574,0.000118610982368774,"v_4055",434,3.11177495643515e-05,26789.6026751104
"Tessaracoccus_flavus",0.000156899781654826,0.000188168110458749,0.000227510714070707,0.000200563704981038,0.000202250133864307,0.000217606986190926,0.000229209921376944,0.000207779008469374,0.000227265413525918,0.000167879112734943,0.000172944218539426,0.000163951304279143,0.000150796982684918,9.9233645618609e-05,0.000149096060645826,0.000157154977854159,0.000196070524904485,8.49504174119424e-05,0.000181038612743481,0.000238785002363184,0.000198818157905322,0.000126172432494783,"v_4320",432,3.08014538286207e-05,20359.0907007269
"Mycolicibacterium_insubricum",0.00013235083622584,0.000158415374044542,0.000200914798321653,0.000172594198677497,0.000180824260308057,0.000191418458461513,0.000208354825849492,0.000175842487032335,0.000178327347318053,0.000139973760028526,0.000148618886866357,0.000156498972266455,0.000137292775280298,9.83315215675307e-05,0.000112901079950699,0.000137510605622389,0.000173036018508251,8.62600944848665e-05,0.000157927300478356,0.000197588314749963,0.000179928951397924,0.000108529048867428,"v_3969",431,3.12421894526368e-05,24389.2146875222
"Tessaracoccus_aquimaris",0.000163303854375431,0.000203084361690536,0.000252155299044694,0.000199793195165513,0.000212678656391686,0.000232896242264166,0.000243527369403627,0.000220106505744071,0.000214660154048135,0.000194251906024989,0.00018239958002032,0.000190010732782111,0.000161362774589458,0.000109698284611117,0.000148641730344214,0.000171866996884879,0.000199850804947631,9.48920570109574e-05,0.000192594268876044,0.000245189529429105,0.000198521856626774,0.000144705398489904,"v_4318",431,3.05791694697572e-05,26323.3392085745
"Raineyella_fluvialis",0.000156057140507378,0.000179792675275125,0.000234231964518158,0.000191086434250086,0.000196182629848378,0.000219726289012959,0.000238885639678081,0.000218956790972337,0.00023097284278409,0.00018109743770114,0.00017593437558894,0.000178381297475686,0.000149171476238065,8.13715894072594e-05,0.000133421665240196,0.000148906042328265,0.000193096704603877,7.41455815603183e-05,0.000182001584087862,0.000259166977012162,0.000208299798818839,0.000117721400001008,"v_4337",431,3.05026842362128e-05,13345.5685116017
"Dietzia_lutea",0.000127407341494144,0.000144376549355801,0.000191230415956509,0.000164195641688279,0.000159524793085472,0.000165835445824111,0.000180439071021211,0.000161407179342794,0.000171728123238508,0.00015389450806056,0.000147245030924689,0.000147195424021315,0.000136229944141972,0.000108074461319176,0.000132891613221648,0.000123989154605717,0.000149043841167754,7.70923549743976e-05,0.000137223416574181,0.000176254315807403,0.000138224546442374,0.000114163070529945,"v_4195",430,3.12061163988142e-05,23949.9491731607
"Spiractinospora_alimapuensis",0.000174202013215759,0.000221590085143876,0.000251288040922442,0.000209886873748885,0.000217608503404628,0.000243417066987832,0.000254379864254902,0.000209886818884218,0.000217774394624999,0.000200190573763426,0.000178197197139923,0.00018858672029561,0.00017305391711105,0.000121065047654703,0.000163104578278877,0.000173312686616221,0.000204689563402857,8.96831141072818e-05,0.000197890611270135,0.000239477383667608,0.0001955588438413,0.000134623464988558,"v_4427",430,3.03379649293125e-05,18014.184076295
"Micrococcus_sp._KD337-16",0.000127519693647137,0.000173172093177594,0.000181618305101552,0.00015510362586509,0.000152825257401217,0.000183546762265389,0.00019514877789794,0.00017137137403115,0.000174249175134064,0.000144124441781197,0.000139163525385464,0.000140550032417644,0.000130728230014164,8.60626344728664e-05,0.000126606710716009,0.000129771913531086,0.000154487444429883,7.34312122478142e-05,0.000139630844935132,0.000183870510156065,0.000159558238497788,0.000113273488162179,"v_3730",429,3.13656608744746e-05,21663.6753321966
